Id	Group	TalentId	Repeatable	Weight	UnlockCondition	AddWeightCondition	AddWeight	Desc
1	104	22	1	100				1级通用属性（第一个大节点）
2	104	24	1	100				
3	104	28	1	100				
4	104	39	1	100				
5	104	45	1	100				
6	104	50		100				
7	104	10		100				2级进攻
8	104	11		100				
9	104	12		100				
10	104	15		100				
11	104	16		100				
12	104	17		100				
13	104	26		100				
14	104	27		100				
15	104	30		80				2级装甲
16	104	31		80				
17	104	34		80				
18	104	35		80				
19	104	36		80				
20	104	41		80				
21	104	44		80				
22	104	46		80				2级辅助
23	104	47		80				
24	104	51		80				
25	104	53		80				
26	104	55		80				
27	104	56		80				
28	104	57		80				
29	104	58		80				
30	104	60		80				
31	108	22	1	80				1级通用属性（第二个大节点）
32	108	24	1	80				
33	108	28	1	80				
34	108	39	1	80				
35	108	45	1	80				
36	108	50		80				
37	108	10		100				2级进攻
38	108	11		100				
39	108	12		100				
40	108	15		100				
41	108	16		100				
42	108	17		100				
43	108	26		100				
44	108	27		100				
45	108	30		100				2级装甲
46	108	31		100				
47	108	34		100				
48	108	35		100				
49	108	36		100				
50	108	41		100				
51	108	44		100				
52	108	46		100				2级辅助
53	108	47		100				
54	108	51		100				
55	108	53		100				
56	108	55		100				
57	108	56		100				
58	108	57		100				
59	108	58		100				
60	108	60		100				
61	108	13		10				3级进攻
62	108	14		10				
63	108	18		10				
64	108	19		10				
65	108	20		10				
66	108	21		10				
67	108	32		10				3级装甲
68	108	33		10				
69	108	37		10				
70	108	38		10				
71	108	42		10				
72	108	43		10				
73	108	48		10				3级辅助
74	108	49		10				
75	108	52		10				
76	108	54		10				
77	108	59		10				
78	112	23	1	100				2级通用属性（第三个大节点）
79	112	25	1	100				
80	112	29	1	100				
81	112	40	1	100				
82	112	45	1	100				
83	112	10		100				2级进攻
84	112	11		100				
85	112	12		100				
86	112	15		100				
87	112	16		100				
88	112	17		100				
89	112	26		100				
90	112	27		100				
91	112	30		100				2级装甲
92	112	31		100				
93	112	34		100				
94	112	35		100				
95	112	36		100				
96	112	41		100				
97	112	44		100				
98	112	46		100				2级辅助
99	112	47		100				
100	112	51		100				
101	112	53		100				
102	112	55		100				
103	112	56		100				
104	112	57		100				
105	112	58		100				
106	112	60		100				
107	112	13		30				3级进攻
108	112	14		30				
109	112	18		30				
110	112	19		30				
111	112	20		30				
112	112	21		30				
113	112	32		30				3级装甲
114	112	33		30				
115	112	37		30				
116	112	38		30				
117	112	42		30				
118	112	43		30				
119	112	48		30				3级辅助
120	112	49		30				
121	112	52		30				
122	112	54		30				
123	112	59		30				
124	116	23	1	60				2级通用属性（第四个大节点）
125	116	25	1	60				
126	116	29	1	60				
127	116	40	1	60				
128	116	45	1	60				
129	116	10		100				2级进攻
130	116	11		100				
131	116	12		100				
132	116	15		100				
133	116	16		100				
134	116	17		100				
135	116	26		100				
136	116	27		100				
137	116	30		100				2级装甲
138	116	31		100				
139	116	34		100				
140	116	35		100				
141	116	36		100				
142	116	41		100				
143	116	44		100				
144	116	46		100				2级辅助
145	116	47		100				
146	116	51		100				
147	116	53		100				
148	116	55		100				
149	116	56		100				
150	116	57		100				
151	116	58		100				
152	116	60		100				
153	116	13		50				3级进攻
154	116	14		50				
155	116	18		50				
156	116	19		50				
157	116	20		50				
158	116	21		50				
159	116	32		50				3级装甲
160	116	33		50				
161	116	37		50				
162	116	38		50				
163	116	42		50				
164	116	43		50				
165	116	48		50				3级辅助
166	116	49		50				
167	116	52		50				
168	116	54		50				
169	116	59		50				
170	120	23	1	30				2级通用属性（第五个大节点）
171	120	25	1	30				
172	120	29	1	30				
173	120	40	1	30				
174	120	45	1	30				
175	120	10		80				2级进攻
176	120	11		80				
177	120	12		80				
178	120	15		80				
179	120	16		80				
180	120	17		80				
181	120	26		80				
182	120	27		80				
183	120	30		80				2级装甲
184	120	31		80				
185	120	34		80				
186	120	35		80				
187	120	36		80				
188	120	41		80				
189	120	44		80				
190	120	46		80				2级辅助
191	120	47		80				
192	120	51		80				
193	120	53		80				
194	120	55		80				
195	120	56		80				
196	120	57		80				
197	120	58		80				
198	120	60		80				
199	120	13		120				3级进攻
200	120	14		120				
201	120	18		120				
202	120	19		120				
203	120	20		120				
204	120	21		120				
205	120	32		120				3级装甲
206	120	33		120				
207	120	37		120				
208	120	38		120				
209	120	42		120				
210	120	43		120				
211	120	48		120				3级辅助
212	120	49		120				
213	120	52		120				
214	120	54		120				
215	120	59		120				
216	123	23	1	10				2级通用属性（第六个大节点）
217	123	25	1	10				
218	123	29	1	10				
