Id	MoldId	FightType	ClearCost	RewardDropId	EventId	AfterEventId	PunishEffectGroup	Name	PanelName	Icon	BlockIcon	HeadIcon	Desc	NextFightId	NextFightCondition
1	1	3		11003	31134		1302	仿生产物群<color=#9095A0><size=24> 港口异常点</size></color>	港口异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战	[2]	
2	2	3		11006	31160		1302	大型感染机械<color=#9095A0><size=24> 雪域异常点</size></color>	雪域异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战	[3]	
3	3	3		11007	31205		1302	无名实验体<color=#9095A0><size=24> 雪林异常点</size></color>	雪林异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战	[5]	
4	4	3		11008	31210		1302	虫型感染体<color=#9095A0><size=24> 矿脉异常点</size></color>	矿脉异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战		
5	5	3		11009	31095	31096	1302	不明感染体<color=#9095A0><size=24> 废墟异常点</size></color>	废墟异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战		
6	6	3			31121		1302	感染体群<color=#9095A0><size=24> 供能站异常点</size></color>	供能站异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	4	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
7	7	3			31041		1302	不明构造体<color=#9095A0><size=24> 实验室异常点</size></color>	实验室异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	4	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
8	8	3					1302	冰雪守卫<color=#9095A0><size=24> 堡垒异常点</size></color>	堡垒异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	4	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
9	8	3			31084			苍白守卫<color=#9095A0><size=24> 堡垒异常点</size></color>	堡垒异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	4	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
10	1	3		11003	31134	60001	1302	仿生产物群<color=#9095A0><size=24> 港口异常点</size></color>	港口异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战		
11	2	3				60008	1302	大型感染机械<color=#9095A0><size=24> 雪域异常点</size></color>	雪域异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	18	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	当前回合每1点剩余行动点将在下回合转化为100银币。<color=#DC143C>银币不足时，尝试保留行动点至下一天吧。</color>		
12	3	3		13002		60090	1302	无名实验体<color=#9095A0><size=24> 雪林异常点</size></color>	雪林异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	18	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	当前回合每1点剩余行动点将在下回合转化为100银币。<color=#DC143C>银币不足时，尝试保留行动点至下一天吧。</color>		
13	4	3		13001		60030	1302	虫型感染体<color=#9095A0><size=24> 矿脉异常点</size></color>	矿脉异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	18	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	当前回合每1点剩余行动点将在下回合转化为100银币。<color=#DC143C>银币不足时，尝试保留行动点至下一天吧。</color>		
14	1	3		11003	31134	60034	1302	仿生产物群<color=#9095A0><size=24> 港口异常点</size></color>	港口异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战		
15	2	3				60040	1302	大型感染机械<color=#9095A0><size=24> 雪域异常点</size></color>	雪域异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战。由于山谷环境的影响，代理作战在此处受限。（竟有金钱不能打动的敌人？）		
16	3	3		13002		60043	1302	无名实验体<color=#9095A0><size=24> 雪林异常点</size></color>	雪林异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战。由于山谷环境的影响，代理作战在此处受限。（竟有金钱不能打动的敌人？）		
17	4	3		13001	60048	60051	1302	虫型感染体<color=#9095A0><size=24> 矿脉异常点</size></color>	矿脉异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战。由于山谷环境的影响，代理作战在此处受限。（竟有金钱不能打动的敌人？）		
18	1	3		11003	31134		1302	仿生产物群<color=#9095A0><size=24> 港口异常点</size></color>	港口异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战	[2]	
19	1	3		11003	31134		1302	仿生产物群<color=#9095A0><size=24> 港口异常点</size></color>	港口异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战	[2]	
20	11	4						感染体群<color=#9095A0><size=24> 供能站异常点</size></color>	供能站异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	4	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
21	12	4						不明构造体<color=#9095A0><size=24> 实验室异常点</size></color>	实验室异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	4	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
22	13	4						冰雪守卫<color=#9095A0><size=24> 堡垒异常点</size></color>	堡垒异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	4	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
23	9	3		11007	60283	60285	1302	舒尔茨<color=#9095A0><size=24>  沙盘系统异常点</size></color>	沙盘系统异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
24	10	3		11007	60283	60286	1302	舒尔茨<color=#9095A0><size=24>  沙盘系统异常点</size></color>	沙盘系统异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
25	14	3		11007	70019	70021	1302	“舒尔茨”投影残躯<color=#9095A0><size=24>  沙盘系统异常点</size></color>	沙盘终端	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	前方高危敌对反应，谨慎迎战		
101	50801	4		11005				小库洛洛		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	小库洛洛拿走了好多东西		
102	50802	4		11005				小库洛洛		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	小库洛洛拿走了好多东西		
103	50803	4		11005				小库洛洛		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	小库洛洛拿走了好多东西		
104	50804	4		11005				小库洛洛		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	小库洛洛拿走了好多东西		
105	50805	4		11005				小库洛洛		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	小库洛洛拿走了好多东西		
106	50806	4		11005				小库洛洛		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	小库洛洛拿走了好多东西		
201	10101	2		11002				第1章effect用精英		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	迎战异常敌对反应		
202	10102	2		11002				第2章effect用精英		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	迎战异常敌对反应		
203	10103	2		11002				第3章effect用精英		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	迎战异常敌对反应		
204	10104	2		11002				第4章effect用精英		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	迎战异常敌对反应		
205	10105	2		11002				第5章effect用精英		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	迎战异常敌对反应		
206	10106	2		11002				第6章effect用精英		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	迎战异常敌对反应		
301	10301	2		11002				西机关点		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	供能机关-西部子站点（状态：离线中）		
302	10302	2		11002				南机关点		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	供能机关-南部子站点（状态：离线中）		
401	211	1		12001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	迎战普通敌对反应		
402	1	3		12002	31134		1302	仿生产物群	港口异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战	[403]	
403	2	3		11006	31160		1302	大型感染机械	雪原异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战	[404]	
404	3	3					1302	无名实验体	雪林异常点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	3	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	前方高危敌对反应，谨慎迎战		
501	10303	4						机械蠕虫		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	黄金时代制造的巨大机械		
502	10303	4						机械蠕虫		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	黄金时代制造的巨大机械		
503	50301	4						营地叛徒		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	营地叛徒		
504	50401	4						叛军头目		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	叛军头目		
505	50501	4						感染群		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	感染群		
11001	101	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭危险目标		
11002	103	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭大量危险目标		
11003	104	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	完成区域目标分数		
11004	111	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭危险目标		
11005	113	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭大量危险目标		
11006	114	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	完成区域目标分数		
11007	121	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭危险目标		
11008	123	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭大量危险目标		
11009	124	1		11001				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	完成区域目标分数		
11011	1101	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	消灭危险目标		
11012	1102	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	存活一定时间		
11013	1103	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	消灭大量危险目标		
11014	1104	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	完成区域目标分数		
11015	1111	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	消灭危险目标		
11016	1112	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	存活一定时间		
11017	1113	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	消灭大量危险目标		
11018	1114	2		11002				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	完成区域目标分数		
12001	201	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭危险目标		
12002	203	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭大量危险目标		
12003	204	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	完成区域目标分数		
12004	211	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭危险目标		
12005	213	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭大量危险目标		
12006	214	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	完成区域目标分数		
12007	221	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭危险目标		
12008	223	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	消灭大量危险目标		
12009	224	1		11011				低危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	11	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	完成区域目标分数		
12011	1201	2		11016				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	消灭危险目标		
12012	1202	2		11016				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	存活一定时间		
12013	1203	2		11016				高危区		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	2	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	消灭大量危险目标		
