Id	Quality	CharacterGroupA	CharacterNumA	CharacterGroupB	CharacterNumB	SelectNum	RefreshLimit	Name	Icon	Desc
1	6	1	3			1	1	分队报名函	Assets/Product/Texture/Image/IconTools/UiTheatre4Item33.png	派发后必定出现「特殊成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
2	4	101	3			1	1	报名函	Assets/Product/Texture/Image/IconTools/UiTheatre4Item33.png	派发后可招募到\n「一星成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
3	4	102	3			1	1	报名函·二星	Assets/Product/Texture/Image/IconTools/UiTheatre4Item34.png	派发后可招募到\n「二星成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
4	5	201	3			1	1	特别报名函	Assets/Product/Texture/Image/IconTools/UiTheatre4Item35.png	派发后可高概率招募到「一星特殊成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
5	5	202	3			1	1	特别报名函·二星	Assets/Product/Texture/Image/IconTools/UiTheatre4Item36.png	派发后可高概率招募到「二星特殊成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
6	6	2	3			1	1	分队报名函·II	Assets/Product/Texture/Image/IconTools/UiTheatre4Item33.png	派发后必定出现\n「特殊装甲成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
7	5	301	3			1	1	报名函·三星	Assets/Product/Texture/Image/IconTools/UiTheatre4Item36.png	派发后可招募到\n「三星成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
8	4	401	3			1	1	引导报名函	Assets/Product/Texture/Image/IconTools/UiTheatre4Item33.png	派发后可招募\n「一星成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
9	5	501	3			1	1	军事报名函	Assets/Product/Texture/Image/IconTools/UiTheatre4Item33.png	派发后必定招募到带有红色倍率的\n「一星成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
10	5	601	3			1	1	基建报名函	Assets/Product/Texture/Image/IconTools/UiTheatre4Item33.png	派发后必定招募到带有蓝色倍率的\n「一星成员」\n\n<size=24><color=#74797D>一封饱含热诚的报名函。</color></size>
