Id	Type	Des	GroupIds	Probabilitys
10001	1	测试用奖励全拿	[10001, 10002, 10003]	[0.5, 0.5, 0.5]
10002	2	测试用奖励3选1	[10001, 10002, 10003]	[1.0, 1.0, 1.0]
10003	1	存钱罐用三色奖励加成，每个+2	[10004, 10005, 10006]	[1.0, 1.0, 1.0]
10004	1	存钱罐用5次奖励	[10004, 10005, 10006]	[1.0, 1.0, 1.0]
10005	1	小怪，1星招募券+金币	[10007, 10009]	[1.0, 1.0]
10006	1	精英掉落，2星招募券+金币	[10008, 10009]	[1.0, 1.0]
10007	1	第1章宝箱，45金币	[11001]	[1.0]
10008	1	第2章宝箱，45金币	[11002]	[1.0]
10009	1	第3章宝箱，60金币	[11009, 11003]	[1.0, 1.0]
10010	1	第4章宝箱，45金币+藏品箱	[11010]	[1.0]
10011	1	第5章宝箱，60金币+藏品箱	[11011, 11005]	[1.0, 1.0]
10012	1	第6章宝箱，60金币+藏品箱	[11012, 11006]	[1.0, 1.0]
10020	1	金蛋奖励	[10020, 10023]	[1.0, 1.0]
10021	1	银蛋奖励	[10021]	[1.0]
10022	1	铜蛋奖励	[10022]	[1.0]
10023	1	扣血给的三色基数各300	[14003, 14004, 14005]	[1.0, 1.0, 1.0]
11001	1	第一章小怪掉落	[13031]	[1.0]
11002	1	第一章精英掉落	[13032, 13011]	[1.0, 1.0]
11003	1	第一章BOSS掉落	[13033, 13034, 13021]	[1.0, 1.0, 1.0]
11004	1	特殊BOSS掉落，2星招募券+特殊藏品箱+金币	[13033, 13021, 13035]	[1.0, 1.0, 1.0]
11005	1	盗宝怪全拿	[12062, 12063, 12064]	[1.0, 1.0, 1.0]
11006	1	第二章BOSS掉落	[13033, 13034, 13022]	[1.0, 1.0, 1.0]
11007	1	第三章BOSS掉落	[13033, 13035, 13023]	[1.0, 1.0, 1.0]
11008	1	第四章BOSS掉落	[13033, 13034, 13024]	[1.0, 1.0, 1.0]
11009	1	第五章BOSS掉落	[13033, 13034, 13025]	[1.0, 1.0, 1.0]
11010	1	第六章BOSS掉落	[13033, 13034, 13026]	[1.0, 1.0, 1.0]
11011	1	第二章小怪掉落	[13031]	[1.0]
11012	1	第三章小怪掉落	[13031]	[1.0]
11013	1	第四章小怪掉落	[13031]	[1.0]
11014	1	第五章小怪掉落	[13031]	[1.0]
11015	1	第六章小怪掉落	[13031]	[1.0]
11016	1	第二章精英掉落	[13032, 13012]	[1.0, 1.0]
11017	1	第三章精英掉落	[13032, 13013]	[1.0, 1.0]
11018	1	第四章精英掉落	[13032, 13014]	[1.0, 1.0]
11019	1	第五章精英掉落	[13032, 13015]	[1.0, 1.0]
11020	1	第六章精英掉落	[13032, 13016]	[1.0, 1.0]
12001	1	新手地图2招募券	[14001]	[1.0]
12002	1	新手地图1BOSS掉落，200金币	[14027]	[1.0]
13001	1	肉鸽4特殊地图常规藏品箱×1	[13034]	[1.0]
13002	1	肉鸽4特殊地图特殊藏品箱×1	[13035]	[1.0]
