Id	GroupId	Desc	Color	Weight	Resource
10001	10001		1	100	[100]
10002	10001		1	100	[100]
10003	10001		2	100	[100]
10004	10001		2	100	[100]
10005	10001		3	100	[100]
10006	10001		3	100	[100]
10007	10002	图1红	1	100	[100]
10008	10002	图1黄	2	100	[100]
10009	10002	图1蓝	3	100	[100]
10010	10003	图2红	1	100	[100]
10011	10003	图2黄	2	100	[100]
10012	10003	图2蓝	3	100	[100]
10013	10004	图3红	1	100	[150]
10014	10004	图3黄	2	100	[150]
10015	10004	图3蓝	3	100	[150]
10016	10005	图4红	1	100	[150]
10017	10005	图4黄	2	100	[150]
10018	10005	图4蓝	3	100	[150]
10019	10006	图5红	1	100	[200]
10020	10006	图5黄	2	100	[200]
10021	10006	图5蓝	3	100	[200]
10022	10007	图6红	1	100	[200]
10023	10007	图6黄	2	100	[200]
10024	10007	图6蓝	3	100	[200]
10025	11011	新手图1红	1	100	[100]
10026	11012	新手图1黄	2	100	[100]
10027	11013	新手图1蓝	3	100	[100]
10028	11021	新手图2红	1	100	[200]
10029	11022	新手图2黄	2	100	[200]
10030	11023	新手图2蓝	3	100	[200]
10031	11031	新手图3红	1	100	[500]
10032	11032	新手图3黄	2	100	[500]
10033	11033	新手图3蓝	3	100	[500]
10034	11034	黄金城0资源-黄	2	100	[0]
10035	11035	逆风小径0资源-蓝	3	100	[0]
