Id	GoodsGroupId	ConditionId	RewardId	EndDesc	EndComfirmText	RoleIcon	RoleName	RoleContent	BgAsset	NodeBg	NodeIcon	NodeDesc	NodeEffectUrl	Name	Icon	BlockIcon	Title	TitleContent	Desc	UnOpenDesc	RefreshLimit	RefreshFreeTimes	RefreshCost
1	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	都需要些什么？我帮你一起挑挑吧						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	港口补给处	需要什么补给？我来帮你一起挑挑。	补给有限，先来先得。	3	1	[150, 300]
2	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	都需要些什么？我帮你一起挑挑吧						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪域补给处	需要什么补给？我来帮你一起挑挑。	补给供应困难，请多体谅。	3	1	[150, 300]
3	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	都需要些什么？我帮你一起挑挑吧						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪林补给处	需要什么补给？我来帮你一起挑挑。	补给数量扩增，快来看看吧。	3	1	[150, 300]
4	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	都需要些什么？我帮你一起挑挑吧						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	矿脉补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
5	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	都需要些什么？我帮你一起挑挑吧						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	废墟补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
6	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	都需要些什么？我帮你一起挑挑吧						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	城区补给处	需要什么补给？我来帮你一起挑挑。	补给供应将要中断，要抓住机会。	3	1	[150, 300]
7	[101, 102, 103]					Assets/Product/Texture/Image/RoleStory/IceguideNomal.png	狄安娜	我们可以通过以物换物的方式，换取需要的补给。						军事补给	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	军事补给处	提供军事建设支援		这里是特殊补给处，请问你需要来点什么？	3	1	[150, 300]
8	[201, 202, 203]					Assets/Product/Texture/Image/RoleStory/IceguideNomal.png	狄安娜	我们可以通过以物换物的方式，换取需要的补给。						基建补给	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	基建补给处	提供基础建设支援		这里是特殊补给处，请问你需要来点什么？	3	1	[150, 300]
9	[301, 302, 303, 304]					Assets/Product/Texture/Image/RoleStory/V129HsyhNormal01.png	奇怪的声音	太棒了！你们果然是最优秀的造访者，无论什么试炼都能轻松完成。						神秘店铺	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	神秘店铺	太棒了！你们果然是最优秀的造访者，无论什么试炼都能轻松完成。		这里这里！	3	1	[150, 300]
10	[1, 2, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	都需要些什么？我帮你一起挑挑吧						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	城区补给处	需要什么补给？我来帮你一起挑挑。	补给供应将要中断，要抓住机会。	3	1	[150, 300]
101	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	商店内的物品都展示在这里了。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	港口补给处	需要什么补给？我来帮你一起挑挑。	补给有限，先来先得。	3	1	[150, 300]
102	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	没有找到趁手的工具吗？可能别的分店里会有你需要的。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	港口补给处	需要什么补给？我来帮你一起挑挑。	补给有限，先来先得。	3	1	[150, 300]
103	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	看那么久，是入神了吗？还是说……你有“选择困难症”？						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	港口补给处	需要什么补给？我来帮你一起挑挑。	补给有限，先来先得。	3	1	[150, 300]
104	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	“不要忘记付款哦~”……咳咳，你什么都没听到。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	港口补给处	需要什么补给？我来帮你一起挑挑。	补给有限，先来先得。	3	1	[150, 300]
201	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	商店内的物品都展示在这里了。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪域补给处	需要什么补给？我来帮你一起挑挑。	补给供应困难，请多体谅。	3	1	[150, 300]
202	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	没有找到趁手的工具吗？可能别的分店里会有你需要的。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪域补给处	需要什么补给？我来帮你一起挑挑。	补给供应困难，请多体谅。	3	1	[150, 300]
203	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	看那么久，是入神了吗？还是说……你有“选择困难症”？						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪域补给处	需要什么补给？我来帮你一起挑挑。	补给供应困难，请多体谅。	3	1	[150, 300]
