Id	Desc	GroupId	ItemId	Weight	Condition
1	常规藏品箱	10001	3	100	
2	常规藏品箱	10001	4	100	
3	常规藏品箱	10001	5	100	
4	常规藏品箱	10001	14	4	
5	常规藏品箱	10001	6	100	
6	常规藏品箱	10001	7	100	
7	常规藏品箱	10001	8	100	
8	常规藏品箱	10001	15	4	
9	常规藏品箱	10001	9	100	
10	常规藏品箱	10001	12	100	
11	常规藏品箱	10001	13	100	
12	常规藏品箱	10001	16	4	1020690
13	常规藏品箱	10001	28	100	
14	常规藏品箱	10001	29	100	
15	常规藏品箱	10001	30	100	
16	常规藏品箱	10001	17	4	1020688
17	常规藏品箱	10001	31	100	
18	常规藏品箱	10001	32	100	
19	常规藏品箱	10001	33	100	
20	常规藏品箱	10001	18	4	
21	常规藏品箱	10001	34	100	
22	常规藏品箱	10001	38	100	
23	常规藏品箱	10001	39	100	
24	常规藏品箱	10001	19	4	1020690
25	常规藏品箱	10001	40	100	
26	常规藏品箱	10001	41	100	
27	常规藏品箱	10001	42	100	
28	常规藏品箱	10001	22	4	1020688
29	常规藏品箱	10001	1	80	
30	常规藏品箱	10001	2	80	
31	常规藏品箱	10001	27	4	
32	常规藏品箱	10001	35	4	1020690
33	常规藏品箱	10001	43	80	
34	常规藏品箱	10001	44	80	
35	常规藏品箱	10001	45	80	
36	常规藏品箱	10001	10	80	
37	常规藏品箱	10001	36	4	1020688
38	倍率藏品箱	10002	14	100	
39	倍率藏品箱	10002	15	100	
40	倍率藏品箱	10002	16	100	1020690
41	倍率藏品箱	10002	17	100	1020688
42	倍率藏品箱	10002	18	100	
43	倍率藏品箱	10002	19	100	1020690
44	倍率藏品箱	10002	22	100	1020688
45	倍率藏品箱	10002	35	100	1020690
46	倍率藏品箱	10002	36	100	1020688
