Id	Desc	Desc1	Effects
1	同花		[1]
2	购物		[2]
3	距离美		[3]
4	攒运气		[4]
5	下班		[5]
6	上班		[6]
7	提携		[7]
8	社群		[8]
9	明星		[9]
10	杂鱼悬赏		[10]
11	资源转换		[11]
12	长条		[12]
13	建筑家		[13]
14	爆米花		[14]
15	乱码		[15]
16	吸血鬼		[16]
17	箭塔专家		[17]
18	联合		[18]
19	百花		[19]
20	保存实力		[20]
21	田型		[21]
22	大客户		[22]
23	工厂扩招		[23]
24	996		[24]
25	月光		[25]
26	优惠		[26]
27	金蛋		[27]
28	资源转换2		[28]
29	L型		[29]
30	直线·金币		[30]
31	L型·基数		[31]
32	银蛋		[32]
33	铜蛋		[33]
34	保存实力2		[34, 35, 36]
35	L型·藏品倍率		[37]
36	招安专家		[38]
38	不等效替代		[39, 40, 41, 42]
39	剩余价值		[43]
40	专项处理		[44, 45, 46]
41	勘探专家		[47]
42	物资挖掘·I		[48]
43	物资挖掘·II		[49]
44	多样化		[50]
45	多样化·II		[51]
46	启用觉醒值		[56]
47	启用时间回溯		[57]
48	蓝色25级建造	可预览十字方向2格内区域内容；每天永久提供1施工许可；建造后随机清理范围内1个危险区域；探索范围内的区域，颜色资源+150	[30037]
49	红色25天赋		[58]
50	黄色25天赋		[60]
1001	持续加伤		[1001]
1002	定时强化		[1002]
1003	消球增伤		[1003]
1004	定时给球		[1004]
1005	持续辐射		[1005]
1006	轮切给球		[1006]
1007	轮切增伤		[1007]
1008	入场增伤		[1008]
1009	消球减切人CD		[1009]
1010	入场直伤		[1010]
1011	进攻增伤		[1011]
1012	单体攻击强化		[1012]
1013	攻击力1		[1013]
1014	攻击力2		[1014]
1015	属性伤害提升1		[1015]
1016	属性伤害提升2		[1016]
1017	背水附伤		[1017]
1018	背水燃血		[1018]
1019	生命值1		[1019]
1020	生命值2		[1020]
1021	受伤加血上限		[1021]
1022	生命值附伤		[1022]
1023	生命值炸弹		[1023]
1024	能量转血		[1024]
1025	QTE减抗		[1025]
1026	QTE减伤		[1026]
1027	固定减抗		[1027]
1028	固定减抗		[1028]
1029	防爆盾		[1029]
1030	伤害减免1		[1030]
1031	伤害减免2		[1031]
1032	霸体护盾		[1032]
1033	装甲加血		[1033]
1034	单体血量强化		[1034]
1035	背水护盾		[1035]
1036	恢复效率		[1036]
1037	受伤治疗		[1037]
1038	QTE治疗		[1038]
1039	毒奶		[1039]
1040	自动治疗		[1040]
1041	出生给球		[1041]
1042	排球		[1042]
1043	QTE给球		[1043]
1044	QTE充能		[1044]
1045	信号球补充		[1045]
1046	辅助减冷却		[1046]
1047	单体减伤		[1047]
1048	切人冷却重置		[1048]
1049	闪避给球		[1049]
1050	闪避充能		[1050]
1051	自动超算		[1051]
1101	创建篝火	可以预览距离2格的内容，且每天会提供1建造点	[1101]
1102	消耗下降	篝火的建造消耗下降1点	[1102]
1103	手动翻开	创建篝火时，自动翻开距离篝火最近的1个格子	[1103]
1104	自动翻开	每天开始时，自动翻开篝火范围内的1个格子	[1104]
1105	创建箭塔	建造后，随机秒杀范围内1个可见小怪（视野范围内生效）	[1105]
1106	自爆	建造生效后自行移除，获得2建造能量	[1106]
1107	多面手	箭塔建造时，秒杀范围内所有怪物	[1107]
1108	对BOSS	箭塔能对首领生效，但只扣除首领30%当前HP（强制要求进战斗）	[1108]
1109	猪猪存钱罐	建造后，每次翻开存钱罐范围内的格子，颜色天赋数量提升+10	[1109]
1110	建造点	存钱罐的建造消耗下降3点	[1110]
1111	颜色等级	击杀储钱罐范围内的怪物，三种颜色的颜色等级额外提升2	[1111]
1112	存钱1	每次翻开存钱罐范围内的格子，累计次数5次后（每个储钱罐只生效1次），获得指定数量的颜色等级&颜色资源	[1112]
1113	能工巧匠	每天开始时，获得的建筑点数量+2（可重复获得，叠加）	[1113]
1114	改造联动	建筑影响范围内，改造地格返还1点建筑能量	[1114]
1115	矿工	当前地图建筑，每回合都可以产出3金钱	[1115]
1116	太阳能	当前地图建筑，每回合都可以产出1建造点	[1116]
1117	弱化	fightevent未正式-在建筑范围内作战，降低怪物10/20/30%伤害、提升怪物10/20/30%受到的伤害	[1117]
1118	弱化2	fightevent未正式-在建筑范围内作战，降低怪物10/20/30%伤害、提升怪物10/20/30%受到的伤害	[1118]
1119	弱化3	fightevent未正式-在建筑范围内作战，降低怪物10/20/30%伤害、提升怪物10/20/30%受到的伤害	[1119]
1120	时空穿越-奇观	（概率低，互斥）建造消耗极高（地图唯一），建造后，本地图每回合行动力+1	[1120]
1121	照准	击杀怪物后，恢复1点建造能量	[1121]
1122	改成蓝色	非蓝色格子改成蓝色	[1122]
1123	改成红色	非红色格子改成红色	[1123]
1124	改成黄色	非黄色格子改成黄色	[1124]
1125	同调	颜色改造时，会同步将十字范围内的1个非对应颜色格子改成对应颜色	[1125]
1126	消耗降低	红色改造消耗降低2	[1126]
1127	消耗降低	蓝色改造消耗降低2	[1127]
1128	消耗降低	黄色改造消耗降低2	[1128]
1129	移除障碍	移除1个障碍格	[1129]
1130	挖矿	每移除1个障碍格，可以获得10/20/30金币	[1130]
1131	洛阳铲	移除时，同步移除十字范围内随机1个障碍格	[1131]
1132	挖断怪物	现在小怪也视作障碍	[1132, 1223]
1133	改造削弱	fightevent未正式-改造后，格子&相邻格子怪物伤害降低10/20/30%、10/20/30%受到的伤害	[1133]
1134	改造削弱	fightevent未正式-改造后，格子&相邻格子怪物伤害降低10/20/30%、10/20/30%受到的伤害	[1134]
1135	改造削弱	fightevent未正式-改造后，格子&相邻格子怪物伤害降低10/20/30%、10/20/30%受到的伤害	[1135]
1136	联动	进行任意改造后，下一个建筑建造后，返还2点建筑能量	[1136]
1137	强化2	所有格子产出的颜色天赋提升5点	[1137]
1138	白嫖	改造格子时，同步获得1次受影响格子的资源产出	[1138]
1201	创造红色商店	第4次天赋选择时固定出现，红色商店初始3格（与常规商店同步），出现红色招募券	[1201, 1406]
1202	创造蓝色商店	第4次天赋选择时固定出现，蓝色商店初始3格（与常规商店同步），出现蓝色招募券、建造能量	[1202, 1406]
1203	美式购物	商店购入的第一个商品免费（购入后失效，表现是，购入首个商品之前，全部商品消耗0）	[1203]
1204	双11	所有商品7折优惠	[1204]
1205	加刷新次数	开启1次免费商店刷新	[1205]
1206	开放招安	所有怪物下方新增“招安”按钮，点击之后可以cost金币直接杀死怪物	[1206]
1207	招安打折	降低招安的金币消耗（-10%，向下取整）	[1207]
1208	招安+利息	每次招安后，每回合获得的利息+2	[1208]
1209	利息提高	利息上限+10	[1210]
1211	满钱	未满利息结算时，金币+5	[1211]
1212	利息成长	满利息结算时，利息上限+1，上限10	[1212]
1213	能量转换	每消耗1点建造能量，金币+1	[1213]
1214	多样建造	每次执行建造操作、改造操作时，金币+10	[1214]
1215	叠叠乐	翻开黄色格时金币+2，下次触发额外+1，可重复叠加，翻到非黄色格重置叠加层数	[1215]
1216	盗宝怪	每张地图会生成1个盗宝怪，消灭盗宝怪后可获得稀有奖励（金币+10，招募券*1，藏品*1）	[1216]
1217	上强度	每张地图内所有小怪格升级为精英怪格	[1217]
1218	进店赚钱	进入新商店时，金币+5	[1218]
1219	商店大亨	每日结算时，获得本局购物次数*2的金币	[1219]
1220	IPO	获得200金币	[1220]
1221	剿灭	每消灭一个怪物节点，金币+3	[1221]
1222	天使轮	获得50金币	[1222]
1224	屠杀	每消灭一个怪物节点，金币+100	[1224]
1225	利息提高		[1209]
1226	满钱Ⅱ	未满利息结算时，金币+8	[1225]
1227	利息成长Ⅱ		[1226]
1228	叠叠乐Ⅱ		[1227]
1229	进店赚钱Ⅱ		[1228]
1230	剿灭Ⅱ		[1229]
1231	金钱喷泉		[1230]
1232	开放招安	第二次出现的招安，不加金币了	[1206]
1233	转职+金币	金币+800	[1407]
1302	通用BOSS扣血	执行后扣1血，BOSS专用	[1302]
1401	翻开标记1	翻开标记1	[1401]
1402	翻开标记2	翻开标记2	[1402]
1403	翻开标记3	翻开标记3	[1403]
1404	黄、蓝地图关底标记	黄地图关底标记	[1404]
1405	大扫除事件标记1生成宝箱	生成标记1格子	[2004]
1406	冰霜蠕虫标记	冰霜蠕虫标记	[1405]
10001	外循环红1	攻击力+50	[10001]
10002	外循环红2	生命值+500	[10002]
10003	外循环红3	攻击力+10%	[10003]
10004	外循环红4	全属性伤害+15%	[10004]
10005	外循环红5	额外伤害加成+15%	[10005]
10011	外循环黄1	初始金币+20	[10011]
10012	外循环黄2	进入商店时获得50金币	[10012]
10013	外循环黄3	初始金币+40	[10013]
10014	外循环黄4	商店中商品打折10%	[10014]
10015	外循环黄5	利息上限+10	[10015]
10021	外循环蓝1	初始获得1点建筑能量	[10021]
10022	外循环蓝2	每次天赋刷新价格-10	[10022]
10023	外循环蓝3	初始获得2点建筑能量	[10023]
10024	外循环蓝4	每次天赋刷新价格-15	[10024]
10025	外循环蓝5	天赋首次刷新免费	[10025]
10031	初始金币难度1	初始金币+1	[10031]
10032	初始金币难度2	初始金币+2	[10032]
10033	初始金币难度3	初始金币+3	[10033]
10034	初始金币难度4	初始金币+4	[10034]
10035	初始金币难度5	初始金币+5	[10035]
10036	初始金币难度6	初始金币+6	[10036]
10037	时间回溯后银币+100	时间回溯后银币+100	[10037]
10038	时间回溯后额外获得1行动点		[10038]
10039	获得的觉醒值额外增加50%		[10039]
20001	作战-分队		[11000, 11007]
20002	资源-分队		[11001, 11008]
20003	基建-分队		[11002, 11009]
20004	盲盒-分队		[11004]
20005	黄金-分队		[11005, 11010]
20006	空转-分队		[11006]
20007	双重-分队		
20008	红色代理作战开局		[52, 54]
21001	小节点属性-小节点属性-攻击+8%		[20001]
21002	小节点属性-攻击+11%		[20002]
21003	小节点属性-攻击+14%		[20003]
21004	小节点属性-攻击+19%		[20004]
21005	小节点属性-攻击+23%		[20005]
21006	小节点属性-攻击+26%		[20006]
21007	小节点属性-攻击+29%		[20007]
21008	小节点属性-攻击+31%		[20008]
21009	小节点属性-攻击+34%		[20009]
21010	小节点属性-血量+300		[20010]
21011	小节点属性-防御+100		[20011]
21012	小节点属性-全属性抗性-12%（同名天赋不叠加）		[20012]
21013	小节点属性-全属性抗性-18%（同名天赋不叠加）		[20013]
21014	小节点属性-全属性抗性-20%（同名天赋不叠加）		[20014]
2005	红路线-图1-章节3隐藏区域1翻格		[2005]
2006	红路线-图1-章节3隐藏区域2翻格		[2006]
21015	小节点属性-攻击+38%		[20015]
10040	新手专用加攻	全属性伤害+55%	[1015, 1016]
10041	新手专用加防	角色受到伤害-40%	[1031, 1031, 1031, 1031]
30001	黄金城行动点转化为体力		[30001]
30002	黄金城低难买死怪物		[30002, 30003, 30004, 30005]
30003	黄金城高难买死怪物		[30006, 30007, 30008, 30009]
30004	逆风小径小怪禁止击杀		[30010, 30011, 1107]
30005	黄金城金币翻倍		[30012]
30006	黄金城金币减半		[30013]
30007	黄金城金币+100		[30014]
30008	黄金城金币-100		[30015]
30009	黄金城金币+400		[30016]
30010	黄金城颜色资源2章		[30017, 30018]
30011	黄金城颜色资源3章		[30019, 30020]
30012	黄金城颜色资源4章		[30021, 30022]
30013	逆风小径颜色资源2章-离开		[30023, 30024]
30014	逆风小径颜色资源3章		[30025, 30026]
30015	逆风小径颜色资源4章		[30027, 30028]
30016	黄金城买死限制		[30003, 30005, 30007, 30009]
30017	黄金城初始金币500		[30029, 30036]
30018	黄金城初始金币800		[30030, 30036]
30019	逆风小径建造点18		[30031]
30020	逆风小径建造点17		[30032]
30021	逆风小径颜色资源2章-继续		[30023, 30024, 30033]
30022	逆风小径建造点24		[30034]
30023	逆风小径建造点23		[30035]
