Id	PassType	Priority	Factor	Condition	Name	Desc	EndingDesc	DescColor	StoryId	StoryCondition	RImgDesc	Bg	BgEffect	SpineBg	RImgTitle	Icon	IconBg	RecordIndex	BgmCueId	MaxProsperity	MainBg	MainBgPriority
1	1	1	1.0	1020808	<color=#8e4843>沙盘</color>	<color=#333D44>旅程即将再次开始，投影者，准备好再次浸入梦境之中了吗？</color>		694f4f				Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg01.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo06.png		10	999999999		
2	1	2		1020809	<color=#8e4843>沙盘</color>	<color=#333D44>旅程即将再次开始，投影者，准备好再次浸入梦境之中了吗？</color>		694f4f				Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg01.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo06.png		10	999999999		
9	1	3	1.0	1020626	<color=#8e4843>沙盘</color>	<color=#333D44>旅程即将再次开始，投影者，准备好再次浸入梦境之中了吗？</color>		694f4f	['RG00802BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg01.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo06.png		10	999999999		
10	1	4			<color=#8e4843>沙盘</color>	<color=#333D44>旅程即将再次开始，投影者，准备好再次浸入梦境之中了吗？</color>		694f4f	['RG00802BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg01.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo06.png		10	999999999		
3	2	100	1.1		<color=#2e496b>大地的心脏</color>	<color=#333D44>这片大地的暖春已经到来，而她在莺飞草长的草原上等待着与你相见。</color>		396383	['RG00803BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg02.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo01.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		386	999999999		
4	2	5	1.1	1020629	<color=#2e496b>捕风</color>	<color=#333D44>二人之间的“共鸣”，到底会让这个维度最终走向怎样的结局？</color>		396383	['RG00807BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg06.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo02.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		35	999999999		
5	2	6	1.1	1020630	<color=#2e496b>海葬</color>	<color=#333D44>然后，再次浸入梦境。</color>		396383	['RG00806BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg05.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo02.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		8	999999999		
6	2	7	1.1	1020635	<color=#2e496b>星海之梦</color>	<color=#333D44>繁星和幻梦伴随着海波轻轻摇晃，那个曾经模糊的明日已经在道路的前方逐渐明晰。</color>		396383	['RG00805BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg04.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo04.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		386	999999999		
7	2	8	1.1	1020636	<color=#2e496b>选择</color>	<color=#333D44>前进吧，距离新的未来，仅有一步之遥了。</color>		396383	['RG00804BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg03.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo04.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		8	999999999		
8	2	9	1.0	1020676	<color=#2e496b>模拟结束</color>	<color=#333D44>模拟演算完成，系统即将开始重构——</color>		396383				Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg01.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		10	999999999		
11	2	11	1.1	1020854	<color=#2e496b>沙之城崩毁</color>	<color=#333D44>沙盘系统即将开始下一轮重启。——</color>		396383	['RG00901BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg07.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo07.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		10	999999999		
12	2	10	1.1	1020792	<color=#2e496b>破茧</color>	<color=#333D44>下一次，就让我们在沙盘之外相遇吧。——</color>		396383	['RG00902BA']			Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg07.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo07.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		10	999999999		
13	2	10	1.1	1020920	<color=#2e496b>测试文本</color>	<color=#333D44>测试文本</color>		396383				Assets/Product/Texture/Image/UiTheatre4/uitheatre4EndBg07.png			Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingBg03.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo07.png	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndLoadingEndingLogo05.png		10	999999999	Assets/Product/Texture/Image/BgStory/BgStory1419.jpg	1
