Id	Name	CountLimit	Type	Quality	EffectGroupId	Duration	Desc	DescIcon	EffectDescId	Icon	IsProp	IsShow	IsPlay	BackPrice	Condition
1	专精发展	1	2	3	1		每日探索<color=#799A31>3</color>个及以上同色区域时，对应颜色资源永久<color=#799A31>+15</color>		1	Assets/Product/Texture/Image/IconTools/UiTheatre4Item14.png		1		60	
2	囤货狂	1	2	3	2		每购买<color=#799A31>1</color>个商品，随机颜色资源永久<color=#799A31>+15</color>		2	Assets/Product/Texture/Image/IconTools/UiTheatre4Item15.png		1		60	
3	冒险家	1	3	2	3		探索区域与上一区域不相邻时，当前区域的颜色资源<color=#799A31>+80</color>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item16.png		1		40	
4	幸运星	1	3	2	4		每探索<color=#799A31>1</color>个空区，下次探索到非空区的颜色资源<color=#799A31>+100</color><size=20><color=#8B8C8C>（触发后重置）</color></size>		3	Assets/Product/Texture/Image/IconTools/UiTheatre4Item17.png		1		40	
5	紧急下班	1	3	2	5		每日最后一次行动获取的颜色资源<color=#799A31>+100</color>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item12.png		1		40	
6	爱岗敬业	1	3	2	6		每日首次行动获取的颜色资源<color=#799A31>+100</color>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item13.png		1		40	
7	升职高手	1	3	2	7		角色升星时，其携带的颜色倍率<color=#799A31>+（升星数×3）</color>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item18.png		1		40	
8	明星	1	3	2	8		结算时，三色倍率基于最高星级角色的星级增加\n<size=20><color=#8B8C8C>（次日重置）</color></size>		4	Assets/Product/Texture/Image/IconTools/UiTheatre4Item10.png		1	1	40	
9	强力支援	1	3	2	9		招募未持有角色时，该角色对应颜色倍率<color=#799A31>+1</color>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item19.png		1		40	
10	悬赏令	1	2	3	10		敌方所在区域的颜色资源翻倍			Assets/Product/Texture/Image/IconTools/UiTheatre4Item01.png		1	1	60	
12	直线规划·I	1	3	2	12		本日已探索区域形状含<Icon=Img1/>时，对应区域颜色资源<color=#799A31>+60</color>	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconFangKuai02.png	5	Assets/Product/Texture/Image/IconTools/UiTheatre4Item03_1.png		1	1	40	
13	城市建筑家	1	3	2	13		结算时，获得本日「建造/改造」次数<color=#799A31>×60</color>的三色资源		6	Assets/Product/Texture/Image/IconTools/UiTheatre4Item04.png		1	1	40	
