Id	GroupId	Color	Weight	AddWeightCondition	AddWeight	Desc
10001	10001	1	100			测试用常规颜色
10002	10001	2	100			测试用常规颜色
10003	10001	3	100			测试用常规颜色
10004	10002	1	100	1020609	150	图1-红
10005	10002	2	100	1020610	150	图1-黄
10006	10002	3	100	1020611	150	图1-蓝
10007	10003	1	100	1020609	150	图2-红
10008	10003	2	100	1020610	150	图2-黄
10009	10003	3	100	1020611	150	图2-蓝
10010	10004	1	100	1020609	100	图3-红
10011	10004	2	100	1020610	100	图3-黄
10012	10004	3	100	1020611	100	图3-蓝
10013	10005	1	100	1020609	100	图4-红
10014	10005	2	100	1020610	100	图4-黄
10015	10005	3	100	1020611	100	图4-蓝
10016	10006	1	100	1020609	50	图5-红
10017	10006	2	100	1020610	50	图5-黄
10018	10006	3	100	1020611	50	图5-蓝
10019	10007	1	100			图6-红
10020	10007	2	100			图6-黄
10021	10007	3	100			图6-蓝
10022	11011	1	100			新手图1红
10023	11012	2	100			新手图1黄
10024	11013	3	100			新手图1蓝
10025	11021	1	100			新手图2红
10026	11022	2	100			新手图2黄
10027	11023	3	100			新手图2蓝
10028	11031	1	100			新手图3红
10029	11032	2	100			新手图3黄
10030	11033	3	100			新手图3蓝
10031	11034	2	100			黄金城0资源-黄
10032	11035	3	100			逆风小径0资源-蓝
