Id	GroupId	OptionDesc	OptionDownDesc	OptionType	OptionItemType	OptionItemId	OptionItemCount	OptionStageScoreMin	OptionStageScoreMax	NextEvent	NextEventGroupId	OptionCondition	OptionShowCondition	OptionIcon	EffectGroupId
10001	10009	分支选项1	测试测试	3							10010				
10002	10009	分支选项2	给钱测试-扣10金币	1	4		10				10011				
10003	10010	分支选项3	测试测试-存在100金币通过	2	4		100				10012				
10004	10010	分支选项4	目前空，可以调整为发效果	3							10013				
10201	102	交出物资		1	4		100			103					
10202	102	武装驱逐对方（公社发展指数≥1500）		3						104		1020683			
1100101	11001	同意收留他们		3						11003			1020603		
1100102	11001	同意收留他们		3						11004			1020604		
1100103	11001	同意收留他们		3						11005			1020605		
1100104	11001	同意收留他们		3						11006			1020606		
1100105	11001	同意收留他们		3						11007			1020607		
1100106	11001	同意收留他们		3						11008			1020608		
1100107	11001	提供其他的援助		3						11002			1020603		
1100108	11001	提供其他的援助		3						11103			1020604		
1100109	11001	提供其他的援助		3						11104			1020605		
1100110	11001	提供其他的援助		3						11105			1020606		
1100111	11001	提供其他的援助		3						11106			1020607		
1100112	11001	提供其他的援助		3						11107			1020608		
1100901	11009	将这笔钱存起来		3						11109			1020605		
1100902	11009	将这笔钱存起来		3						11110			1020606		
1100903	11009	将这笔钱存起来		3						11111			1020607		
1100904	11009	将这笔钱存起来		3						11112			1020608		
1100905	11009	同意举办宴会		3						11013			1020605		
1100906	11009	同意举办宴会		3						11014			1020606		
1100907	11009	同意举办宴会		3						11015			1020607		
1100908	11009	同意举办宴会		3						11016			1020608		
1101701	11017	进行小笔交易		3						11019			1020603		
1101702	11017	进行小笔交易		3						11020			1020604		
1101703	11017	进行小笔交易		3						11021			1020605		
1101704	11017	进行小笔交易		3						11022			1020606		
1101705	11017	进行小笔交易		3						11023			1020607		
1101706	11017	进行小笔交易		3						11024			1020608		
1101707	11017	进行大笔交易		3						11018			1020603		
1101708	11017	进行大笔交易		3						11113			1020604		
1101709	11017	进行大笔交易		3						11114			1020605		
1101710	11017	进行大笔交易		3						11115			1020606		
1101711	11017	进行大笔交易		3						11116			1020607		
1101712	11017	进行大笔交易		3						11117			1020608		
1102501	11025	同意铺设管线的方式		3						11027			1020603		
1102502	11025	同意铺设管线的方式		3						11028			1020604		
1102503	11025	同意铺设管线的方式		3						11029			1020605		
1102504	11025	同意铺设管线的方式		3						11030			1020606		
1102505	11025	同意铺设管线的方式		3						11031			1020607		
1102506	11025	同意铺设管线的方式		3						11032			1020608		
1102507	11025	换另一种方式铺设		3						11026			1020603		
1102508	11025	换另一种方式铺设		3						11118			1020604		
1102509	11025	换另一种方式铺设		3						11119			1020605		
1102510	11025	换另一种方式铺设		3						11120			1020606		
1102511	11025	换另一种方式铺设		3						11121			1020607		
1102512	11025	换另一种方式铺设		3						11122			1020608		
1103301	11033	同意铺设大道的方案		3						11035			1020603		
1103302	11033	同意铺设大道的方案		3						11036			1020604		
1103303	11033	同意铺设大道的方案		3						11037			1020605		
1103304	11033	同意铺设大道的方案		3						11038			1020606		
1103305	11033	同意铺设大道的方案		3						11039			1020607		
1103306	11033	同意铺设大道的方案		3						11040			1020608		
1103307	11033	拒绝，并增设更多驿站		3						11034			1020603		
1103308	11033	拒绝，并增设更多驿站		3						11123			1020604		
1103309	11033	拒绝，并增设更多驿站		3						11124			1020605		
1103310	11033	拒绝，并增设更多驿站		3						11125			1020606		
1103311	11033	拒绝，并增设更多驿站		3						11126			1020607		
1103312	11033	拒绝，并增设更多驿站		3						11127			1020608		
1104101	11041	同意前往清扫		3						11043			1020603		
1104102	11041	同意前往清扫		3						11044			1020604		
1104103	11041	同意前往清扫		3						11045			1020605		
1104104	11041	同意前往清扫		3						11046			1020606		
1104105	11041	同意前往清扫		3						11047			1020607		
1104106	11041	同意前往清扫		3						11048			1020608		
1104107	11041	绕开这些建筑		3						11042			1020603		
1104108	11041	绕开这些建筑		3						11128			1020604		
1104109	11041	绕开这些建筑		3						11129			1020605		
1104110	11041	绕开这些建筑		3						11130			1020606		
1104111	11041	绕开这些建筑		3						11131			1020607		
1104112	11041	绕开这些建筑		3						11132			1020608		
1105201	11052	选择1	发展军事，歼灭敌人	3						11053					
1105202	11052	选择2	发展城建，保卫自己	1	10		1			11054					
1105203	11052	选择3	发展经济，均衡推进	1	4		1			11055			1020612		
1107501	11075	拒绝		3						11076			1020603		
1107502	11075	拒绝		3						11077			1020604		
1107503	11075	拒绝		3						11078			1020605		
1107504	11075	拒绝		3						11079			1020606		
1107505	11075	拒绝		3						11080			1020607		
1107506	11075	拒绝		3						11081			1020608		
1107507	11075	同意		3						11082			1020603		
1107508	11075	同意		3						11083			1020604		
1107509	11075	同意		3						11084			1020605		
1107510	11075	同意		3						11085			1020606		
1107511	11075	同意		3						11086			1020607		
1107512	11075	同意		3						11087			1020608		
1113301	11133	拒绝		3						11134			1020603		
1113302	11133	拒绝		3						11135			1020604		
1113303	11133	拒绝		3						11136			1020605		
1113304	11133	拒绝		3						11137			1020606		
1113305	11133	拒绝		3						11138			1020607		
1113306	11133	拒绝		3						11139			1020608		
1113307	11133	同意		3						11140			1020603		
1113308	11133	同意		3						11141			1020604		
1113309	11133	同意		3						11142			1020605		
1113310	11133	同意		3						11143			1020606		
1113311	11133	同意		3						11144			1020607		
1113312	11133	同意		3						11145			1020608		
1114601	11146	优先回收剩余材料		3						11147			1020603		
1114602	11146	优先回收剩余材料		3						11148			1020604		
1114603	11146	优先回收剩余材料		3						11149			1020605		
1114604	11146	优先回收剩余材料		3						11150			1020606		
1114605	11146	优先回收剩余材料		3						11151			1020607		
1114606	11146	优先回收剩余材料		3						11152			1020608		
1114607	11146	同意拉走货轮		3						11153			1020603		
1114608	11146	同意拉走货轮		3						11154			1020604		
1114609	11146	同意拉走货轮		3						11155			1020605		
1114610	11146	同意拉走货轮		3						11156			1020606		
1114611	11146	同意拉走货轮		3						11157			1020607		
1114612	11146	同意拉走货轮		3						11158			1020608		
1115901	11159	拒绝		3						11160			1020603		
1115902	11159	拒绝		3						11161			1020604		
1115903	11159	拒绝		3						11162			1020605		
1115904	11159	拒绝		3						11163			1020606		
1115905	11159	拒绝		3						11164			1020607		
1115906	11159	拒绝		3						11165			1020608		
1115907	11159	同意		3						11166			1020603		
1115908	11159	同意		3						11167			1020604		
1115909	11159	同意		3						11168			1020605		
1115910	11159	同意		3						11169			1020606		
1115911	11159	同意		3						11170			1020607		
1115912	11159	同意		3						11171			1020608		
30001	30001	分支选项1	给建造点测试-扣1建造点，显示真门区域	1	10		1			30002					
30002	30001	分支选项2	空，给玩家显示假门区域	3						30003					
3003001	30030	专门抽出时间处理		1	10		1			30032					
3003002	30030	简单地驱逐感染体		3						30033					
3005001	30050	进行松土处理		3						30051					
3006401	30064	出言劝阻		3						30070					
3006402	30064	离开这里		3						30080					
3009201	30091	谨慎离开		3						30092					
3009202	30091	冒险通过		3						30093					
3009203	30093	谨慎离开		3						30092					
3009204	30093	按照铭文的教导做		3						30094					
3014101	30141	按下按钮		3						30150					
3014102	30141	不按下按钮		3						30170					
3015201	30152	搜索残留的遗物		3						30160					
3020201	30202	离开此处		3						30210					
3022201	30222	炸开左边的门		3						30230					
3022202	30222	炸开右边的门		3						30240					
3025001	30250	继续前行		3						30271					
3025002	30250	就此折回		3						30260					
3028201	30282	搜查附近		3						30290					
3030101	30301	派出伐木工罗布		3						30310					
3030102	30301	派出钳工亚历克谢		3						30311					
3032001	30320	同意		3						30340					
3032002	30320	拒绝		3						30330					
3035201	30352	同意		3						30360					
3035202	30352	拒绝		3						30331					
3037101	30371	前去参加决战		3						30380					
3039201	30392	将棕熊带回营地		3						30400					
3100201	31002	不拿走戒指		3						31003					
3100202	31002	把戒指放在身上		3						31004					
3100203	31002	把戒指带回营地		3						31005					
3100701	31007	交出戒指		3						31008					
3100702	31007	不交出戒指		3						31010					
3101401	31014	销毁戒指		3						31015					
3101402	31014	不销毁戒指		3						31016					
3102001	31020	坚持打开这个箱子		3						31021					
3102002	31020	不管这个箱子		3						31027					
3103801	31038	看看商品		1	4		100			31040					
3103802	31038	置之不理		3						31039					
3104101	31041	使用“坐标”！		2	2	101	1			31042					
3104102	31041	直接探寻		3						31043					
3041101	30411	从外围开始拆除		3						30412					
3041102	30411	从中心开始拆除		3						30413					
3042201	30422	留下一些物资		1	4		10			30423					
3042202	30422	带他返回营地		3						30426					
3042203	30422	沉默		3						30425					
3042901	30429	启动救援模块		3						30430		1020632			
3044501	30445	望向远方的身影		3						30449			1020632		
3044502	30445	决战“机械蠕虫”		3						30446					
3108101	31081	推开红色门		3						31082					
3108102	31081	推开蓝色门		1	10		9			31083					
3109801	31098	振兴经济(黄色支援等级≥25)		3						31100		1020638	1020648		
3109802	31098	修筑工事(蓝色支援等级≥25)		3						31101		1020637			
3109803	31098	扩张军武		3						31099					
3113001	31130	回报，并报告附近林中的动物数量		3						31133			1020648		
3113002	31130	回报边境公社		3						31131					
3113003	31130	先继续独立建设		3						31132					
3114101	31141	挖开积雪，仔细搜索		3						31148			1020648		
3114102	31141	砍伐所有的雪松		3						31142					
3114103	31141	只砍伐枯萎的雪松		3						31145					
3117201	31172	安抚渔民		3						31173					
3117202	31172	承诺会尽快处理机械角鲸		3						31176					
3118501	31185	在基地附近装上电铁网作为屏障		3						31190			1020648		
3118502	31185	让全部社员参加围猎		3						31186					
3118503	31185	留下一半社员保卫基地		3						31188					
3111901	31119	恢复供能(清理地图上2个子站点区域)		3						31120		1020659			
3050601	30506	放走他们		3						30507					
3050602	30506	抓他们回去		3						30509					
3052201	30522	全力应战		3						30523					
3052202	30522	留有余地		3						30527					
4000301	40003	满分奖励		3						40004					
4000302	40003	中分奖励		3						40005					
4000303	40003	低分奖励		3						40006					
6000103	60004	暂不前往		3						60005					
6000101	60004	前往白银城		3						60006		1020708	1020708		
6000801	60008	折返		3						60009		1020726	1020726		
6000802	60008	继续探索		3						60010		1020726	1020726		
6001101	60011	同意交换		3						60012					30005
6001102	60011	置之不理		3						60014					
6002101	60021	收下礼物		3						60022					30007
