Id	ShopGroupId	ShopId	Weight	NodeRepeatable	GameRepeatable	ConditionId	Des
1	1	1	100	1	1		测试用商店
2	1	2	100	1	1		测试用商店
3	1001	8	100	1	1		黄色天赋-蓝色商店组
4	1001	8	100	1	1		黄色天赋-蓝色商店组
5	1002	7	100	1	1		黄色天赋-红色商店组
6	1002	7	100	1	1		黄色天赋-红色商店组
7	1003	1	100	1	1		章节1地图商店
8	1003	101	100	1	1		章节1地图商店
9	1003	102	100	1	1		章节1地图商店
10	1003	103	100	1	1		章节1地图商店
11	1003	104	100	1	1		章节1地图商店
12	1004	2	100	1	1		章节2地图商店
13	1004	201	100	1	1		章节2地图商店
14	1004	202	100	1	1		章节2地图商店
15	1004	203	100	1	1		章节2地图商店
16	1004	204	100	1	1		章节2地图商店
17	1005	3	100	1	1		章节3地图商店
18	1005	301	100	1	1		章节3地图商店
19	1005	302	100	1	1		章节3地图商店
20	1005	303	100	1	1		章节3地图商店
21	1005	304	100	1	1		章节3地图商店
22	1006	4	100	1	1		章节4地图商店
23	1006	401	100	1	1		章节4地图商店
24	1006	402	100	1	1		章节4地图商店
25	1006	403	100	1	1		章节4地图商店
26	1006	404	100	1	1		章节4地图商店
27	1007	5	100	1	1		章节5地图商店
28	1007	501	100	1	1		章节5地图商店
29	1007	502	100	1	1		章节5地图商店
30	1007	503	100	1	1		章节5地图商店
31	1007	504	100	1	1		章节5地图商店
32	1008	6	100	1	1		章节6地图商店
33	1008	601	100	1	1		章节6地图商店
34	1008	602	100	1	1		章节6地图商店
35	1008	603	100	1	1		章节6地图商店
36	1008	604	100	1	1		章节6地图商店
37	2001	9	100				隐藏商店
38	3001	10	100				黄天赋25商店
