Id	Type	Cost	EffectGroupId	Condition	PreIds	Name	Desc	Icon
1	1	50	10001			磨尖拭锐	攻击力+50	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png
2	1	50	10002		[1]	强身健体	生命值+500	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png
3	1	50	10003		[2]	以半击倍	攻击力+10%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png
4	1	50	10004		[3]	全般精通	全属性伤害+15%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png
5	1	100	10005		[4]	势不可挡	额外伤害加成+15%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon031.png
6	2	50	10011			启动资金	初始新苏菲亚币+20	Assets/Product/Texture/Image/IconSkill/R2BuouxiongSSS1.png
7	2	50	10012		[6]	交易补贴	进入商店时获得50新苏菲亚币	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon021.png
8	2	50	10013		[7]	富裕资产	初始新苏菲亚币+40	Assets/Product/Texture/Image/IconSkill/R2SufeiyaS1.png
9	2	50	10014		[8]	谈判手腕	商店中商品价格降低10%	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png
10	2	100	10015		[9]	操盘大手	利息上限+10	Assets/Product/Texture/Image/IconSkill/R4luxiyaSS1.png
11	3	50	10021			白手起家	初始获得1个施工许可	Assets/Product/Texture/Image/IconSkill/R4KalieninaExqiu1.png
12	3	50	10022		[11]	多样决策	每次营地支援刷新价格-10	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33031.png
13	3	50	10023		[12]	一应俱全	初始获得2个施工许可	Assets/Product/Texture/Image/IconSkill/R4KalieninaExhexin2.png
14	3	50	10024		[13]	精打细算	每次营地支援刷新价格-15	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33032.png
15	3	100	10025		[14]	深计远虑	营地支援首次刷新免费	Assets/Product/Texture/Image/IconSkill/R2KamuZhongjieji1.png
16	4	50	46	1020770		茧中初醒	可在局内获得觉醒值	Assets/Product/Texture/Image/IconSkill/UiTheatre4SkillIconJX01.png
17	4	50	47		[16]	逆流重构	解锁沙盘重构：使用后可回到3天前并返还期间消耗的部分资源，每章可使用1次且次数无法累计，进入当前地图3天后才可使用	Assets/Product/Texture/Image/IconSkill/UiTheatre4SkillIconJX03.png
18	4	50	10037		[17]	拟合递归	沙盘重构后额外获得100银币	Assets/Product/Texture/Image/IconSkill/UiTheatre4SkillIconJX04.png
19	4	50	10038		[18]	溯洄沙漏	沙盘重构后额外获得行动点+1	Assets/Product/Texture/Image/IconSkill/UiTheatre4SkillIconJX05.png
20	4	100	10039		[19]	樊外窥梦	获得的觉醒值额外增加50%	Assets/Product/Texture/Image/IconSkill/UiTheatre4SkillIconJX02.png
