Id	Desc	Desc1	Type	Params	SkillCostType	SkillCostId	SkillCostCount	SkillCostUp	SkillCostResetType
1	同花		1	[3, 15]					
2	购物		2	[15]					
3	距离美		3	[80]					
4	攒运气		4	[1, 100]					
5	下班		5	[100]					
6	上班		6	[100]					
7	提携		7	[3]					
8	明星		8	[1]					
9	社群		9	[1]					
10	杂鱼悬赏		10	[1]					
11	资源转换		11	[1]					
12	直线·基数		12	[60, 0]					
13	建筑家		13	[60]					
14	爆米花		14	[30000, 1, 5000]					
15	乱码		15	[0, 4]					
16	吸血鬼		16	[5000]					
17	箭塔专家		17	[1, 3000]					
18	联合		18	[5000, 0]					
19	百花		19	[3, 4000]					
20	保存实力		20	[7, 1, 5]					
21	田型		21	[50000, 0]					
22	大客户		22	[6000]					
23	工厂扩招		23	[1]					
24	996		24	[1]					
25	月光		35	[3, 3, 2, 1]					
26	优惠		26	[1]					
27	金蛋		27	[100, 500, 10020]					
28	资源转换2		28	[2]					
29	L型·金币		29	[40, 0]					
30	直线·金币		36	[4, 0, 40, 0]					
31	L型·基数		37	[0, 0, 60, 0]					
32	银蛋		27	[30, 120, 10021]					
33	铜蛋		27	[20, 60, 10022]					
34	保存实力2-红色		20	[7, 1, 5]					
35	保存实力2-黄色		20	[7, 2, 5]					
36	保存实力2-蓝色		20	[7, 3, 5]					
37	L型·藏品倍率		37	[2000, 0, 0, 0]					
38	招安专家		34	[1, 4000]					
39	不等效替代·减资源		31	[-30]					
40	不等效替代·加资源红		35	[1, 12, 1, 60]					
41	不等效替代·加资源黄		35	[1, 12, 2, 60]					
42	不等效替代·加资源蓝		35	[1, 12, 3, 60]					
43	剩余价值		20	[4, 0, 40]					
44	专项处理-红		32	[8, 1, 0, 12, 1, 60]					
45	专项处理-黄		32	[8, 1, 0, 12, 2, 60]					
46	专项处理-蓝		32	[8, 1, 0, 12, 3, 60]					
47	勘探专家		32	[5, 1, 0, 3, 2, 1]					
48	物资挖掘·I		219	[3, 2, 2]					
49	物资挖掘·II		219	[3, 7, 1]					
50	多样化·I		38	[3, 0, 1]					
51	多样化·II		38	[3, 6, 0]					
52	代理效果减半-黄		421	[2, 5000]					
53	代理效果减半-蓝		421	[3, 5000]					
54	红色代理作战		422	[1, 2, 3, 4]					
56	启用觉醒值		424						
57	启用时间回溯		423	[1]	17		1		
58	红色25天赋		413	[1, 3]					
59	蓝色25天赋		414	[1001, 1002, 1003]					
60	黄色25天赋		415	[10, -1]					
1001	持续加伤			[2251500]					
1002	定时强化			[2251501]					
1003	消球增伤			[2251502]					
1004	定时给球			[2251503]					
1005	持续辐射			[2251504]					
1006	轮切给球			[2251505]					
1007	轮切增伤			[2251506]					
1008	入场增伤			[2251507]					
1009	消球减切人CD			[2251508]					
1010	入场直伤			[2251509]					
1011	进攻增伤			[2251510]					
1012	单体攻击强化			[2251511]					
1013	攻击力1			[2251512]					
1014	攻击力2			[2251513]					
1015	属性伤害提升1			[2251514]					
1016	属性伤害提升2			[2251515]					
1017	背水附伤			[2251516]					
1018	背水燃血			[2251517]					
1019	生命值1			[2251518]					
1020	生命值2			[2251519]					
1021	受伤加血上限			[2251520]					
1022	生命值附伤			[2251521]					
1023	生命值炸弹			[2251522]					
1024	能量转血			[2251523]					
1025	QTE减抗			[2251524]					
1026	QTE减伤			[2251525]					
1027	固定减抗			[2251526]					
1028	固定减抗			[2251527]					
1029	防爆盾			[2251528]					
1030	伤害减免1			[2251529]					
1031	伤害减免2			[2251530]					
1032	霸体护盾			[2251531]					
1033	装甲加血			[2251532]					
1034	单体血量强化			[2251533]					
1035	背水护盾			[2251534]					
1036	恢复效率			[2251535]					
1037	受伤治疗			[2251536]					
1038	QTE治疗			[2251537]					
1039	毒奶			[2251538]					
1040	自动治疗			[2251539]					
1041	出生给球			[2251540]					
1042	排球			[2251541]					
1043	QTE给球			[2251542]					
1044	QTE充能			[2251543]					
1045	信号球补充			[2251544]					
1046	辅助减冷却			[2251545]					
1047	单体减伤			[2251546]					
1048	切人冷却重置			[2251547]					
1049	闪避给球			[2251548]					
1050	闪避充能			[2251549]					
1051	自动超算			[2251550]					
1101	创建篝火	<color=#00FF7F>在已翻开区域建造</color>，可<color=#00FF7F>预览2格</color>内区域内容，且每天永久<color=#00FF7F>提供1施工许可</color>	101	[1001]	10		8		
1102	消耗下降	篝火的建造消耗下降1点	102	[1101, -1]					
1103	手动翻开	创建篝火时，自动翻开距离篝火最近的1个格子	103	[1]					
1104	自动翻开	每天开始时，自动翻开篝火范围内的1个格子	104	[1]					
1105	创建箭塔	<color=#00FF7F>在已翻开区域建造</color>，随机<color=#00FF7F>清理</color>范围内1个<color=#00FF7F>危险区域</color>	101	[1002]	10		7		
1106	自爆	箭塔生效后自行移除，获得2建造能量	105	[2]					
1107	多面手	箭塔能秒杀范围内所有怪物	106	[99]					
1108	对BOSS	箭塔能对首领生效，但只扣除首领30%当前HP（强制要求进战斗）	107	[3000]					
1109	猪猪存钱罐	<color=#00FF7F>在已翻开区域建造</color>，影响范围内区域的<color=#00FF7F>颜色资源+150</color>	101	[1003]	10		6		
1110	建造点	存钱罐的建造消耗下降1点	102	[1109, -1]					
1111	颜色等级	击杀储钱罐范围内的怪物，三种颜色的颜色等级额外提升2	108	[10003]					
1112	存钱1	每次翻开存钱罐范围内的格子，累计次数3次后（每个储钱罐只生效1次），获得指定数量的颜色等级&颜色资源	110	[3, 10004]					
1113	能工巧匠	每天开始时，获得的建筑点数量+1（可重复获得，叠加）	111	[10, 0, 1]					
1114	改造联动	建筑影响范围内，改造地格返还1点建筑能量	112	[10, 0, 1]					
1115	矿工	当前地图建筑，每回合都可以产出30金钱	113	[4, 0, 30]					
1116	太阳能废弃	当前地图建筑，每回合都可以产出1建造点	113	[10, 0, 1]					
1117	弱化	fightevent未正式-在建筑范围内作战，降低怪物10/20/30%伤害、提升怪物10/20/30%受到的伤害		[2251555]					
1118	弱化2	fightevent未正式-在建筑范围内作战，降低怪物10/20/30%伤害、提升怪物10/20/30%受到的伤害		[2251556]					
1119	弱化3	fightevent未正式-在建筑范围内作战，降低怪物10/20/30%伤害、提升怪物10/20/30%受到的伤害		[2251557]					
1120	时空穿越-奇观	（地区唯一)<color=#00FF7F>在已翻开区域建造</color>，本地区<color=#00FF7F>每回合行动力+2</color>	101	[1004]	10		3		
1121	照准	击杀怪物后，恢复1点建造能量	109	[10, 0, 1]					
1122	改成蓝色	<color=#00FF7F>非蓝色</color>格子改成<color=#00FF7F>蓝色</color>	115	[3]	10		4		
1123	改成红色	<color=#00FF7F>非红色</color>格子改成<color=#00FF7F>红色</color>	115	[1]	10		4		
1124	改成黄色	<color=#00FF7F>非黄色</color>格子改成<color=#00FF7F>黄色</color>	115	[2]	10		4		
1125	同调	颜色改造时，会同步将十字范围内的1个非对应颜色格子改成对应颜色	116	[1]					
1126	消耗降低	红色改造消耗降低1	102	[1123, -1]					
1127	消耗降低	蓝色改造消耗降低1	102	[1122, -1]					
1128	消耗降低	黄色改造消耗降低1	102	[1124, -1]					
1129	移除障碍	<color=#00FF7F>移除</color>1个<color=#00FF7F>废墟</color>区域	117	[0]	10		4		
1130	挖矿	每移除1个障碍格，可以获得50/100/150金币	118	[4, 0, 50]					
1131	洛阳铲	移除时，同步移除十字范围内随机1个障碍格	119	[1]					
1132	挖断怪物	现在小怪也视作障碍	120	[0]					
1133	改造削弱	fightevent未正式-改造后，格子&相邻格子怪物伤害降低10/20/30%、10/20/30%受到的伤害		[2251555]					
1134	改造削弱	fightevent未正式-改造后，格子&相邻格子怪物伤害降低10/20/30%、10/20/30%受到的伤害		[2251556]					
1135	改造削弱	fightevent未正式-改造后，格子&相邻格子怪物伤害降低10/20/30%、10/20/30%受到的伤害		[2251557]					
1136	联动	进行任意改造后，下一个建筑建造后，返还1点建筑能量	122	[10, 0, 1]					
1137	强化2废弃	所有格子产出的颜色天赋提升5点	123	[5]					
1138	白嫖	改造格子时，同步获得1次受影响格子的资源产出	125	[10000]					
1139	篝火-太阳花	默认携带，每日恢复建造点	111	[10, 0, 1]					
1201	创造红色商店	<color=#00FF7F>在已翻开区域呼唤军事商人</color>，可强化红色能力	201	[1002]	4		100	[200, 300, 400, 500, 600, 700, 800, 900, 1000]	2
1202	创造蓝色商店	<color=#00FF7F>在已翻开区域呼唤基建商人</color>，可直接强化蓝色能力	201	[1001]	4		100	[200, 300, 400, 500, 600, 700, 800, 900, 1000]	2
1203	直接拿	新发现的商店，首个商品免费	202	[1]					
1204	双11	所有商品7折优惠	203	[-3000]					
1205	加刷新次数	开启1次免费商店刷新	204	[0]					
1206	开放招安	所有怪物下方新增“招安”按钮，点击之后可以cost金币直接杀死怪物	205	[0]					
1207	招安打折	降低招安的金币消耗（-20%，向下取整）	206	[-2000]					
1208	招安+利息	每次招安后，每回合获得的利息+25	207	[25]					
1209	利息提高Ⅱ	利息上限+15	208	[15]					
1210	利息提高	利息上限+10	208	[10]					
1211	满钱	未满利息结算时，金币+5	209	[4, 0, 5]					
1212	利息成长	满利息结算时，利息上限+2，上限20	210	[2, 20]					
1213	能量转换	每消耗1点建造能量，金币+50	211	[4, 0, 50]					
1214	多样建造	每次执行建造操作、改造操作时，金币+50	212	[4, 0, 50]					
1215	叠叠乐	翻开黄色格时金币+30，下次触发额外+20，可重复叠加，翻到非黄色格重置叠加层数	213	[2, 4, 0, 30, 20]					
1216	盗宝怪	每张地图会生成1个盗宝怪，消灭盗宝怪后可获得稀有奖励（金币+10，招募券*1，藏品*1）	215	[101, 102, 103, 105, 106]					
1217	上强度	所有小怪产出提升至精英怪水平	216	[1201, 2201, 3201, 5201, 6201]					
1218	进店赚钱	进入新商店时，金币+80	217	[4, 0, 80]					
1219	商店大亨	每日结算时，获得本局购物次数*10的金币	218	[4, 0, 10]					
1220	IPO	获得200金币	219	[4, 0, 200]					
1221	剿灭	每消灭一个怪物节点，金币+30	109	[4, 0, 30]					
1222	天使轮	获得100金币	219	[4, 0, 100]					
1223	挖矿消耗提升	移除障碍消耗提升（绑定挖断小怪）	102	[1129, 2]					
1224	屠杀	每消灭一个怪物节点，金币+100	109	[4, 0, 100]					
1225	满钱Ⅱ	未满利息结算时，金币+8	209	[4, 0, 8]					
1226	利息成长	满利息结算时，利息上限+4，上限20	210	[4, 20]					
1227	叠叠乐Ⅱ	翻开黄色格时金币+45，下次触发额外+30，可重复叠加，翻到非黄色格重置叠加层数	213	[2, 4, 0, 45, 30]					
1228	进店赚钱	进入新商店时，金币+120	217	[4, 0, 120]					
1229	剿灭Ⅱ	每消灭一个怪物节点，金币+45	109	[4, 0, 45]					
1230	金钱喷泉	每天获得233金币	35	[1, 4, 0, 233]					
1301	共用效果	加1000繁荣	219	[6, 0, 0]					
1302	通用BOSS扣血	执行后扣1血，BOSS专用	407	[1]					
