Key	Desc	Values
ChapterNumberParameter	章节数参数	['100000']
ProsperityIndexParameter	繁荣度参数	['1']
CellsOpenedParameter	翻开格子数目参数	['150000']
InterestNeedCount	单次利息需要金币数【危险】	['10']
InterestAwardCount	单次利息奖励金币数	['1']
InterestAwardLimit	回合利息奖励金币上限【危险】	['30']
OpenCloseCheck	开启强退检测	['1']
CloseCheckCount	容错保底次数	['1']
ItemCountLimit	藏品上限	['5']
InheritItemNum	藏品继承数量	['2']
InheritItemThreshold	藏品继承阈值（翻格数要求）	['9999']
PassChapterOperable	历史关卡操作许可	['0']
MaxTotalTechPoint	可获得科技点总上限	['1200']
MaxColorPoint	可获得天赋点上限	
MaxProsperity	可获得繁荣度上限	
