Key	Desc	Value
KalieStoryStage	V2.6卡列剧情关卡预制体	['Assets/Product/Ui/ComponentPrefab/FuBenLottoKarenina/GridLottoKareninaStory.prefab']
KalieFightStage	V2.6卡列战斗关卡预制体	['Assets/Product/Ui/ComponentPrefab/FuBenLottoKarenina/GridLottoKareninaFight.prefab']
VeraLottoSkipId	V2.9-三头犬活动联动薇拉皮肤卡池skipId	['90027']
WeaponFashionCharacter	V2.13装备武器涂装的角色Id	['1071004']
WeaponFashionId	V2.13武器涂装Id	['12280002']
LunaWeaponFashionCharacter	V3.0露娜装备武器涂装的角色Id	['1171004']
LifuWeaponCharacter	丽芙小蝴蝶角色Id	['1031004']
VeraWeaponCharacter	薇拉绯耀国风角色Id	['1131003']
LunaWeaponFashionId	V3.0露娜武器涂装Id	['12430003']
LunaChoukaVioletEnableBgmId	V3.0露娜紫色bgmId	['5174']
LunaChoukaYellowEnableBgmId	V3.0露娜橙色bgmId	['5173']
LunaChoukaRedEnableBgmId	V3.0露娜红色bgmId	['5175']
VeraWeaponFashionId	薇拉武器涂装Id	['12230004']
LifuWeaponFashionId	丽芙武器涂装id	['12240003']
CibeizheWeaponCharacter	慈悲者角色id	['1321003']
CibeizheWeaponFashionId	慈悲者武器涂装Id	['12500003']
