Id	GroupId	Index	Condition	LockedTitle	LockedDesc	UnlockedTitle	UnlockedDesc
1	1001	1	50001029	呵护成长	露西亚正在尝试新的兴趣	呵护成长	在丽芙的推荐下，露西亚开始尝试园艺，她每天都会花时间来看幼苗的状态。
2	1001	2	50001030	人群之中	有人说在高处见到了露西亚。	人群之中	露西亚认为人们熙攘忙碌的样子就是憧憬未来的证明
3	1001	3	50001031	珍藏艺术	露西亚在画布前思考	珍藏艺术	露西亚画的阿呆蛙被人称赞 “传神又可爱”，为了画得更好她特意来艺术馆取经。\n给她鼓励也是指挥官的职责。
4	1002	1	50001032	沉浸式观影	与正在观影的布偶熊打招呼	沉浸式观影	布偶熊偶尔会在环空影院测试自己的“新玩具”，有空可以去看看进度。
5	1002	2	50001033	正在收音	找到在广场走来走去的布偶熊	正在收音	为了让编曲变得有趣，布偶熊会在交汇广场收集各种音源。
6	1002	3	50001034	售后服务	布偶熊看着投影陷入沉思	售后服务	艺术馆的投影是布偶熊的作品，在她眼里这个作品似乎还不够完美。
7	1003	1	50001035	戏里戏外	薇拉似乎在电影海报前思考	戏里戏外	薇拉似乎会被人当成剧目的演员之一，常常会有人找她要签名。\n或许真可以找她签一个？
8	1003	2	50001036	闲情逸致	偶尔会在梦晖绿荫见到鲜红的身影	闲情逸致	得闲的时候薇拉就会到梦晖绿荫休息。
9	1003	3	50001037	无糖饮料	薇拉似乎想聊些关于物资的问题	无糖饮料	薇拉会帮忙清点送来的物资，作为感谢，可以请她喝一杯。
10	1004	1	50001038	人生	百合到了花季的时候，比安卡总会去梦晖绿荫看看	人生	就这样与比安卡许下了每个春天都一起赏花的约定。人生就是春天的愿望实现后，便开始期待夏天的愿望，四季往复，岁岁年年。
11	1004	2	50001039	如戏	等待电影开场的间隙，比安卡总会在环空广场欣赏风景	如戏	比安卡在桥上看风景的时候，看风景的人也在看着她。\n生活中每一个美好降临的瞬间，都像电影情节真实上演。\n此刻，说出那句台词吧。
12	1004	3	50001040	写自己的剧本	影院的售票大厅，比安卡还没决定好下一场看什么	写自己的剧本	对故事形成的过程越了解，对故事水平的要求也越高。\n不再只被别人的叙事推着前进，比安卡已经开始自己书写自己的剧本。
13	1005	1	50001041	人马与花	罗塞塔喜欢待在植物多的地方	人马与花	绿意在极地是奢侈的东西，但正因如此，才显得格外美丽，罗塞塔会在这里思考各种事情，有空的话或许能听听她在极地的一些见闻。
14	1005	2	50001042	篝火	罗塞塔似乎对广场上的投影感兴趣	篝火	投影的光亮让罗塞塔联想到以前的一些生活习惯，按她理解似乎无论在哪里，大家所追求的东西都是一样的。
15	1005	3	50001043	欣赏艺术	在鲸鱼的投影附近可以找到罗塞塔	欣赏艺术	鲸鱼的投影吸引了罗塞塔，听她的描述，似乎乘坐在德雷克背上会有十分奇妙的体验，或许下次能试试。
16	1006	1	50001044	回礼	梦晖绿荫为青少年培育中心的孩子提供了很多了解生态的机会	回礼	万事的回礼是一些有趣的生态知识和捉弄人的蜜蜂玩笑。而孩子们收到的是对故土的想象，以及来自老师的珍贵情谊。
17	1006	2	50001045	万事屋	只要有规划，电影院也很适合睡觉	万事屋	万事屋就是在大家遇到困难时能提供帮助的存在。\n万事是一个很温柔的存在。
18	1006	3	50001046	当个事办	万事似乎预约了奥林匹亚艺术馆的美术展	当个事办	认真学习了艺术协会的布置经验后，那份成立休眠协会的提案，万事已经完成了五分之二，虽然共同提案人还不知道它的存在。
19	1007	1	50001049	分内之事	在物流中心也能自然地进入工作状态，这是里的“天赋”	分内之事	众所周知，灰鸦小队指挥官的外骨骼日常维养，已经变成里的分内事。但“体围测量”这份准备工作的归属权……暂时有待商议。
20	1007	2	50001048	故地	里似乎常在知慧游廊某个靠近军备区的地方休息	故地	也许是那天的冰激凌真的很好吃，里日常总会选择在这里放松一会。虽然生活充满变化，好在身边的这些人始终如一。
21	1007	3	50001047	声音的秘密	站在梦晖绿荫的窗边，能看到静谧的宇宙	声音的秘密	谈及过去的回忆，其实很多东西都不太一样。这些不一样就像猫的秘密，而秘密要用比猫咪叫声还小的声音说出来，才不会被人发现。
22	1008	1	50001050	并非挑剔	即使是阿西莫夫，在决定看什么电影时也会有选择困难症	并非挑剔	为了让严谨的科研人员能自在地享受故事，推荐陌生领域的电影是不错的方法。但对“什么都知道”的阿西莫夫来说，似乎并不奏效。
23	1008	2	50001051	“看不见”的工作	科学理事会也是梦晖绿荫的承办单位	“看不见”的工作	阿西莫夫需要关心的事情很多，帕弥什、构造体，灰鸦指挥官偶尔带回的新研究“对象”，还有……让每一个幸存者都能好好吃饭。
24	1008	3	50001052	保持通讯	繁忙的物流中心，忙碌的阿西莫夫	保持通讯	阿西莫夫为不同标签对象设置了不同通讯音提示，这只是优先级分类的基础方法，但决定先回复谁，就纯属私人恩……不，个人情感了。
25	1009	1		她的身影	听一些学生说，教学中心的三楼偶尔会看见某个升格者的身影。	她的身影	在先前的战斗中，阿尔法与学生的对话被意外录了下来，而这份录像的内容，在某种情况下似乎会发生变化。
26	1010	1		指导	在训练室内，神威正为体术课的改进建议而烦恼。	指导	在神威教官的评估中，录入对战机器人系统中的战斗模组略显老套。
27	1010	2		学生时代	教室外的走廊上，有个身影小心翼翼地观察着。	学生时代	良好的教育资源始终是一种奢侈的事物，神威看向学生的目光总是很温柔……且带着一丝羡慕。\n不过，比起听课，神威更在意的是和大家一起享受度过的时光。
28	1010	3		致意	前驱者碑林前，有人在默默念诵。	致意	阳光开朗的外表下，神威有着细腻的心。
29	1010	4		排队	叠环街区的小吃摊前面总是大排长龙，香味吸引了神威。	排队	等法奥斯的修缮正式竣工，再邀请神威去你最喜欢的那家小吃摊吧。
30	1010	5		犹豫	神威在光谱花园前烦恼着什么，不会是迷路了吧？	犹豫	神威并非外表上看起来那样粗枝大叶，相信他一定能提出很好的实战建议。
31	1011	1		榜单	看着训练室的模拟分数，有人似乎不太满意。	榜单	凡妮莎想看到更多优秀人才的涌现。她的高标准不止对自己，也是对身边所有人。
32	1011	2		风纪	自习教室的窗外，一双锐利的眼睛正打量着室内。	风纪	虽然嘴上不饶人，但凡妮莎还是进去对那些解不开题的后辈进行了提点。\n“这道题，多看几遍军事地形学教授编写的《制高点》就知道答案了。”
33	1011	3		宣讲	受邀的优秀毕业生会在黄金大厅进行动员宣讲，凡妮莎是其中一员。	宣讲	服饰得体、姿态端正——哪怕是预演，凡妮莎也滴水不漏。
34	1011	4		校内风貌	凡妮莎位于光谱花园的眺望台，她也会触景生情吗？	校内风貌	如果凡妮莎对校内环境挑刺，她一定会亲力亲为对其进行整改。
35	1012	1		过去	肃穆的黄金大厅内，往届的学生各有心事。	过去	这些年来，库洛姆已不再为过去的阴影所束缚。他身边的人起到了很大的作用。
36	1012	2		记录	交通枢纽的物流传送带近期处于繁忙期，空中花园派出人手前往监管。	记录	库洛姆又陷入全神贯注的工作状态中了，等他忙完工作再和他搭话吧。
37	1012	3		致礼	法奥斯纪念碑是法奥斯的地标性建筑之一，总有许多人向其致意。	致礼	这是库洛姆和你在内的所有人的愿景——愿每一位重返地球的人类之子平安。
38	1012	4		调查	协同教学中心内，库洛姆眉头紧锁，出了什么问题吗？	调查	法奥斯正值敏感时期，无论是安全部门还是前来帮忙的库洛姆，都相当忙碌。
