StyleId	ActiveIcon	UnActiveIcon	BriefIcon	AreaColor	SecondIcon
1	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapDeliveryPoint.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapDeliveryPointLock.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconDeliveryPoint.png	FFE4B580	
2	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapHostelPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconHostel.png	FFE4B580	
3	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapCoffeePoint.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapCoffeePointLock.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconCoffee.png	FFE4B580	
4	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapJumpPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconJump.png	FFE4B580	
5	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapShoppingStreetPoint.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapShoppingStreetPointLock.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconShopStreet.png	FFE4B580	
6	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapInnermostPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconInnermost.png	FFE4B580	
7	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapPilotagePoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconAim6.png	FFE4B580	
8	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapRumorPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconBranchLine.png	FFE4B580	
9	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapPilotPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconPilot.png	FFE4B580	
10	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapElevatorPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconLift.png	FFE4B580	
11	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapLinkPoint.png			FFE4B580	
12	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapSketchesPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconMainLine.png	FFE4B580	
13	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapInvitationPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconInvitation.png	FFE4B580	
14	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapSGDronePoint.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapSGDronePointLock.png	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconSGDrone.png	FFE4B580	
15	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapElevatorPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconLift.png	FFE4B580	
16	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcBuouxiongPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
17	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcLiPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
18	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcLuosaitaPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
19	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcWeilaPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
20	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcLuxiyaPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
21	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcAximofuPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
22	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcBiankaPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
23	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapNpcWanshiPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconNpc.png	FFE4B580	
24	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapScanPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconScan.png	FFE4B580	
25	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapTreasureBoxPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconReward.png	FFE4B580	
26	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapSwitchPoint.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconQuit.png	FFE4B580	
27	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapSketchesPointSmall.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconMainLine.png	FFE4B580	
28	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapPilotPointSmall.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconPilot.png	FFE4B580	
29	Assets/Product/Texture/Atlas/BigWorld/Common/UiCommon/MapIcon/UiBigWorldMapInnermostPointSmall.png		Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconInnermost.png	FFE4B580	
