Id	GroupId	Index	Condition	LockedTitle	LockedDesc	UnlockedTitle	UnlockedDesc
1	1001	1	50001029	Nurturing Growth	Lucia is trying out a new hobby.	Nurturing Growth	At Liv's suggestion, Lucia has started gardening. She checks on her seedlings every day.
2	1001	2	50001030	Among the Crowd	Someone said they spotted Lucia somewhere up high.	Among the Crowd	Lucia believes the bustle of people is proof of their hopes for the future.
3	1001	3	50001031	Art Collection	Lucia is thinking in front of a canvas.	Art Collection	"Lucia's Froggie drawing has been praised as ""vivid and adorable."" She came to the art gallery specifically to improve her skills.\nEncouraging her is also part of a Commandant's duty."
4	1002	1	50001032	Immersive Viewing	Greet Teddy, who's watching a movie.	Immersive Viewing	"Teddy sometimes tests her ""new toys"" at the Babylonia Universal Cinema. Drop by if you want to see how it's going."
5	1002	2	50001033	Receiving Audio...	Find Teddy walking around the square.	Receiving Audio...	To make her compositions more interesting, Teddy collects sound samples around Convergence Square.
6	1002	3	50001034	Customer Service	Teddy gazes at the projection, lost in thought.	Customer Service	The projection at the art gallery is Teddy's work, though she doesn't think it's perfect yet.
7	1003	1	50001035	On Stage and Off	Vera seems deep in thought in front of the movie poster.	On Stage and Off	Vera is often mistaken for one of the performers, and people frequently ask her for autographs.\nMaybe you could ask her for one too?
8	1003	2	50001036	Leisurely Moments	From time to time, a vivid red figure can be seen at Dreamglow Gardens.	Leisurely Moments	When she has some free time, Vera goes to Dreamglow Gardens to relax.
9	1003	3	50001037	Sugar-Free Drink	Vera seems to want to talk about supplies.	Sugar-Free Drink	Vera helps check the delivered supplies. As thanks, you could treat her to a drink.
10	1004	1	50001038	Life	When lilies are in bloom, Bianca always visits Dreamglow Gardens.	Life	And so, a promise was made with Bianca to admire the flowers together every spring. Life works that way—once spring's wishes come true, we begin to long for summer's. The seasons turn, year after year.
11	1004	2	50001039	Like a Play	While waiting for the movie to start, Bianca always takes time to enjoy the view at Universal Square.	Like a Play	As Bianca watches the scenery from the bridge, those watching the scenery are also watching her.\nEvery beautiful moment in life feels like a scene unfolding on film.\nNow, say that line.
12	1004	3	50001040	Writing Your Own Script	In the theater lobby, Bianca still hasn't decided what to watch next.	Writing Your Own Script	The more Bianca understands how stories are made, the higher her standards become.\nNo longer carried forward by others' narratives, she has begun writing her own script.
13	1005	1	50001041	Sagittarius and Flowers	Rosetta likes places with plenty of plants.	Sagittarius and Flowers	Greenery is a luxury in Arctic regions, and that's exactly what makes it so beautiful. Rosetta often comes here to think. If you have time, you might hear some of her stories from the Arctic.
14	1005	2	50001042	Bonfire	Rosetta seems interested in the projection at the square.	Bonfire	The glow of the projection reminds Rosetta of habits from her past. In her view, no matter where people are, what they seek is often the same.
15	1005	3	50001043	Art Appreciation	Rosetta can be found near the whale projection.	Art Appreciation	The whale projection has caught Rosetta's attention. From the way she describes it, riding on Derek's back would be an extraordinary experience. Maybe try it next time.
16	1006	1	50001044	Return Gift	Dreamglow Gardens offers many opportunities for children at the Youth Center to learn about ecology.	Return Gift	Wanshi's return gift comes in the form of fun ecological facts and playful bee pranks. What the children receive, however, is an image of their homeland and a precious bond with their teacher.
17	1006	2	50001045	Wanshi's Odd Jobs	With a bit of planning, movie theaters are great places for a nap.	Wanshi's Odd Jobs	Wanshi's Odd Jobs exists to help whenever people run into trouble.\nWanshi is such a gentle soul.
18	1006	3	50001046	Take It Seriously	Wanshi seems to have booked a visit to an art exhibition at the Olympia Art Gallery.	Take It Seriously	After carefully studying WGAA's organizational practices, Wanshi has completed two-fifths of the proposal to establish the Hibernation Association, even though the co-proposer still has no idea it exists.
19	1007	1	50001047	Part of the Job	"Slipping naturally into work mode, even at the Logistics Center—that's Lee's ""talent."""	Part of the Job	"As everyone knows, maintaining the Gray Raven Commandant's exoskeleton has become part of Lee's daily duties. However, who should handle the ""body measurements"" part of the preparation... is still up for debate."
20	1007	2	50001048	Familiar Ground	Lee often seems to rest in a spot near the Military Security Area in the Knowledge Promenade.	Familiar Ground	Maybe the ice cream really was that good that day. Lee often chooses this place to unwind. Life keeps changing, but thankfully, the people around us stay the same.
21	1007	3	50001049	The Secret of Sound	Standing by the window at Dreamglow Gardens, you can see the silent expanse of the universe.	The Secret of Sound	When talking about the past, many things turn out to be different from what we remember. Those differences are like a cat's secrets. They have to be whispered more softly than a kitten's meow, or someone might notice.
22	1008	1	50001050	Particular, Not Picky	Even Asimov struggles to decide what movie to watch.	Particular, Not Picky	"Recommending films from unfamiliar genres is usually a good way to help meticulous researchers relax and enjoy a story. For Asimov, who ""knows everything,"" it doesn't seem to work."
23	1008	2	50001051	"""Invisible"" Work"	The Science Council is also one of the organizing bodies behind Dreamglow Gardens.	"""Invisible"" Work"	"Asimov has a lot on his mind: Punishing, Constructs, new ""research subjects"" occasionally brought back by the Gray Raven Commandant, and... making sure every survivor gets a proper meal."
24	1008	3	50001052	Keep Comms Open	A busy Logistics Center, and an even busier Asimov.	Keep Comms Open	Asimov assigns different notification tones to different contacts as a basic priority system. But who he replies to first is purely a matter of personal favo—no, personal feeling.
