Id	Name	Condition	BuffIds	ModelId	Info	HeadPath	SkillName	SkillDesc	EnName	DefaultFace
1	露西亚	120000	[501]	QR4LuxiyaMd010011GM	<color=#575e8e><size=28>整点薯条：</size></color>遗落补给中获得的点数+40%	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	整点薯条	遗落补给中获得的点数+40%	BPL-01//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
2	丽芙	120000	[501]	QR4LifuMd010011GM	<color=#575e8e><size=28>谢谢你，店家：</size></color>消耗插件购买花费-35%	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	谢谢你，店家	消耗插件购买花费-35%	BPN-08//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
3	里	120000	[501]	QR4LiangMd010011GM	<color=#575e8e><size=28>世界!：</size></color>每轮关卡时间额外增加2秒	Assets/Product/Texture/Image/Role/RoleHeadR4Li2Q.png	世界!	每轮关卡时间额外增加2秒	BPN-06//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
4	亚里莎	120000	[501]	QR3YalishaMd010011GM	<color=#575e8e><size=28>替身使者：</size></color>默认钩爪变更为特殊的【替身】钩爪	Assets/Product/Texture/Image/Role/RoleHeadR3Yalisha2Q.png	替身使者	默认钩爪变更为特殊的【替身】钩爪	UPC-15//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
5	诺克提	120000	[501]	QR2NuoketiMd010011GM	<color=#575e8e><size=28>爆破鬼才：</size></color>抓取或使用炸药时获得额外收益	Assets/Product/Texture/Image/Role/RoleHeadR2Nuoketi2Q.png	爆破鬼才	抓取或使用炸药时获得额外数额的资源点数	BPO-03//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
6	21号	120000	[501]	QR3TwentyoneMd010011GM	<color=#575e8e><size=28>汪汪汪：</size></color>在抓取猫猫时，有概率额外获得道具	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	汪汪汪	在抓取猫猫时，有概率额外获得随机道具	BPH-22//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
7	阿尔法	120000	[501]	QR5LuxiyaMd010011GM	<color=#575e8e><size=28>霹雳一闪：</size></color>抓取喵星水晶时，根据结果额外获得随机比例的资源点数	Assets/Product/Texture/Image/Role/RoleHeadR5Luxiya2Q.png	霹雳一闪	抓取喵星水晶时，根据结果额外获得随机比例的资源点数	α	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
8	比安卡	120000	[501]	QR4BiankaMd010011GM	<color=#575e8e><size=28>来聊聊价格吧：</size></color>获得点数会在-6%~+12%之间波动	Assets/Product/Texture/Image/Role/RoleHeadR4Bianka3Q.png	来聊聊价格吧	获得点数会在-6%~+12%之间波动	BPO-87//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
9	布偶熊	120000	[501]	QR2BuouxiongMd010011GM	<color=#575e8e><size=28>布偶熊：</size></color>布偶熊	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff.png	普通钩爪	普通钩爪：并没有什么特点，但绝对可靠。	BPD-87//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
11	卡列尼娜	120000	[501]	Q4KalieninaMd010011GM	<color=#575e8e><size=28>卡列：</size></color>卡列	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff.png	普通钩爪	普通钩爪：并没有什么特点，但绝对可靠。	BPD-72//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
12	罗塞塔	120000	[501]	QR3LuosaitaMd010011GM	<color=#575e8e><size=28>罗塞塔：</size></color>罗塞塔	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff.png	普通钩爪	普通钩爪：并没有什么特点，但绝对可靠。	IH-31C//	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
13	含英		[501]	QR3HanyingMd010011GM	<color=#575e8e><size=28>含英：</size></color>含英	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff.png	普通钩爪	普通钩爪：并没有什么特点，但绝对可靠。	MPK-12	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png
