Id	Name	Describe	ItemType	BuyCost	BuffId	RemainingTimes	Icon	UseSoundId	SellPrice	UseFaceId	TipsType	TipsTxt
1	爆破装置	炸掉正在抓取的太空资源	1	80	201		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconYinbaozhuangzhi.png	2547	48	14		
2	功能饮料	本次抓取速度提升至2倍	1	150	202		Assets/Product/Texture/Image/UiGoldenMiner/ItemYinliao.png	2548	90	15	1	本次抓取速度提升至2倍
3	干扰器	下一次抓取不会触发爆破装置	1	80	203		Assets/Product/Texture/Image/UiGoldenMiner/ItemGanrao.png		48	20	2	本次抓取不触发炸弹
4	点石成金	正在抓取的太空资源将变为同样大小的金陨矿	1	200	204		Assets/Product/Texture/Image/UiGoldenMiner/UiItemJinyaoshui.png	2548	120	17	1	正在抓取资源变为金陨矿
5	霜冻药水	使噬界兽暂停移动5秒	1	300	205		Assets/Product/Texture/Image/UiGoldenMiner/UiItemBingyaohui.png	2548	180	19	2	定春暂停移动%s秒
6	冶金指南	下一关从金陨矿获得的资源点数提升 50%	2	400	206	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff003.png					
7	萃取指南	下一关从星辉石获得的资源点数提升 50%	2	500	207	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff004.png					
8	健身指南	下一关抓取速度提升30%	2	500	208	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff001.png					
9	幸运指南	下一关从遗落补给获得的资源点数提升 50%	2	350	209	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff005.png					
10	薄荷与喵指南	下一关从猫咪获得的资源点数提升 50%	2	450	210	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBook01.png					
11	时之砂容器	触发3秒超维空间	1	200	211		Assets/Product/Texture/Image/UiGoldenMiner/UiItemSandglass.png		120	22	2	触发超算空间：%s
12	陨石粉碎者	炸掉关卡里所有太空陨石	1	400	212		Assets/Product/Texture/Image/UiGoldenMiner/UiItemLiGum.png		240	23		
13	引力干预装置	所有太空资源重量减少70%，持续10秒	1	200	213		Assets/Product/Texture/Image/UiGoldenMiner/UiItemSingularity.png		120	24	2	资源重量减少70%%：%s
14	碳熔磁炮	将直线上所有太空陨石变为星辉石；使用时飞船可以移动	1	200	707	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerDcp.png	4392	120			
