Id	Name	Describe	Icon
1	引擎升级	采集飞船移动速度增加	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconYinqing.png
2	轮机升级	捕获钩爪拉回速度增加	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconJiaosuo.png
3	磁力改造	<color=#555b7d>※与构型改造互相替换，且替换需要点数购买 </color> 钩爪将吸附沿途资源	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconDiancitie.png
4	构型改造	<color=#555b7d>※与磁力改造互相替换，且替换需要点数购买</color> 钩爪将抓起范围内的资源	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconDazhuazi.png
5	激光改造	钩爪增加辅助瞄准装置	Assets/Product/Texture/Image/UiGoldenMiner/ItemMiaozhun.png
101	激光改造	钩爪增加辅助瞄准装置	Assets/Product/Texture/Image/UiGoldenMiner/ItemMiaozhun.png
102	轮机升级	钩爪拉回速度增加	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconJiaosuo4.png
103	基础钩爪	并没有什么特点，但绝对可靠。	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconNormal.png
104	替身钩爪	亚里沙的基本钩爪。不论世事怎样变化，总有人会永远和你站在同一边。	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconDoublehook.png
105	定向改造	可以随意变更方向！猫猫也能用的超方便钩爪！	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconLocate.png
106	磁力改造	只需长按就可以伸长的钩爪！会吸附沿途的全部资源。	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconDiancitie.png
107	构型改造	只能抓一个，但是超大范围的钩爪！瞄准？根本不需要！	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconDazhuazi.png
