Key	Common	Values
HelpKey		['GoldenMiner']
ScoreIcon		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMineIcon01.png']
UseItemCd		['0.5']
RopeStretchSpeed		['780']
RopeShortenSpeed		['550']
RopeShortenNotCatchSpeed		['900']
HumenMoveSpeed		['200']
HookIdleAngleRange		['-50', '50']
RopeRockSpeed		['70']
UnlockRoleItemId		['96000']
RoleMoveRangePercent		['70']
GameNearEndTime		['10']
GameStopCountdown		['3']
DefaultShip		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipA.png']
MaxSpeedShip		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipA.png']
MaxClampShip		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipA.png']
FinalShip		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipA.png']
DefaultShipSize		['204', '148']
MaxSpeedShipSize		['204', '148']
MaxClampShipSize		['204', '148']
FinalShipSize		['204', '148']
ShortenSpeedParameter		['100']
ShortenMinSpeed		['75']
RoleGrapSuccessTime		['1000']
UseItemSpeed		['300']
UseBoomEffect		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao2.prefab']
FinalShipMaxCount		['2']
AddScoreSound		['2551']
StretchSound		['2544']
ShortenSound		['2545']
SelfDestroyEffect		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1Empty.prefab']
TypeBoomEffect		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1Quiet.prefab']
TipAnimTime		['1000']
TipAnimMoveLength		['30']
WeightFloatEffect		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattlePingmu02.prefab']
StopTimeStartEffect		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattlePingmu01On.prefab']
StopTimeStopEffect		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattlePingmu01Off.prefab']
QTEWaitTime		['0.1']
FaceEmojiShowTime		['0.5']
HookHitPointRevokeSpeed		['1000', '1200']
HookRopeExLength		['100000']
ShopScoreChangeColorCode		['15FF83', 'FF0300']
ShopItemPriceColor		['FFFFFF', 'FF0300']
ShopUpgradeBuyTxt		['已购买', '装备中']
MouseGrabOffset		['-40']
NewMaxScoreSettleEmoji		
NewMaxScoreColor		['34AFF8']
SettleEmoji		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerReportBg06.png', 'Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerReportBg04.png']
TxtDisplayMainTitle		['飞船', '飞船', '通用改造', '结构改造']
TxtDisplaySecondTitle		['固定系统', '携带道具', '临时插件']
GameScoreColorCode		['FFFFFF', '15FF83']
GameItemBgIcon		['Assets/Product/Texture/Atlas/UiGoldenMiner/UiGoldenMinerBattleBg04.png', 'Assets/Product/Texture/Atlas/UiGoldenMiner/UiGoldenMinerBattleBg02.png']
