Id	Name	LevelUpId	Type	Prefab	Score	MoveType	StartMoveDirection	MoveRange	MoveSpeed	Weight	BornDelay	DestoryTime	CarryStoneId	CatchEffect	IsBoomDestroy	InitialType	IntParams	FloatParams
1	小黄金	6002	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100					10				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
2	中黄金	6003	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250					100				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
3	大黄金	6005	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600					300				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
4	钻石	6005	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400					5				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
5	大钻石		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800					5				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
6	红包箱		6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/RedEnvelope.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[1]	
7	道具箱		6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/ToolCase.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[2]	
8	沙漏		8	Assets/Product/Ui/ComponentPrefab/GoldenMiner/SandGlass.prefab						5				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[11]	
10	炸弹		4	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Boom.prefab	300									Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab	1			
11	小石头	6001	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20					50					1			
12	中石头	6002	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40					200					1			
13	大石头	6003	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60					300					1			
