Id	Name	Path	FacePosX	FacePosY
700001	扳手	Assets/Product/Texture/Image/RoleMonster/RoleMonster90030.png	500.0	-540.0
700002	库洛洛	Assets/Product/Texture/Image/RoleCharacter/Mo1KuroMd000001.png	500.0	-540.0
700003	黑幕暴动	Assets/Product/Texture/Image/RoleStory/TieqiuTheatre305.png	500.0	-540.0
700004	黑幕提法	Assets/Product/Texture/Image/RoleStory/TifaTheatre303.png	500.0	-540.0
700005	黑幕管家	Assets/Product/Texture/Image/RoleStory/BalaswordNomal.png	500.0	-540.0
700006	黑幕构造体	Assets/Product/Texture/Image/RoleStory/Tongyonggouzaoti01Nomal02.png	500.0	-540.0
700007	皮克曼	Assets/Product/Texture/Image/RoleStory/V250sytNormal01.png	500.0	-540.0
700008	黑幕马基	Assets/Product/Texture/Image/RoleStory/MajiyaweiliTheatre302.png	500.0	-540.0
700009	黑幕安博	Assets/Product/Texture/Image/RoleStory/AnboliyaTheatre301.png	500.0	-540.0
700010	黑幕芬里厄	Assets/Product/Texture/Image/RoleStory/V230bossTheatre304.png	500.0	-540.0
700011	凯西	Assets/Product/Texture/Image/RoleMonster/RoleMonster90710.png	500.0	-540.0
700012	卡列偶像	Assets/Product/Texture/Image/RoleStory/V260klnnNormal03.png	500.0	-540.0
700013	机械亚种	Assets/Product/Texture/Image/RoleMonster/RoleMonster93361.png	500.0	-540.0
700014	骁卫切图版	Assets/Product/Texture/Image/RoleMonster/RoleMonster90790.png	500.0	-540.0
700015	古风神秘人	Assets/Product/Texture/Image/RoleStory/dlcTest.png	500.0	-540.0
700016	茯神切图版	Assets/Product/Texture/Image/RoleMonster/RoleMonster85620.png	500.0	-540.0
700017	未元投影体	Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png	500.0	-540.0
700018	洁塔薇张嘴	Assets/Product/Texture/Image/RoleStory/V260qyNormal08.png	500.0	-540.0
700019	洁塔薇平静	Assets/Product/Texture/Image/RoleStory/V260qyNormal04.png	500.0	-540.0
700020	华胥侧面模型截图版	Assets/Product/Texture/Image/RoleMonster/RoleMonster83520.png	500.0	-540.0
700021	国王	Assets/Product/Texture/Image/RoleStory/V2100gwNormal03.png	500.0	-540.0
700022	红华胥	Assets/Product/Texture/Image/RoleStory/V2130bossTheatre01.png	500.0	-540.0
700023	慈悲者一阶段	Assets/Product/Texture/Image/RoleStory/V2130bossTheatre02.png	500.0	-540.0
700024	洁塔薇	Assets/Product/Texture/Image/RoleStory/V3300jtwNormal02.png	500.0	-540.0
1021001	露西亚	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	562.9	-397.8999
1031001	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	546.0	-422.0
1011001	里	Assets/Product/Texture/Image/RoleStory/LiangNomal01.png	544.7	-343.2
1041001	七实	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	475.8999	-410.8999
