Id	ClassId	TalentType	Name	Desc	Level	UseOwn	CostItemId	CostItemCount	FightEventId
1	1	1	主动超算	主动技能。释放后全队进入<color=#34aff8>超算</color>并恢复自身<color=#34aff8>8%生命</color>，冷却<color=#34aff8>28秒</color>		1	96116	90	
2	1	1	主动超算	主动技能。释放后全队进入<color=#34aff8>超算</color>并恢复自身<color=#34aff8>8%生命</color>，冷却<color=#34aff8>28秒</color>	1	1	96116	90	[2240321]
3	1	1	主动超算	主动技能。释放后全队进入<color=#34aff8>超算</color>并恢复自身<color=#34aff8>8%生命</color>，冷却<color=#34aff8>23秒</color>	2	1	96116	90	[2240322]
4	1	1	主动超算	主动技能。释放后全队进入<color=#34aff8>超算</color>并恢复自身<color=#34aff8>8%生命</color>，冷却<color=#34aff8>18秒</color>	3	1	96116	90	[2240323]
5	1	1	主动超算	主动技能。释放后全队进入<color=#34aff8>超算</color>并恢复自身<color=#34aff8>8%生命</color>，冷却<color=#34aff8>14秒</color>	4	1	96116	90	[2240324]
6	1	1	主动超算	主动技能。释放后全队进入<color=#34aff8>超算</color>并恢复自身<color=#34aff8>8%生命</color>，冷却<color=#34aff8>11秒</color>	5	1			[2240325]
7	1	2	伤害强化	触发机制判定时，全队每次攻击可<color=#34aff8>附加1段20%攻击</color>的伤害，持续<color=#34aff8>5秒</color>		1	96116	90	
8	1	2	伤害强化	触发机制判定时，全队每次攻击可<color=#34aff8>附加1段20%攻击</color>的伤害，持续<color=#34aff8>5秒</color>	1	1	96116	90	[2240326]
9	1	2	伤害强化	触发机制判定时，全队每次攻击可<color=#34aff8>附加1段20%攻击</color>的伤害，持续<color=#34aff8>6秒</color>	2	1	96116	90	[2240327]
10	1	2	伤害强化	触发机制判定时，全队每次攻击可<color=#34aff8>附加1段20%攻击</color>的伤害，持续<color=#34aff8>7秒</color>	3	1	96116	90	[2240328]
11	1	2	伤害强化	触发机制判定时，全队每次攻击可<color=#34aff8>附加1段20%攻击</color>的伤害，持续<color=#34aff8>8秒</color>	4	1	96116	90	[2240329]
12	1	2	伤害强化	触发机制判定时，全队每次攻击可<color=#34aff8>附加1段20%攻击</color>的伤害，持续<color=#34aff8>9秒</color>	5	1			[2240330]
13	1	3	强效超算	超算中伤害提升<color=#34aff8>25%</color>。进场后，提升自身<color=#34aff8>5%攻击</color>			96116	90	
14	1	3	强效超算	超算中伤害提升<color=#34aff8>25%</color>。进场后，提升自身<color=#34aff8>5%攻击</color>	1		96116	90	[2240331]
15	1	3	强效超算	超算中伤害提升<color=#34aff8>25%</color>。进场后，提升自身<color=#34aff8>7%攻击</color>	2		96116	90	[2240332]
16	1	3	强效超算	超算中伤害提升<color=#34aff8>25%</color>。进场后，提升自身<color=#34aff8>9%攻击</color>	3		96116	90	[2240333]
17	1	3	强效超算	超算中伤害提升<color=#34aff8>25%</color>。进场后，提升自身<color=#34aff8>12%攻击</color>	4		96116	90	[2240334]
18	1	3	强效超算	超算中伤害提升<color=#34aff8>25%</color>。进场后，提升自身<color=#34aff8>15%攻击</color>	5				[2240335]
19	1	4	进攻核心	FEVER状态下，每10秒进入一次<color=#34aff8>超算</color>，超算冷却降低<color=#34aff8>10%</color>					
20	1	4	进攻核心	FEVER状态下，每10秒进入一次<color=#34aff8>超算</color>，超算冷却降低<color=#34aff8>10%</color>	1				[2240336]
21	1	4	进攻核心	FEVER状态下，每10秒进入一次<color=#34aff8>超算</color>，超算冷却降低<color=#34aff8>12%</color>	2				[2240337]
22	1	4	进攻核心	FEVER状态下，每10秒进入一次<color=#34aff8>超算</color>，超算冷却降低<color=#34aff8>18%</color>\n被动:所有职业伤害+10%	3				[2240338]
23	2	1	主动抑制	主动技能。释放后可使自身及队友场上怪物额外伤害减免<color=#34aff8>降低40%</color>，持续8秒，技能冷却<color=#34aff8>28秒</color>		1	96116	90	
24	2	1	主动抑制	主动技能。释放后可使自身及队友场上怪物额外伤害减免<color=#34aff8>降低40%</color>，持续8秒，技能冷却<color=#34aff8>28秒</color>	1	1	96116	90	[2240339]
25	2	1	主动抑制	主动技能。释放后可使自身及队友场上怪物额外伤害减免<color=#34aff8>降低40%</color>，持续8秒，技能冷却<color=#34aff8>23秒</color>	2	1	96116	90	[2240340]
26	2	1	主动抑制	主动技能。释放后可使自身及队友场上怪物额外伤害减免<color=#34aff8>降低40%</color>，持续8秒，技能冷却<color=#34aff8>18秒</color>	3	1	96116	90	[2240341]
27	2	1	主动抑制	主动技能。释放后可使自身及队友场上怪物额外伤害减免<color=#34aff8>降低40%</color>，持续8秒，技能冷却<color=#34aff8>14秒</color>	4	1	96116	90	[2240342]
