NameplateId	PreNameplateId	CostItemId	CostItemCount	ItemName
17040101		62510	4000	里
17040102	17040101	62510	10000	里
17040103	17040102	62510	20000	里
17040201		62510	4000	万事
17040202	17040201	62510	10000	万事
17040203	17040202	62510	20000	万事
17040301		62510	4000	罗兰
17040302	17040301	62510	10000	罗兰
17040303	17040302	62510	20000	罗兰
17040401		62510	4000	卡穆
17040402	17040401	62510	10000	卡穆
17040403	17040402	62510	20000	卡穆
17040501		62510	4000	渡边
17040502	17040501	62510	10000	渡边
17040503	17040502	62510	20000	渡边
17040601		62510	4000	库洛姆
17040602	17040601	62510	10000	库洛姆
17040603	17040602	62510	20000	库洛姆
17040701		62510	4000	常羽
17040702	17040701	62510	10000	常羽
17040703	17040702	62510	20000	常羽
17040801		62510	4000	神威
17040802	17040801	62510	10000	神威
17040803	17040802	62510	20000	神威
17040901		62510	4000	卡列尼娜
17040902	17040901	62510	10000	卡列尼娜
17040903	17040902	62510	20000	卡列尼娜
17041001		62510	4000	蒲牢
17041002	17041001	62510	10000	蒲牢
17041003	17041002	62510	20000	蒲牢
17041101		62510	4000	罗塞塔
17041102	17041101	62510	10000	罗塞塔
17041103	17041102	62510	20000	罗塞塔
17041201		62510	4000	露娜
17041202	17041201	62510	10000	露娜
17041203	17041202	62510	20000	露娜
17041301		62510	4000	比安卡
17041302	17041301	62510	10000	比安卡
17041303	17041302	62510	20000	比安卡
17041401		62510	4000	赛琳娜
17041402	17041401	62510	10000	赛琳娜
17041403	17041402	62510	20000	赛琳娜
17041501		62510	4000	曲
17041502	17041501	62510	10000	曲
17041503	17041502	62510	20000	曲
17041601		62510	4000	苏菲亚
17041602	17041601	62510	10000	苏菲亚
17041603	17041602	62510	20000	苏菲亚
17041701		62510	4000	露西亚
17041702	17041701	62510	10000	露西亚
17041703	17041702	62510	20000	露西亚
17041801		62510	4000	艾拉
17041802	17041801	62510	10000	艾拉
17041803	17041802	62510	20000	艾拉
17041901		62510	4000	丽芙
17041902	17041901	62510	10000	丽芙
17041903	17041902	62510	20000	丽芙
17042001		62510	4000	七实
17042002	17042001	62510	10000	七实
17042003	17042002	62510	20000	七实
17042101		62510	4000	薇拉
17042102	17042101	62510	10000	薇拉
17042103	17042102	62510	20000	薇拉
17042201		62510	4000	阿尔法
17042202	17042201	62510	10000	阿尔法
17042203	17042202	62510	20000	阿尔法
17042301		62510	4000	维里耶
17042302	17042301	62510	10000	维里耶
17042303	17042302	62510	20000	维里耶
17042401		62510	4000	太阿
17042402	17042401	62510	10000	太阿
17042403	17042402	62510	20000	太阿
