Id	MatchName	MatchSubName	SessionId	Type	TypeName	TimeId	RefreshVoteHour	CoverImg	Des	DailyLimitCount	FinalImg
1	27进24	王选预战		1	投票期		[12, 20]	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon06.png	['海选赛', '进行中', '投票时间剩余']	100000	
2	27进24	王选预战		2	公示期			Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon06.png	['海选赛', '公示中', '距下场纪典开启']	100000	
3	24进18	巡回演出	1	1	投票期		[12, 20]	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon07.png	['12进6', '12进6', '投票时间剩余']	100000	
4	24进18	巡回演出	1	2	公示期			Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon07.png	['12进6', '12进6', '距下场纪典开启']	100000	
5	18进6	大复活秀	2	1	投票期		[12, 20]	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon08.png	['6进3', '12进6', '投票时间剩余']	100000	
6	18进6	大复活秀	2	2	公示期			Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon08.png	['6进3', '12进6', '距下场纪典开启']	100000	
7	18进6	大复活秀	3	1	投票期		[12, 20]	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon09.png	['无', '9进3', '投票时间剩余']	100000	
8	18进6	大复活秀	3	2	公示期			Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon09.png	['无', '9进3', '距下场纪典开启']	100000	
9	6进3	庆典高潮	4	1	投票期		[12, 20]	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon10.png	['6进3', '进行中', '投票时间剩余']	100000	
10	6进3	庆典高潮	4	2	公示期			Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon10.png	['6进3', '公示中', '距下场纪典开启']	100000	
11	3进1	永不谢幕	5	1	投票期		[12, 20]	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon11.png	['总决赛', '进行中', '投票时间剩余']	100000	
12	3进1	永不谢幕	5	2	公示期			Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon11.png	['总决赛', '公示中', '永不谢幕已结束']	100000	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon11.png
