Id	ShowPriority	WorldType	RollNumberType	ShowType	RollCharType	RollCharId
1	5	6	Normal		3	1
2	10	6	Crit		3	2
3	5	6	Electric		3	3
4	5	6	Fire		3	4
5	5	6	Ice		3	5
6	5	6	Dark		3	6
7	5	6	Cure		3	7
8	5	6	Normal	1	3	8
9	10	6	Crit	1	3	9
10	5	6	Electric	1	3	10
11	5	6	Fire	1	3	11
12	5	6	Ice	1	3	12
13	5	6	Dark	1	3	13
14	5	6	Cure	1	3	14
15	5	6	NormalMyself	-1	3	15
16	10	6	CritMyself	-1	3	15
17	5	6	ElectricMyself	-1	3	15
18	5	6	FireMyself	-1	3	15
19	5	6	IceMyself	-1	3	15
20	5	6	DarkMyself	-1	3	15
21	10	6	FireCrit		3	16
22	10	6	ElectricCrit		3	17
23	10	6	IceCrit		3	18
24	10	6	DarkCrit		3	19
25	5	6	CureMyself		3	7
26	15	6	Normal	-1	3	20
27	15	6	Crit	-1	3	20
