Id	BornMagic	SubSkillId	Ability	Icon	Name	Description	DesLinkCharacterSkillId	Account
101	[510901]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	零落耀光	进入战斗后，增加武器最终攻击的15%，持续时间无限。		
102	[511001]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool17.png	死线计时	出场时额外获得2个随机信号球，每过45秒，随机获得3个相同信号球（在后台时也能获得信号球）		
103	[509201]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	超算闪电	超算空间内/超维预演持续时间内移动速度大幅提升，使空间内所有敌人额外伤害减免降低10%。		
201	[509038]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool19.png	震荡饱和	受击后获得2秒无敌时间，冷却时间15秒		
202	[509040]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool20.png	纳秒传动	最大闪避值提高400		
203	[509042]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool21.png	震荡回响	受到伤害时，释放一个冲击波，造成自身50%攻击力伤害，将怪物推开并使怪物移动速度下降35%，持续5秒，冷却时间8秒		
301	[512005]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	超算爆发	处于超算空间时，额外伤害加成提升15%。		
302	[512007]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	过载信号	释放出场技后，额外获得1个信号球，消球技能的额外伤害加成提升10%，持续8秒		
303	[512012]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	超限增幅	增加10%全攻击力		
401	[509038]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool19.png	震荡饱和	受击后获得2秒无敌时间，冷却时间15秒		
402	[509040]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool20.png	纳秒传动	最大闪避值提高400		
403	[509042]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool21.png	震荡回响	受到伤害时，释放一个冲击波，造成自身50%攻击力伤害，将怪物推开并使怪物移动速度下降35%，持续5秒，冷却时间8秒		
500	[509002]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool1.png	光耀余晖	3消时，增加武器最终攻击的30%，持续8秒。重复触发刷新持续时间。		
501	[509004]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool2.png	星耀光矛	使用治疗技能或效果时，增加被治疗目标10%全攻击力，持续8秒，冷却时间10秒		
502	[509007]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool3.png	超导轴光	增加队伍中所有角色8%全攻击力，唯一效果		
503	[509014]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool4.png	亚光凝胶	使下一次造成的治疗效果的治疗量增加50%，冷却时间8秒		
504	[509016]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool5.png	星磁速轨	QTE时，为场上目标恢复400点闪避值		
505	[509018]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool6.png	宁静辐光	使用治疗技能或效果时，5秒内治疗效果增加30%，冷却时间8秒		
506	[509020]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool7.png	共振回音	装甲/破甲型职业技能造成的效果持续时间增加至8秒，重复触发刷新持续时间		
507	[509022]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool12.png	泛域解构	造成伤害时，造成<color=#D91414>剥蚀</color>效果。<color=#D91414>剥蚀</color>：使目标全抗性减少8%，持续8秒，重复触发刷新持续时间		
508	[509024]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool12.png	泛域解构	造成伤害时，造成<color=#D91414>剥蚀</color>效果。<color=#D91414>剥蚀</color>：使目标全抗性减少8%，持续8秒，重复触发刷新持续时间		
509	[509026]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool12.png	泛域解构	造成伤害时，造成<color=#D91414>剥蚀</color>效果。<color=#D91414>剥蚀</color>：使目标全抗性减少8%，持续8秒，重复触发刷新持续时间		
510	[509028]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool12.png	泛域解构	造成伤害时，造成<color=#D91414>剥蚀</color>效果。<color=#D91414>剥蚀</color>：使目标全抗性减少8%，持续8秒，重复触发刷新持续时间		
511	[509030]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool12.png	泛域解构	造成伤害时，造成<color=#D91414>剥蚀</color>效果。<color=#D91414>剥蚀</color>：使目标全抗性减少8%，持续8秒，重复触发刷新持续时间		
512	[509032]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool13.png	湮灭界盾	QTE时，为场上目标施加释放者自身生命最大值10%的护盾，持续5秒		
513	[509034]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool14.png	重力势垒	出场时获得自身生命最大值20%的护盾		
514	[509036]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool15.png	绝对防御	出场时无敌2秒		
515	[509038]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool19.png	震荡饱和	受击后获得2秒无敌时间，冷却时间15秒		
516	[509040]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool20.png	纳秒传动	最大闪避值提高400		
517	[509042]		100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool21.png	震荡回响	受到伤害时，释放一个冲击波，造成自身50%攻击力伤害，将怪物推开并使怪物移动速度下降35%，持续5秒，冷却时间8秒		
2013001								
2014001	[501001]				共鸣振动	连击大于50时，物理伤害增加15%。		
2015001	[501101]				装弹饱和	5秒内连续消除红、黄、蓝3种信号球后，额外伤害加成提升15%，持续5秒，重复触发刷新持续时间。		新手过渡
2015002	[501201]				回避反响	极限闪避后，攻击力增加30%，持续4秒。		攻击强化
2016001	[501301, 501303]				天律捕食	攻击燃烧区域内的敌人时，额外伤害加成提升20%。		伤害强化
2016002	[501306]				星之轮回	使技能-空间领主造成额外伤害加成提升10%。3消后，物理伤害增加15%，持续5秒，重复触发刷新持续时间并重新计算。		物理强化
2016003	[501315]				测量定论	拾取能量球时，额外伤害加成提升3%，持续5秒，可叠加5层。每拾取5个能量球后，额外获得1个随机信号球以及10点能量，冷却时间10秒		伤害强化
2022001								
2023001								
2024001	[502001]				拔刀无铭	红球的额外伤害加成提升15%。		
2025001	[502101]				幻剑战线	攻击有20%概率落雷，雷击造成50%物理伤害，有3秒冷却时间。		新手过渡
2025002	[502201]				铠身合一	极限闪避后，攻击力增加30%，持续4秒。		攻击强化
2026001	[502301, 502303, 502306]				怒火狂刀	普通攻击额外伤害加成提高10%，每次释放普通攻击，物理伤害增加5%，持续2秒，最多叠加5层。重复触发刷新持续时间。		物理强化
2026002	[502308, 502315, 502309]				逆断之影	每次造成雷属性伤害时，雷属性伤害加成增加5%，持续4秒，最多叠加4次，重复触发刷新时间。释放必杀技时，使自身的额外伤害加成提升10%，持续10秒，重复触发刷新持续时间。		雷系强化
2026003	[600602, 600601]				能量具现	额外伤害加成提升5%，消球时会根据消球数量累积能量，50点能量后，召出天狼星，存在45秒，冷却时间60秒。		辅助战斗
