Id	AttribId	AttribDes1	AttribDes2	ItemId	ItemCount	ItemCrystalId	ItemCrystalCount	AwarenessAttrDesc	AwarenessAttrValue
3016001	{1: 40160014, 2: 40160015}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70011, 70012]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016002	{1: 40160024, 2: 40160025}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70021, 70022]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016003	{1: 40160034, 2: 40160035}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70031, 70032]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016004	{1: 40160044, 2: 40160045}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70041, 70042]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016005	{1: 40160054, 2: 40160055}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70051, 70052]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016006	{1: 40160064, 2: 40160065}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70061, 70062]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016007	{1: 40160074, 2: 40160075}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70071, 70072]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016008	{1: 40160084, 2: 40160085}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70081, 70082]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016009	{1: 40160094, 2: 40160095}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70091, 70092]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016010	{1: 40160104, 2: 40160105}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70101, 70102]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016011	{1: 40160114, 2: 40160115}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70111, 70112]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016012	{1: 40160124, 2: 40160125}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70121, 70122]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026001	{1: 40260014, 2: 40260015}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70011, 70012]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026002	{1: 40260024, 2: 40260025}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70021, 70022]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026003	{1: 40260034, 2: 40260035}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70031, 70032]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026004	{1: 40260044, 2: 40260045}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70041, 70042]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026005	{1: 40260054, 2: 40260055}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70051, 70052]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026006	{1: 40260064, 2: 40260065}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70061, 70062]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026007	{1: 40260074, 2: 40260075}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70071, 70072]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026008	{1: 40260084, 2: 40260085}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70081, 70082]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026009	{1: 40260094, 2: 40260095}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70091, 70092]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026010	{1: 40260104, 2: 40260105}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70101, 70102]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026011	{1: 40260114, 2: 40260115}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70111, 70112]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026012	{1: 40260124, 2: 40260125}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70121, 70122]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036001	{1: 40360014, 2: 40360015}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70011, 70012]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036002	{1: 40360024, 2: 40360025}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70021, 70022]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036003	{1: 40360034, 2: 40360035}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70031, 70032]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036004	{1: 40360044, 2: 40360045}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70041, 70042]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036005	{1: 40360054, 2: 40360055}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70051, 70052]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036006	{1: 40360064, 2: 40360065}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70061, 70062]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036007	{1: 40360074, 2: 40360075}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70071, 70072]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036008	{1: 40360084, 2: 40360085}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70081, 70082]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036009	{1: 40360094, 2: 40360095}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70091, 70092]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036010	{1: 40360104, 2: 40360105}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70101, 70102]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036011	{1: 40360114, 2: 40360115}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70111, 70112]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036012	{1: 40360124, 2: 40360125}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70121, 70122]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046001	{1: 40460014, 2: 40460015}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70011, 70012]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046002	{1: 40460024, 2: 40460025}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70021, 70022]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046003	{1: 40460034, 2: 40460035}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70031, 70032]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046004	{1: 40460044, 2: 40460045}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70041, 70042]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046005	{1: 40460054, 2: 40460055}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70051, 70052]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046006	{1: 40460064, 2: 40460065}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70061, 70062]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046007	{1: 40460074, 2: 40460075}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70071, 70072]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046008	{1: 40460084, 2: 40460085}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70081, 70082]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046009	{1: 40460094, 2: 40460095}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70091, 70092]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046010	{1: 40460104, 2: 40460105}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70101, 70102]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046011	{1: 40460114, 2: 40460115}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70111, 70112]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046012	{1: 40460124, 2: 40460125}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70121, 70122]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056001	{1: 40560014, 2: 40560015}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70011, 70012]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056002	{1: 40560024, 2: 40560025}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70021, 70022]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056003	{1: 40560034, 2: 40560035}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70031, 70032]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056004	{1: 40560044, 2: 40560045}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70041, 70042]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056005	{1: 40560054, 2: 40560055}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70051, 70052]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
