Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	CharacterType	Name	LogName	Description	NeedFirstShow	RecommendCharacterId	OverrunNoShow
2013001	1		3	3	2013001	2013001					制式枪	3星双枪 制式枪	使用通用型材质制作的制式枪，结构简单，操作方便。			
2014001	1		4	4	2014001	2014001					黑星	4星双枪 黑星	旧世纪时著名的老款手枪，虽然工艺粗糙但结构牢固，即使到现在还有不少在服役中。			
2015001	1		5	5	2015001	2015001					暗影紫光	5星双枪 暗影紫光	以无声高速攻击为目的设计的短枪，拥有最安静的枪火声和超高的子弹发射速度。			
2016001	1		6	6	2016001	2016001					噬狼枪	6星双枪 噬狼枪	强化了单点射击的特制枪械，虽然命中率不佳，但是在在破坏力上堪比巨狼。		1011002	
2016002	1		6	6	2016002	2016002					零度定标	6星双枪 零度定标	与空中花园的支援系统连接，自带能量管控与弹道导航运算能力的枪械		1011003	
2016003	1		6	6	2016003	2016003					赛因	6星双枪 赛因	枪管较长的大口径手枪，能对近距离目标造成不小的伤害，银白配色很受某人喜欢，并在枪身上加上了细小的文字，来寄托自己要用这把武器扫清罪恶的信念。		1111002	
2022001	2		2	2	2022001	2022001					制式刀	2星太刀 制式刀	刀身长1.0米，使用通用型高速钢锻造而成。			
2023001	2		3	3	2023001	2023001					护身刀	3星太刀 护身刀	刀身长0.8米，使用通用型高速钢锻造而成，比制式刀更加坚固，稍短的设计也更便于作为护身武器进行携带。			
2024001	2		4	4	2024001	2024001					无铭	4星太刀 无铭	没有铭刻工匠名字的刀刃，但依然无损它作为兵器的冰冷锐利。			
2024002	2		4	4	2024001	2024002					无铭	4星太刀 无铭	没有铭刻工匠名字的刀刃，但依然无损它作为兵器的冰冷锐利。			
2025001	2		5	5	2025001	2025001					九字之定	5星太刀 九字之定	以名刀作为蓝本制作的奇怪太刀，本身理念过于古老所以不太能适应战场			
2026001	2		6	6	2026001	2026001					红莲狂士	6星太刀 红莲狂士	除了刀本身的锋利以外，红莲狂士还装载了能够直连意识海的系统，通过同调构造体能够让攻击模式产生质的变化。		1021001	
2026002	2		6	6	2026002	2026002					影打—逆断	6星太刀 影打—逆断	逆断并不是武器，而是某个实验计划的代号，而将该实验体现在武器上的第一把就是这把影打—逆断。		1021002	
2026003	2		6	6	2026003	2026003					天狼星	6星太刀 天狼星	武器强度相比其它武器相差无几，但由于极致惊艳的外观，被广泛追捧、收藏。			
2026004	2		6	6	2026004	2026004					红樱	6星太刀 红樱	刀身长1.0米，将多种素材用十分暴力的方式杂糅在一起锻造而成，令人意外的是刀身的强度并没有因此而下降。不知为何，随着斩击次数的增加，刀身的颜色变得越发鲜红。		1021003	
2026005	2		6	6	2026005	2026005					朱桦	6星太刀 朱桦	刀身长0.9米，使用复合工艺锻造而成，精密程度极高。随着温度的变化，刀身的颜色也会逐渐发生改变，在极端情况下甚至会出现淡淡的暗红色冰纹		1021004	
2026006	2		6	6	2026006	2026006					沙利叶	6星太刀 沙利叶	刀身长0.9米，刀刃可以由单刃展开为双刃，为敌人留下双倍的伤痕。它在刺入敌人体内后并不会造成多少伤害，但是在拔出时会将敌人体内的循环液一并抽出，形成长久的痛苦折磨。		1131002	
2032001	3		2	2	2032001	2032001					浮游装置	2星浮游炮 浮游装置	通用型无线遥距攻击武器。			
2033001	3		3	3	2033001	2033001					半自律攻击炮	3星浮游炮 半自律攻击炮	能根据使用者的意志进行简单攻击的半自动化浮游炮。			
2034001	3		4	4	2034001	2034001					型鱼挂载	4星浮游炮 型鱼挂载	搭载了研发的最新行动计算机制，并附带强大火力，在战场上可自由行动的浮游攻击装置。偶尔会脱离使用者的控制。			
2035001	3		5	5	2035001	2035001					卫士挂载	5星浮游炮 卫士挂载	装入了代号为“辉光妖精”的模拟人格，可以自行处理战斗，防卫，能量管理等多种行动的浮游兵器。据说长期使用后甚至会与使用者产生情感联系。			
