Id	GroupItemId	HasLeave	IsEnd	OptionDesc
1101	1			['【继续】', '【继续】', '【继续】']
1102	5			['【继续】', '【继续】', '【继续】']
1103	9			['【继续】', '【继续】', '【继续】']
1104	13			['【继续】', '【继续】', '【继续】']
1105	17			['【继续】', '【继续】', '【继续】']
1106	21			['【继续】', '【继续】', '【继续】']
1107	25			['【继续】', '【继续】', '【继续】']
1108	29			['【继续】', '【继续】', '【继续】']
1109	33			['【继续】', '【继续】', '【继续】']
1110	37			['【继续】', '【继续】', '【继续】']
1111	41			['【继续】', '【继续】', '【继续】']
1112	45			['【继续】', '【继续】', '【继续】']
1113	49			['【继续】', '【继续】', '【继续】']
1114	53			['【继续】', '【继续】', '【继续】']
1115	57			['【继续】', '【继续】', '【继续】']
1116	61			['【继续】', '【继续】', '【继续】']
1117	65			['【继续】', '【继续】', '【继续】']
1118	69			['【继续】', '【继续】', '【继续】']
1119	73			['【继续】', '【继续】', '【继续】']
1120	77			['【继续】', '【继续】', '【继续】']
1121	81			['【继续】', '【继续】', '【继续】', '【继续】']
1122	87			['【继续】', '【继续】', '【继续】']
1123	92			['【继续】', '【继续】', '【继续】']
1124	97			['【继续】', '【继续】', '【继续】']
1125	102			['【继续】', '【继续】', '【继续】']
1126	107			['【继续】', '【继续】', '【继续】']
1127	112			['【继续】', '【继续】', '【继续】']
1128	117			['【继续】', '【继续】', '【继续】']
1129	122			['【继续】', '【继续】', '【继续】']
1130	127			['【继续】', '【继续】', '【继续】']
1131	132			['【继续】', '【继续】', '【继续】']
1132	137			['【继续】', '【继续】', '【继续】']
1133	142			['【继续】', '【继续】', '【继续】']
1134	147			['【继续】', '【继续】']
1135	152			['【继续】', '【继续】']
1136	155			['【继续】', '【继续】']
1137	158			['【继续】', '【继续】']
1138	161			['【继续】', '【继续】', '【继续】', '【继续】']
1139	168			['【继续】', '【继续】', '【继续】', '【继续】']
1201	1			['【继续】', '【继续】', '【继续】']
1202	5			['【继续】', '【继续】', '【继续】']
1203	9			['【继续】', '【继续】', '【继续】']
1204	13			['【继续】', '【继续】', '【继续】']
1205	17			['【继续】', '【继续】', '【继续】']
1206	21			['【继续】', '【继续】', '【继续】']
1207	25			['【继续】', '【继续】', '【继续】']
1208	29			['【继续】', '【继续】', '【继续】']
1209	33			['【继续】', '【继续】', '【继续】']
1210	37			['【继续】', '【继续】', '【继续】']
1211	41			['【继续】', '【继续】', '【继续】']
1212	45			['【继续】', '【继续】', '【继续】']
1213	49			['【继续】', '【继续】', '【继续】']
1214	53			['【继续】', '【继续】', '【继续】']
1215	57			['【继续】', '【继续】', '【继续】']
1216	61			['【继续】', '【继续】', '【继续】']
1217	65			['【继续】', '【继续】', '【继续】']
1218	69			['【继续】', '【继续】', '【继续】']
1219	73			['【继续】', '【继续】', '【继续】']
1220	77			['【继续】', '【继续】', '【继续】']
1221	81			['【继续】', '【继续】', '【继续】', '【继续】']
1222	87			['【继续】', '【继续】', '【继续】']
1223	92			['【继续】', '【继续】', '【继续】']
1224	97			['【继续】', '【继续】', '【继续】']
1225	102			['【继续】', '【继续】', '【继续】']
1226	107			['【继续】', '【继续】', '【继续】']
1227	112			['【继续】', '【继续】', '【继续】']
1228	117			['【继续】', '【继续】', '【继续】']
1229	122			['【继续】', '【继续】', '【继续】']
1230	127			['【继续】', '【继续】', '【继续】']
1231	132			['【继续】', '【继续】', '【继续】']
1232	137			['【继续】', '【继续】', '【继续】']
1233	142			['【继续】', '【继续】', '【继续】']
1234	147			['【继续】', '【继续】']
1235	152			['【继续】', '【继续】']
1236	155			['【继续】', '【继续】']
1237	158			['【继续】', '【继续】']
1238	161			['【继续】', '【继续】', '【继续】', '【继续】']
1239	168			['【继续】', '【继续】', '【继续】', '【继续】']
1301	1			['【继续】', '【继续】', '【继续】']
1302	5			['【继续】', '【继续】', '【继续】']
1303	9			['【继续】', '【继续】', '【继续】']
1304	13			['【继续】', '【继续】', '【继续】']
1305	17			['【继续】', '【继续】', '【继续】']
1306	21			['【继续】', '【继续】', '【继续】']
1307	25			['【继续】', '【继续】', '【继续】']
1308	29			['【继续】', '【继续】', '【继续】']
1309	33			['【继续】', '【继续】', '【继续】']
1310	37			['【继续】', '【继续】', '【继续】']
1311	41			['【继续】', '【继续】', '【继续】']
1312	45			['【继续】', '【继续】', '【继续】']
1313	49			['【继续】', '【继续】', '【继续】']
1314	53			['【继续】', '【继续】', '【继续】']
1315	57			['【继续】', '【继续】', '【继续】']
1316	61			['【继续】', '【继续】', '【继续】']
1317	65			['【继续】', '【继续】', '【继续】']
1318	69			['【继续】', '【继续】', '【继续】']
1319	73			['【继续】', '【继续】', '【继续】']
1320	77			['【继续】', '【继续】', '【继续】']
1321	81			['【继续】', '【继续】', '【继续】', '【继续】']
1322	87			['【继续】', '【继续】', '【继续】']
1323	92			['【继续】', '【继续】', '【继续】']
1324	97			['【继续】', '【继续】', '【继续】']
1325	102			['【继续】', '【继续】', '【继续】']
1326	107			['【继续】', '【继续】', '【继续】']
1327	112			['【继续】', '【继续】', '【继续】']
1328	117			['【继续】', '【继续】', '【继续】']
1329	122			['【继续】', '【继续】', '【继续】']
1330	127			['【继续】', '【继续】', '【继续】']
1331	132			['【继续】', '【继续】', '【继续】']
1332	137			['【继续】', '【继续】', '【继续】']
1333	142			['【继续】', '【继续】', '【继续】']
1334	147			['【继续】', '【继续】']
1335	152			['【继续】', '【继续】']
1336	155			['【继续】', '【继续】']
1337	158			['【继续】', '【继续】']
1338	161			['【继续】', '【继续】', '【继续】', '【继续】']
1339	168			['【继续】', '【继续】', '【继续】', '【继续】']
1401	1			['【继续】', '【继续】', '【继续】']
1402	5			['【继续】', '【继续】', '【继续】']
1403	9			['【继续】', '【继续】', '【继续】']
1404	13			['【继续】', '【继续】', '【继续】']
1405	17			['【继续】', '【继续】', '【继续】']
1406	21			['【继续】', '【继续】', '【继续】']
1407	25			['【继续】', '【继续】', '【继续】']
1408	29			['【继续】', '【继续】', '【继续】']
1409	33			['【继续】', '【继续】', '【继续】']
1410	37			['【继续】', '【继续】', '【继续】']
1411	41			['【继续】', '【继续】', '【继续】']
1412	45			['【继续】', '【继续】', '【继续】']
1413	49			['【继续】', '【继续】', '【继续】']
1414	53			['【继续】', '【继续】', '【继续】']
1415	57			['【继续】', '【继续】', '【继续】']
1416	61			['【继续】', '【继续】', '【继续】']
1417	65			['【继续】', '【继续】', '【继续】']
1418	69			['【继续】', '【继续】', '【继续】']
1419	73			['【继续】', '【继续】', '【继续】']
1420	77			['【继续】', '【继续】', '【继续】']
1421	81			['【继续】', '【继续】', '【继续】', '【继续】']
1422	87			['【继续】', '【继续】', '【继续】']
1423	92			['【继续】', '【继续】', '【继续】']
1424	97			['【继续】', '【继续】', '【继续】']
1425	102			['【继续】', '【继续】', '【继续】']
1426	107			['【继续】', '【继续】', '【继续】']
1427	112			['【继续】', '【继续】', '【继续】']
1428	117			['【继续】', '【继续】', '【继续】']
1429	122			['【继续】', '【继续】', '【继续】']
1430	127			['【继续】', '【继续】', '【继续】']
1431	132			['【继续】', '【继续】', '【继续】']
1432	137			['【继续】', '【继续】', '【继续】']
1433	142			['【继续】', '【继续】', '【继续】']
1434	147			['【继续】', '【继续】']
1435	152			['【继续】', '【继续】']
1436	155			['【继续】', '【继续】']
1437	158			['【继续】', '【继续】']
1438	161			['【继续】', '【继续】', '【继续】', '【继续】']
1439	168			['【继续】', '【继续】', '【继续】', '【继续】']
1501	1			['【继续】', '【继续】', '【继续】']
1502	5			['【继续】', '【继续】', '【继续】']
1503	9			['【继续】', '【继续】', '【继续】']
1504	13			['【继续】', '【继续】', '【继续】']
1505	17			['【继续】', '【继续】', '【继续】']
1506	21			['【继续】', '【继续】', '【继续】']
1507	25			['【继续】', '【继续】', '【继续】']
1508	29			['【继续】', '【继续】', '【继续】']
1509	33			['【继续】', '【继续】', '【继续】']
1510	37			['【继续】', '【继续】', '【继续】']
1511	41			['【继续】', '【继续】', '【继续】']
1512	45			['【继续】', '【继续】', '【继续】']
1513	49			['【继续】', '【继续】', '【继续】']
1514	53			['【继续】', '【继续】', '【继续】']
1515	57			['【继续】', '【继续】', '【继续】']
1516	61			['【继续】', '【继续】', '【继续】']
1517	65			['【继续】', '【继续】', '【继续】']
1518	69			['【继续】', '【继续】', '【继续】']
1519	73			['【继续】', '【继续】', '【继续】']
1520	77			['【继续】', '【继续】', '【继续】']
1521	81			['【继续】', '【继续】', '【继续】', '【继续】']
1522	87			['【继续】', '【继续】', '【继续】']
1523	92			['【继续】', '【继续】', '【继续】']
1524	97			['【继续】', '【继续】', '【继续】']
1525	102			['【继续】', '【继续】', '【继续】']
1526	107			['【继续】', '【继续】', '【继续】']
1527	112			['【继续】', '【继续】', '【继续】']
1528	117			['【继续】', '【继续】', '【继续】']
1529	122			['【继续】', '【继续】', '【继续】']
1530	127			['【继续】', '【继续】', '【继续】']
1531	132			['【继续】', '【继续】', '【继续】']
1532	137			['【继续】', '【继续】', '【继续】']
1533	142			['【继续】', '【继续】', '【继续】']
1534	147			['【继续】', '【继续】']
1535	152			['【继续】', '【继续】']
1536	155			['【继续】', '【继续】']
1537	158			['【继续】', '【继续】']
1538	161			['【继续】', '【继续】', '【继续】', '【继续】']
1539	168			['【继续】', '【继续】', '【继续】', '【继续】']
1601	1			['【继续】', '【继续】', '【继续】']
1602	5			['【继续】', '【继续】', '【继续】']
1603	9			['【继续】', '【继续】', '【继续】']
1604	13			['【继续】', '【继续】', '【继续】']
1605	17			['【继续】', '【继续】', '【继续】']
1606	21			['【继续】', '【继续】', '【继续】']
1607	25			['【继续】', '【继续】', '【继续】']
1608	29			['【继续】', '【继续】', '【继续】']
1609	33			['【继续】', '【继续】', '【继续】']
1610	37			['【继续】', '【继续】', '【继续】']
1611	41			['【继续】', '【继续】', '【继续】']
1612	45			['【继续】', '【继续】', '【继续】']
1613	49			['【继续】', '【继续】', '【继续】']
1614	53			['【继续】', '【继续】', '【继续】']
1615	57			['【继续】', '【继续】', '【继续】']
1616	61			['【继续】', '【继续】', '【继续】']
1617	65			['【继续】', '【继续】', '【继续】']
1618	69			['【继续】', '【继续】', '【继续】']
1619	73			['【继续】', '【继续】', '【继续】']
1620	77			['【继续】', '【继续】', '【继续】']
1621	81			['【继续】', '【继续】', '【继续】', '【继续】']
1622	87			['【继续】', '【继续】', '【继续】']
1623	92			['【继续】', '【继续】', '【继续】']
1624	97			['【继续】', '【继续】', '【继续】']
1625	102			['【继续】', '【继续】', '【继续】']
1626	107			['【继续】', '【继续】', '【继续】']
1627	112			['【继续】', '【继续】', '【继续】']
1628	117			['【继续】', '【继续】', '【继续】']
