Id	Title	Icon	Description	IsEnd	HasLeave	OptionId	OptionDesc
1	诡异的车辆		你们在路边找到一辆车，看起来只需要加油就可以启动。			[2, 3, 4]	['去附近的加油站看看', '在报废的车上碰碰运气', '加点循环液进去试试？']
2	诡异的车辆		加油站已经没有油了，你们只找到了一些补给，还遇到了在附近游荡的疯子。	1		[1]	['继续']
3	诡异的车辆		通过软管吸取到了一些油，足够支持接下来的一段路程。	1		[2]	['继续']
4	诡异的车辆		……你在想什么呢？	1		[3]	['继续']
5	跟踪者		摇曳的树影，闪烁的灯光，伴随着前行的脚步不断出现的细微声响……你总觉得有人在跟着你。			[6, 7, 8]	['不管是谁和他拼了', '绕路甩开', '转移注意']
6	跟踪者		你果然在路灯后发现了鬼鬼祟祟的人影，你们打了一架。	1		[1]	['继续']
7	跟踪者		虽然绕了远路，但这是最稳妥的选择。	1		[2]	['继续']
8	跟踪者		你向身后撒了一把钱，然后拔腿就跑，这次没有人再追上来。	1		[3]	['继续']
9	破旧贩卖机		在路上发现了一台破旧的自动贩卖机。			[10, 11, 12]	['试试投币', '疯狂摇晃', '看看周围']
10	破旧贩卖机		叮咚！贩卖机居然还能用！你获得了一些食物。	1		[1]	['继续']
11	破旧贩卖机		被倒下的贩卖机砸中了脚，不过获得了不少东西。	1		[2]	['继续']
12	破旧贩卖机		你们在草丛里捡到了一些硬币。	1		[3]	['继续']
13	陈旧玩具箱		角落有一个陈旧玩具箱，看起来单纯无害，大概不会有什么奇怪的东西蹦出来。			[14, 15, 16]	['翻找。', '不翻。', '小心地翻。']
14	陈旧玩具箱		即使身处险境，也不放过一针一线。	1		[1]	['继续']
15	陈旧玩具箱		一切可疑的箱子都不能翻，这是保命守则！	1		[2]	['继续']
16	陈旧玩具箱		你发现了一些陈旧的首饰。	1		[3]	['继续']
17	古怪的身影		前方出现了一个鬼影，你看不清他的面容，只看到他正在疯狂挖洞，嘴里还念念有词。			[18, 19, 20]	['去拍他的肩。', '我什么都没看见，绕路吧。', '因为惊吓而坐倒在地上。']
18	古怪的身影		鬼影被你吓了一大跳，一拳揍在了你的脸上，为表歉意，鬼影决定为你提供帮助。	1		[1]	['继续']
19	古怪的身影		虽然多走了一段路，但是很有安心感，而且在路上发现了一些补给。	1		[2]	['继续']
20	古怪的身影		你摆出了恐怖片中常见的夸张反应，鬼影满意地点了点头，而你的屁股被摔得很痛。	1		[3]	['继续']
21	禁忌的法阵		这里有一个巨大的魔法阵，旁边摆放着一本破旧的魔法书，上面似乎记载着禁忌的咒语。			[22, 23, 24]	['查看治愈系咒语。', '查看炼金术的咒语', '查看召唤魔王的咒语。']
22	禁忌的法阵		一个白发的小精灵从魔法阵现身，治愈了你们的伤势，然后面无表情地问你们要钱，你觉得她有点眼熟，应该是错觉。	1		[1]	['继续']
23	禁忌的法阵		你们获得了黄金，这个咒语是真的，虽然只能用一次。	1		[2]	['继续']
24	禁忌的法阵		付出鲜血的代价后，魔法阵发出一阵强烈的光芒——你们获得了魔王的至宝	1		[3]	['继续']
25	神父的凝视		擦肩而过的神父忧心忡忡注视着你，他认为你被什么不洁的东西缠上了。			[26, 27, 28]	['请求驱散', '请求庇佑', '相信我们吧，我们是主角。']
26	神父的凝视		神父找来一对看起来很厉害的夫妻为你进行了驱魔仪式。	1		[1]	['继续']
27	神父的凝视		神父交给你一个看起来价值不菲的银色项链。	1		[2]	['继续']
28	神父的凝视		神父看上去有点迷惑，但出于对你们的担心，他为你们增加了一份祝福。	1		[3]	['继续']
29	血腥艺术		疯狂艺术家手中的电锯正在嗡嗡作响，他的“完美作品”还差一条胳膊。			[30, 31, 32]	['正面对抗', '躲进柜子', '声东击西']
30	血腥艺术		经过一番缠斗，你们打败了疯狂艺术家。	1		[1]	['继续']
31	血腥艺术		疯狂艺术家找遍了除你们所在的每一个柜子，然后骂骂咧咧地离开了，你在柜子的角落发现了一些东西。	1		[2]	['继续']
32	血腥艺术		一块砸在墙上的板砖成功吸引了疯狂艺术家的注意，你们在趁机逃脱的同时还发现了掉落一旁的物资，板砖万岁！	1		[3]	['继续']
33	倾盆大雨		赶路的途中突然电闪雷鸣，倾盆大雨阻挡了你们前进的步伐，你决定——			[34, 35, 36]	['稍微休息一下吧', '临时找地方避雨', '继续前进']
34	倾盆大雨		这场雨下了很久，你们获得了充足的休息时间。	1		[1]	['继续']
35	倾盆大雨		你们等了很久雨都没有停，好心的老人邀请你们进屋避雨。	1		[2]	['继续']
36	倾盆大雨		只要一直前行，道路就会不断延伸！	1		[3]	['继续']
37	不洁的占卜		神秘的占卜师抚摸着他的水晶球，他可以回答你一个问题。			[38, 39, 40]	['询问过去', '询问未来', '询问财富密码']
38	不洁的占卜		占卜师看着水晶球沉吟了一会，然后突然神色大变：“你……你应该已经死了，你为什么还活着？”	1		[1]	['继续']
39	不洁的占卜		也许是在你身上看到的未来已经超出了认知，水晶球在占卜师手中炸裂开来。	1		[2]	['继续']
