TextId	ActorName	ActorTalk	Cv	Desc
1	Flower-Ku	Everyone's been looking pretty low-energy lately. [PlayerName], do you know how to lift people's spirits?		
2		Why do you say that?		
3		Get some fresh air?		
4		How about a gift?		
5	Flower-Ku	That's what the other Kuroros say. And there have been fewer visitors lately too.		
6	Flower-Ku	Sigh... how do we get everyone feeling upbeat again?		
7	Flower-Ku	Really? Okay, breathing in, breathing in, breathing in...		
8	Flower-Ku	Huh? What's this feeling? Why can't I breathe? Why! Could it be... could it be—		
9		(This Kuroro seems stuck in a loop.)		
10	Flower-Ku	Just as I expected. I'll share this intel with everyone after work today.		
11	Flower-Ku	Thanks, [PlayerName].		
