TextId	ActorName	ActorTalk	Cv	Desc
1	Santi	Something goes wrong right after work... What would you do in that situation?		
2		What happened?		
3		Off work.		
4	Santi	You know how this place is seen as Babylonia's go-to dating spot. And just now, the business lead had a moment of very poor judgment...		
5	Santi	They want us working overtime to grow eight-leaf clovers just for dates.		
6		Is that even possible?		
7	Santi	It's doable. With our lab conditions, even ten leaves wouldn't be a problem. It just had to be tonight, though...		
8	Santi	So now they want a fast-growing variety too? Are they trying to turn clovers into bean sprouts or chives?!		
9	Santi	I feel the same. My niece finally came to visit... I can't let her down.		
10	Santi	So, Commandant of Gray Raven, can I leave the rest to you?		
11		Sorry, I've got something else to handle.		
12		You should always finish your own work.		
13	Santi	Wait, what?		
