TextId	ActorName	ActorTalk	Cv	Desc
1	Lee	Judging by the artificial lighting here in Dreamglow Gardens...	510024013	
2	Lee	Babylonia should have good weather today too.	510024014	
3	[PlayerName]	But the universe stays dark and quiet... that's what you're thinking, isn't it, Lee?		
4	Lee	You're free to guess. I reserve the right to stay silent.	510024015	
5	[PlayerName]	But you said something similar back at the security bridge.		
6	Lee	That's... not an accurate comparison.	510024016	
7	Lee	At the very least, I don't feel the same now.	510024017	
8	[PlayerName]	Huh? What'd you say?		
9	Lee	Nothing.	510024018	
10	[PlayerName]	Not again. Lee, say important things at a normal volume.		
11	[PlayerName]	...Even a kitten is louder than you.		
