TextId	ActorName	ActorTalk	Cv	Desc
1	Rosetta	Commandant... why are you inside my M.I.N.D.?	510015085	
2	Rosetta	I see... I didn't realize things had gotten that bad. Maybe I was careless—no, anything can happen in battle.	510015086	
3	Rosetta	New Sophiasburgh was attacked by Corrupted... The glacier suddenly split open and they just kept pouring out.	510015087	
4	Rosetta	I gathered my squad and we formed a defensive line. We held them back out on the ice.	510015088	
5	Rosetta	Then in the middle of the fight, a jet-black Construct broke out from among the Corrupted and started attacking us.	510015089	
6	Rosetta	I stayed behind to cover the retreat. And well... this is what happened.	510015090	
7	Rosetta	Yes, and I checked—they weren't an Ascendant. Oh, right, Commandant, you mentioned Miss Mina is here too?	510015091	
8	Rosetta	She's a bit strange, and honestly kinda hates Babylonia. I didn't expect her to come along.	510015092	
9	Rosetta	...Commandant?	510015093	
10	Rosetta	...What?	510015094	
11		(Explain the situation)		
12		What on earth happened?		
13		A Construct working with the Corrupted?		
14		Miss... Mina?		
15		Oh no.		
16		...		
17		"We've got a fake ""Mina"" amongst us."		
