TextId	ActorName	ActorTalk	Cv	Desc
1	Lee	If you go further in, the plaza center is much livelier.	510024007	
2	[PlayerName]	Aren't you coming?		
3	Lee	It's quieter here... and not as stiff as the military zone.	510024008	
4	Lee	Suits me better.	510024009	
5	[PlayerName]	That sounds like you.		
6	[PlayerName]	Still, it's your break. You should do something relaxing.		
7	[PlayerName]	I remember there was an ice cream guy here. Last time we—		
8	Lee	...I'm not a nine-and-a-half-year-old child.	510024010	
9	Lee	Besides, the ice cream stand left ages ago.	510024011	
10	[PlayerName]	Do you... come here often?		
11	Lee	Just passing by.	510024012	
12	[PlayerName]	...		
13	[PlayerName]	When we get back, I'll make you some homemade ice cream.		
