TextId	ActorName	ActorTalk	Cv	Desc
1	Weidong	Whew... finally escaped the world of art.		
2	Wen He	Huh? Weren't you totally absorbed just now?		
3	Weidong	Uh... that piece, The Age of Exodus, is actually pretty good.		
4	Budong	That's probably the only part you understood.		
5	Budong	That wasn't being absorbed. That was reading picture books.		
6	Weidong	So what did you get out of it?		
7	Budong	I don't understand any of it, and I'm completely unapologetic.		
8	Wen He	Pffhahaha...		
9	Wen He	We really should suggest Ayla's team put together a proper explanation.		
10	Budong	"Call it ""What Are Artists Actually Saying?"""		
