TextId	ActorName	ActorTalk	Cv	Desc
1	Kargo	Let me check the photos... okay, that's the winged bean, and this one is...		
2	Kargo	Wow... so many new vegetables.		
3	[PlayerName]	What are these?		
4	Kargo	These are crop samples collected from around the world.		
5	[PlayerName]	Some of these look quite familiar.		
6	Kargo	Do you actually recognize all of these, Commandant?		
7	[PlayerName]	A few of them. Not all.		
8	Kargo	There's a lot in here I've never seen before. Like this one—Lihao. And this winged bean... it's halfway between a bean pod and okra.		
9	[PlayerName]	Even I've only seen some of these. No idea how they taste—kind of makes me curious.		
10	Kargo	We should be eating these in Babylonia before long. This trip's basically laying the groundwork for growing them.		
11	[PlayerName]	That's definitely something to look forward to.		
12	Kargo	Once they're grown, I'm definitely trying them.		
