TextId	ActorName	ActorTalk	Cv	Desc
1	Kessler	Yeah, this equipment's running fine too.		
2	[PlayerName]	What are these supplies for?		
3	Kessler	These supplies are for the Swordfish Squad.		
4	Kessler	They're being deployed to a small island in the Pacific this time. I think it's called Lalena?		
5	Kessler	That's why they're carrying gear for underwater combat.		
6	[PlayerName]	Swordfish Squad? Don't think I've heard of them before.		
7	Kessler	It's a unit personally assembled by Chief of Staff Wells.		
8	Kessler	Oh, and my little brother's on the team too. Hehe.		
9	Kessler	Thanks. Same to you.		
10		May fortune favor your arms.		
