TextId	ActorName	ActorTalk	Cv	Desc
1	[PlayerName]	(Is that... the legendary Affection meter?)		
2	Lee	Why are you... staring at me like that?	510010008	
3		I knew it. It really does change.		
4	Lee	Why are you suddenly getting so close?!	510010009	
5		(Pat Lee's head)		
6		(Hold Lee's hand)		
7	Lee	You think you can just touch me and get away?	510010010	
8	Lee	If you're going to do something, do it right. Don't start and then bail halfway.	510010011	
9		I just thought you might not like it.		
10	Lee	That doesn't matter. As long as you like it, that's enough.	510010012	
11	Lee	Next time, just say so.	510010013	
12	Lee	I won't turn you down.	510010014	
13		Do you like it, Lee?		
14	Lee	That's something I should be asking you.	510010015	
15		Then...		
16		(Gently pinch Lee's cheek)		
17		(Pull your hand back and step away)		
18	Lee	So this is some kind of patience test now.	510010016	
19	Lee	Or maybe you're trying out a new trick. Go on, what's next?	510010017	
20		Is that permission to keep going?		
21	Lee	Do what you want. Just remember, I'll return the favor later, with interest.	510010018	
22	Lee	That's enough. Stop backing away already.	510010019	
23		I just wanted to give you some space.		
24	Lee	No need. Does it really make you feel better to stay away from me?	510010020	
25	Lee	I never said I minded you being close. Rather, it's the distance that bothers me.	510010021	
26	Lee	Go on, what do you want to do next? I still don't understand why you enjoy this so much, but that's fine.	510010022	
27		How do you even know what I'm thinking, Lee?		
28		Don't be ridiculous, I wasn't enjoying it.		
29	Lee	The number above your head keeps going up. It gives you away.	510010023	
30		Wait, I have one too?		
31	Lee	Oh, so you can see mine too, huh? No wonder you were acting that way.	510010024	
32		I was just curious, that's all...		
33	Lee	Next time, just ask. I won't hide anything from you.	510010025	
34	Lee	But that little stunt just now—I should probably return the favor.	510010026	
35		That wasn't a stunt!		
37	Lee	Doesn't matter. What's important is that you fix the numbers you just lost.	510010027	
38	Lee	Get ready. You're not leaving until it hits 100%.	510010028	
