TextId	ActorName	ActorTalk	Cv	Desc
1	Liv	You're almost there, little snowball. Keep going...	510011001	
2	[PlayerName]	Liv.		
3	Liv	C-Commandant?	510011002	
4	[PlayerName]	The staff told me you've been a great help. Thought I'd stop by and check in on you.		
5	Liv	I... wasn't expecting you this early...	510011003	
6	[PlayerName]	You knew I was coming?		
7	Liv	I was planning to show you this place myself, but... you came a little early.	510011004	
8	Liv	These dandelion seeds are little guests from Earth... They're still trying to get used to the new environment.	510011005	
9	[PlayerName]	Is it difficult to grow them?		
10	Liv	It is. But not just them—growing any plant in space takes time. You have to adjust the light, water, and nutrients for each one.	510011006	
11	Liv	Anyway, it's a lot to explain. Luckily, the garden just added two new features that let you try it for yourself. Want to give them a go?	510011007	
12	[PlayerName]	What kind of features are they?		
13	[PlayerName]	Try it myself?		
14	Liv	One lets you project the flower field from your imagination and show it to others. The other... lets you become a seed and feel what it's like to grow into a flower...	510011008	
15	Liv	Which one would you like to try first, Commandant?	510011009	
16	[PlayerName]	I'd like to see the flower field you imagine.		
17	[PlayerName]	I want to feel what it's like to grow as a seed.		
