TextId	ActorName	ActorTalk	Cv	Desc
30090201	Bianca	The view here is lovely.	510021006	
30090202	Bianca	You can see the quiet everyday life below, and clouds above that look like a field of snow.	510021007	
30090203	[PlayerName]	And I can see a relaxed, happy Bianca right here.		
30090204	[PlayerName]	(Gaze quietly at Bianca)		
30090205	Bianca	What's that line again?	510021008	
30090206	Bianca	"""I like to feel your eyes on me when I look away."""	510021009	
30090207	[PlayerName]	Looks like movie lines really do come from real life.		
30090208	Bianca	Commandant... why are you staring at me like that?	510021010	
30090209	[PlayerName]	"""I like to feel your eyes on me when I look away."""		
30090210	[PlayerName]	Movie lines are often inspired by moments like this.		
30090211	Bianca	This peaceful life... I hope it lasts for a long, long time.	510021011	
30090212	[PlayerName]	"""As long as stars are above you."""		
