TextId	ActorName	ActorTalk	Cv	Desc
1	[PlayerName]	Something bothering you?		
2	Sandis	Oh! Gray Raven Commandant! Um... is it okay to bother you with something this trivial?		
3	Sandis	I'm stuck. I just can't decide.		
4	Sandis	Not the Final Chapter at the Sprout Exhibition uses my childhood work, and The Evolving Neo-Pius Style will feature Ayla's new pieces. They'll be running at the same time soon. I'm really excited.		
5	Sandis	But... I want to see A Glance Back now.		
6	Sandis	I only have one complimentary ticket from the Engineering Force, and it's single-use. Which exhibition should I spend it on?		
7	[PlayerName]	If I remember right, A Glance Back is a permanent exhibition. You can visit it anytime for free. No need to choose.		
8	Sandis	Oh, right. I'm being scatterbrained again... I can see A Glance Back now, then save the ticket for the special exhibition later.		
9	Sandis	The ticket... wait... What?! Where's my complimentary ticket? It was just here!		
10		Maybe you misplaced it. Better go look for it.		
11		I think I saw it near a vending machine.		
12	Sandis	Ugh... I've been unbelievably out of it today.		
