TextId	ActorName	ActorTalk	Cv	Desc
1	Wanshi	Hmm? Commandant?	510023012	
2	[PlayerName]	...You're not asleep?		
3	Wanshi	Light sleeper... I sensed you coming.	510023013	
4	Wanshi	This art gallery the WGAA built is really nice. It makes you relax without even noticing.	510023014	
5	[PlayerName]	Getting design ideas for your dorm?		
6	Wanshi	Hmm... instead of that, maybe we should start a Napping Association to match the WGAA.	510023015	
7	[PlayerName]	A Napping Association?		
8	Wanshi	Yup. Branch offices in every good nap spot. Like right here.	510023016	
9	[PlayerName]	...Let's stick to learning design from WGAA.		
10	Wanshi	This is nice... running into each other here, joking around...	510023017	
11	Wanshi	Commandant... today feels close to the kind of life I've always wanted.	510023018	
