Id	Name	Desc	ImageUrl	Weight	ConditionIds
1	Eden-Class Babylonia	Filled with the unprecedented aspirations of humanity, Babylonia was supposed to be the first-ever superluminal starship for interstellar colonization.\nIts massive construction alone has ushered in a new era of human history, the Golden Age, where human beings stayed united and evolved.\nAfter the virus outbreak, the construction of Babylonia was forcibly terminated. Babylonia became the shelter for many survivors who had escaped to space.\nNow, Babylonia is anchored in the arc orbital dock and, as the starting point for taking back Earth, it maintains close ties with ground forces.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading1.png	1	
2	Commercial Square	A massive commercial property developed under the initiative of Babylonia Commercial Council, serving as a landmark building of the Commercial District.\nThe Commercial Square integrates diverse business formats with rich functionality, meeting people's varied needs for daily shopping, social gatherings, business negotiations, and leisure entertainment.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading3.png	1	
3	Commercial Square	A massive commercial property developed under the initiative of Babylonia Commercial Council, serving as a landmark building of the Commercial District.\nThe Commercial Square integrates diverse business formats with rich functionality, meeting people's varied needs for daily shopping, social gatherings, business negotiations, and leisure entertainment.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading7.png	1	
4	Stella Brew	A comprehensive leisure venue located within the Commercial District, renowned for its exquisite mixed drinks.\nThe menu covers various classic specialty drinks and flavored beverages, catering to the tastes of all customers.\nPerfect for both enjoying quiet moments alone and spending time with friends, Stella Brew attracts numerous customers from Babylonia with its quality drinks at affordable prices and perfectly balanced relaxed atmosphere.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading4.png	1	
5	Kuroro Coffee	A popular coffee shop in the Commercial District, operated by Ross, an owner with extensive professional experience.\nKuroro Coffee features a minimalist and practical layout design, divided into bar seating and general seating areas.\nThe cafe is equipped with standardized coffee-making equipment, capable of providing various types of coffee along with rich seasonings to meet customers' personalized needs.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading5.png	1	
6	Orbital Corridor	A commercial street that brings together various types of shops, including food shops, clothing shops, and more.\nAs an important component of the Commercial District, Orbital Corridor provides residents with a convenient shopping option.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading6.png	1	
7	Sequence Square	An outdoor public space located in the Residential District, serving as one of the important links connecting to the Commercial District.\nDue to its convenient location, Sequence Square serves as both a place for residents' daily leisure activities and a landmark with heavy foot traffic.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading8.png	1	
8	Sequence Square	An outdoor public space located in the Residential District, serving as one of the important links connecting to the Commercial District.\nDue to its convenient location, Sequence Square serves as both a place for residents' daily leisure activities and a landmark with heavy foot traffic.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading9.png	1	
9	Commandant's Lounge	An exclusive lounge Babylonia prepared for the Commandant.\nThe room is equipped with comprehensive home facilities and necessary office equipment.\nThese ensure the Commandant can get adequate rest during downtime between missions while also enabling rapid handling of affairs and issuing of orders when emergencies arise.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading10.png	1	
10	"""Dreamweaver World"""	A land of blooming pink mountain flowers, beaches, ocean, brilliant seaside fireworks...\nThe Dreamweaver World device constructed this ideal dreamscape for the Commandant and Lucia based on keywords they provided.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading12.png	1	
