Id	FeatureId	ExtraFeatureId	SmallMonsterIcon	BigMonsterIcon	WeakIcon	StageTypeName	StageNumberName
30162451	1	45	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1SandwormMd030001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster81800.png	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	独行首领	RR-07
30162452	2	45	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030052.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90480.png	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	众聚群落	RR-08
30162453	3	45	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd007030.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90620.png	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	众聚群落	RR-05
30162454	4	45	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1HetipaotaiMd010001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster93180.png	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	众聚群落	RR-06
30162455	5	43	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1OrphanMd030001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster81500.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	独行首领	RR-03
30162456	6	43	Assets/Product/Texture/Image/UiArchiveMonsterHead/Mb1TaiayixingMd010001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90810.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	众聚群落	RR-04
30162457	7	43	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1TuziMd000002.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90760.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	众聚群落	RR-01
30162458	8	43	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd005010.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90450.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	众聚群落	RR-02
30162459	9	47	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ShujingMd010001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster93101.png	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	众聚群落	SF-07
30162460	10	47	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ZhizunMd000001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90700.png	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	众聚群落	SF-08
30162461	11	47	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004010.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90340.png	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	众聚群落	SF-05
30162462	12	47	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1JgrcMd000002.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90260.png	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	众聚群落	SF-06
30162463	13	43	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1SemifiniMd010001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster93030.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	众聚群落	SF-03
30162464	14	43	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1CyborgleaderMd10001.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster93060.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	众聚群落	SF-04
30162465	15	43	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1CattleMd000002.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90400.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	众聚群落	SF-01
