Id	Name	NumberName	InitScore	ReduceScoreParam	StageIds	IsEndPoint
1	第一节点	1		500	[30162901, 30162902]	
2	第二节点	2		500	[30162903, 30162904]	
3	第三节点	3		500	[30162905, 30162906]	
4	终末关卡	4	5000	500	[30162907]	1
11	第一节点	1		500	[30162909, 30162910]	
12	第二节点	2		500	[30162911, 30162912]	
13	第三节点	3		500	[30162913, 30162914]	
14	终末关卡	4	5000	500	[30162915]	1
21	第一节点	1		500	[30162917, 30162918]	
22	第二节点	2		500	[30162919, 30162920]	
23	第三节点	3		500	[30162921, 30162922]	
24	第四节点	4		500	[30162923, 30162924]	
25	终末关卡	5	5000	500	[30162925]	1
31	第一节点	1		500	[30162927, 30162928]	
32	第二节点	2		500	[30162929, 30162930]	
33	第三节点	3		500	[30162931, 30162932]	
34	第四节点	4		500	[30162933, 30162934]	
35	终末关卡	5	5000	500	[30162935]	1
41	第一节点	1		500	[30162937, 30162938]	
42	第二节点	2		500	[30162939, 30162940]	
43	第三节点	3		500	[30162941, 30162942]	
44	第四节点	4		500	[30162943, 30162944]	
45	终末关卡	5	5000	500	[30162945]	1
101	第一节点	1		500	[30162951, 30162952]	
102	第二节点	2		500	[30162953, 30162954]	
103	第三节点	3		500	[30162955, 30162956]	
104	终末关卡	4	5000	500	[30162957]	1
111	第一节点	1		500	[30162958, 30162959]	
112	第二节点	2		500	[30162960, 30162961]	
113	第三节点	3		500	[30162962, 30162963]	
114	终末关卡	4	5000	500	[30162964]	1
121	第一节点	1		500	[30162965, 30162966]	
122	第二节点	2		500	[30162967, 30162968]	
123	第三节点	3		500	[30162969, 30162970]	
124	第四节点	4		500	[30162971, 30162972]	
125	终末关卡	5	5000	500	[30162973]	1
131	第一节点	1		500	[30162974, 30162975]	
132	第二节点	2		500	[30162976, 30162977]	
133	第三节点	3		500	[30162978, 30162979]	
134	第四节点	4		500	[30162980, 30162981]	
135	终末关卡	5	5000	500	[30162982]	1
141	第一节点	1		500	[30162983, 30162984]	
142	第二节点	2		500	[30162985, 30162986]	
143	第三节点	3		500	[30162987, 30162988]	
144	第四节点	4		500	[30162989, 30162990]	
145	终末关卡	5	5000	500	[30162991]	1
