Id	TimeId	Name	SecondName	FubenPrefab	Icon	MonsterBg	UnlockChapterIds	PointIds	ScoreLevel	EndPointId	OverviewIcon	OverviewDesc
1		集雪散霰	第一章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower05.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss1.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss1.png		[1, 2, 3]	[3500, 4000, 4500, 5000]	4	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg13.png	受到怪物攻击时，大幅降低角色<color=#037a75>移动速度</color>。<color=#037a75>切换角色</color>后清除效果
2		磐峙斧礴	第二章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower05.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss2.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss2.png	[1]	[11, 12, 13]	[3500, 4000, 4500, 5000]	14	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg14.png	怪物拥有<color=#037a75>壁垒</color>效果，周期性获得护盾。击破护盾后移除壁垒效果，并降低怪物<color=#037a75>30%抗性</color>
3		穿笼剪羽	第三章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower04.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss3.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss3.png	[2]	[21, 22, 23, 24]	[3500, 4000, 4500, 5000]	25	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg15.png	怪物获得<color=#037a75>暴走</color>，攻击欲望提升，每隔一段时间闪现接近角色。进入超算空间时，<color=#037a75>解除暴走状态10秒</color>
4		游鸟横镰	第四章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower04.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss4.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss4.png	[3]	[31, 32, 33, 34]	[3500, 4000, 4500, 5000]	35	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg16.png	场上存在<color=#037a75>母体怪物</color>，每隔<color=#037a75>6秒</color>召唤1个<color=#037a75>子体怪物</color>，上限3个。场上每个子体为母体增加一层<color=#037a75>复苏</color>
5		攀黎越髓	第五章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower04.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss5.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss5.png	[4]	[41, 42, 43, 44]	[3500, 4000, 4500, 5000]	45	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg17.png	能源核心超频所需充能层数减少到2层，每层提升的<color=#037a75>角色攻击力提高至10%</color>。强化状态下，进入超算空间，以玩家为中心生成一次暗爆，造成范围内<color=#037a75>20W真实伤害</color>
6		雷嗔云谲	第一章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower05.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss6.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss6.png		[101, 102, 103]	[3500, 4000, 4500, 5000]	104	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg18.png	<color=#037a75>每隔10s</color>，将在<color=#037a75>己方角色位置召唤雷电</color>，对玩家角色造成伤害
7		落玉余冉	第二章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower05.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss7.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss7.png	[6]	[111, 112, 113]	[3500, 4000, 4500, 5000]	114	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg19.png	<color=#037a75>每隔7s</color>，将在<color=#037a75>己方角色位置召唤陨石</color>，对玩家角色造成伤害
8		涌潮覆火	第三章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower04.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss8.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss8.png	[7]	[121, 122, 123, 124]	[3500, 4000, 4500, 5000]	125	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg20.png	战斗开始时场上构造体数目大于感染体时，所有敌方获得统领。战斗开始时场上感染体数目大于构造体时，所有敌方获得暴走
9		嘶猎奔啸	第四章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower04.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss9.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss9.png	[8]	[131, 132, 133, 134]	[3500, 4000, 4500, 5000]	135	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg21.png	在场怪物中将有一只被寄生，在25秒后孵化一只感染体，随后场上另一随机敌方被寄生
10		梦界终许	第五章	Assets/Product/Ui/ComponentPrefab/FuBenTwoSideTower/FuBenTwoSideTower04.prefab	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBgBoss10.png	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBoss10.png	[9]	[141, 142, 143, 144]	[3500, 4000, 4500, 5000]	145	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg22.png	不同的尖塔将提供不同的增益
