Id	FightEventId	Type	Icon	Name	Image	Desc	DescZonglan
1	50600	1	Assets/Product/Texture/Image/IconAffix/AffixIconMoai2.png	石化		装置每隔<color=#34aff9>5</color>秒会石化<color=#34aff9>10米内</color>的<color=#34aff9>所有单位</color>	装置每隔<color=#34aff9>5</color>秒会石化<color=#34aff9>10米内</color>的<color=#34aff9>所有单位</color>
2	50601	1	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	黑洞		装置每隔<color=#34aff9>15</color>秒后吸引附近<color=#34aff9>所有单位</color>	装置每隔<color=#34aff9>15</color>秒后吸引附近<color=#34aff9>所有单位</color>
3	50602	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	横扫激光	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg02.png	装置会向角色发射光线，对路径上<color=#34aff9>所有单位</color>造成最大生命值10%的伤害	装置会向角色发射光线，对路径上<color=#34aff9>所有单位</color>造成最大生命值10%的伤害
4	50603	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13001.png	全面炮击	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg01.png	装置会向角色发射炮击，对范围内的<color=#34aff9>所有单位</color>造成最大生命值30%的伤害	装置会向角色发射炮击，对范围内的<color=#34aff9>所有单位</color>造成最大生命值30%的伤害
5	50604	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	优速愈合		装置<color=#34aff9>10米内</color>的所有单位每秒回复最大生命值1%的血量	装置<color=#34aff9>10米内</color>的所有单位每秒回复最大生命值1%的血量
6	50605	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	治疗		装置<color=#34aff9>10米外</color>的所有单位每秒回复最大生命值1%血量	装置<color=#34aff9>10米外</color>的所有单位每秒回复最大生命值1%血量
7	50606	1	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	辐射	Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerImg03.png	装置<color=#34aff9>10米内</color>的所有单位每秒受到最大生命值7%的伤害	装置<color=#34aff9>10米内</color>的所有单位每秒受到最大生命值7%的伤害
8	50607	1	Assets/Product/Texture/Image/IconAffix/AffixIconBodong2.png	波动		装置<color=#34aff9>10米外</color>的所有单位每秒受到最大生命值7%的伤害	装置<color=#34aff9>10米外</color>的所有单位每秒受到最大生命值7%的伤害
9	50608	2	Assets/Product/Texture/Image/IconAffix/AffixIconMoai2.png	停滞		角色的攻击会石化怪物，石化状态内的怪物<color=#34aff9>免疫</color>来自于角色的伤害，持续<color=#34aff9>5</color>秒，冷却<color=#34aff9>10</color>秒	角色的攻击会石化怪物，石化状态内的怪物<color=#34aff9>免疫</color>来自于角色的伤害，持续<color=#34aff9>5</color>秒，冷却<color=#34aff9>10</color>秒
10	50609	1	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	动荡		怪物会生成黑洞吸引玩家，怪物每次<color=#34aff9>受伤</color>会发出冲击波伤害附近的<color=#34aff9>所有单位</color>	怪物会生成黑洞吸引玩家，怪物每次<color=#34aff9>受伤</color>会发出冲击波伤害附近的<color=#34aff9>所有单位</color>
11	50610	1	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie2.png	追击		怪物移动速度提升，但<color=#34aff9>受到伤害提高</color>	怪物移动速度提升，但<color=#34aff9>受到伤害提高</color>
12	50611	2	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	自我憎恶		怪物持续对周围单位造成伤害，距离<color=#34aff9>越近伤害越高</color>	怪物持续对周围单位造成伤害，距离<color=#34aff9>越近伤害越高</color>
