GroupId	GroupName	Icon	Desc	PreGroupId	ChallengeNum	BaseStage	StageId	FightInfoId	TeamFightSeq	LogisticsInfoId	GroupOrderId	NeedPoint	ClearOpen
101	第1战		描述一下			12010102	[12010101, 12010102]	[12010101, 12010102]	1|2		1	4000	1
102	第2战		描述一下	101		12010202	[12010201, 12010202]	[12010201, 12010202]	1|2		2	4000	1
103	第3战		描述一下	102		12010302	[12010301, 12010302]	[12010301, 12010302]	1|2		3	4000	1
201	第1战		描述一下	103		12020103	[12020101, 12020102, 12020103]	[12020101, 12020102, 12020103]	1|2|3		1	4400	1
202	第2战		描述一下	201		12020203	[12020201, 12020202, 12020203]	[12020201, 12020202, 12020203]	1|2|3		2	4400	1
203	第3战		描述一下	202		12020303	[12020301, 12020302, 12020303]	[12020301, 12020302, 12020303]	1|2|3		3	4400	1
301	第1战		描述一下	203		12030103	[12030101, 12030102, 12030103]	[12030101, 12030102, 12030103]	1|2|3		1	4800	1
302	第2战		描述一下	301		12030203	[12030201, 12030202, 12030203]	[12030201, 12030202, 12030203]	1|2|3		2	4800	1
303	第3战		描述一下	302		12030303	[12030301, 12030302, 12030303]	[12030301, 12030302, 12030303]	1|2|3		3	4800	1
401	第1战		描述一下	303		12040103	[12040101, 12040102, 12040103]	[12040101, 12040102, 12040103]	1|2|3		1	5200	1
402	第2战		描述一下	401		12040203	[12040201, 12040202, 12040203]	[12040201, 12040202, 12040203]	1|2|3		2	5200	1
403	第3战		描述一下	402		12040303	[12040301, 12040302, 12040303]	[12040301, 12040302, 12040303]	1|2|3		3	5200	1
501	第1战		描述一下	403		12050103	[12050101, 12050102, 12050103]	[12050101, 12050102, 12050103]	1|2|3		1	5400	1
502	第2战		描述一下	501		12050203	[12050201, 12050202, 12050203]	[12050201, 12050202, 12050203]	1|2|3		2	5400	1
503	第3战		描述一下	502		12050303	[12050301, 12050302, 12050303]	[12050301, 12050302, 12050303]	1|2|3		3	5400	1
601	第1战		描述一下	503		12060103	[12060101, 12060102, 12060103]	[12060101, 12060102, 12060103]	1|2|3		1	5600	1
602	第2战		描述一下	601		12060203	[12060201, 12060202, 12060203]	[12060201, 12060202, 12060203]	1|2|3		2	5600	1
603	第3战		描述一下	602		12060303	[12060301, 12060302, 12060303]	[12060301, 12060302, 12060303]	1|2|3		3	5600	1
701	第1战		描述一下	603		12070103	[12070101, 12070102, 12070103]	[12070101, 12070102, 12070103]	1|2|3		1	5800	1
702	第2战		描述一下	701		12070203	[12070201, 12070202, 12070203]	[12070201, 12070202, 12070203]	1|2|3		2	5800	1
703	第3战		描述一下	702		12070303	[12070301, 12070302, 12070303]	[12070301, 12070302, 12070303]	1|2|3		3	5800	1
801	第1战		描述一下	703		12080103	[12080101, 12080102, 12080103]	[12080101, 12080102, 12080103]	1|2|3		1	6000	1
802	第2战		描述一下	801		12080203	[12080201, 12080202, 12080203]	[12080201, 12080202, 12080203]	1|2|3		2	6000	1
803	第3战		描述一下	802		12080303	[12080301, 12080302, 12080303]	[12080301, 12080302, 12080303]	1|2|3		3	6000	1
901	第1战		描述一下	803		12090103	[12090101, 12090102, 12090103]	[12090101, 12090102, 12090103]	1|2|3		1	6300	1
902	第2战		描述一下	901		12090203	[12090201, 12090202, 12090203]	[12090201, 12090202, 12090203]	1|2|3		2	6300	1
903	第3战		描述一下	902		12090303	[12090301, 12090302, 12090303]	[12090301, 12090302, 12090303]	1|2|3		3	6300	1
1001	第1战		描述一下	903		12100104	[12100102, 12100103, 12100104]	[12100102, 12100103, 12100104]	1|2|3		1	6500	1
1002	第2战		描述一下	1001		12100204	[12100202, 12100203, 12100204]	[12100202, 12100203, 12100204]	1|2|3		2	6500	1
1003	第3战		描述一下	1002		12100304	[12100302, 12100303, 12100304]	[12100302, 12100303, 12100304]	1|2|3		3	6500	1
1101	第1战		描述一下	1003		12110104	[12110101, 12110103, 12110104]	[12110101, 12110103, 12110104]	1|2|3		1	6700	1
1102	第2战		描述一下	1101		12110204	[12110202, 12110203, 12110204]	[12110202, 12110203, 12110204]	1|2|3		2	6700	1
1103	第3战		描述一下	1102		12110304	[12110301, 12110303, 12110304]	[12110301, 12110303, 12110304]	1|2|3		3	6700	1
1201	第1战		描述一下	1103		12120104	[12120101, 12120103, 12120104]	[12120101, 12120103, 12120104]	1|2|3		1	7000	1
1202	第2战		描述一下	1201		12120204	[12120201, 12120202, 12120204]	[12120201, 12120202, 12120204]	1|2|3		2	7000	1
1203	第3战		描述一下	1202		12120304	[12120301, 12120303, 12120304]	[12120301, 12120303, 12120304]	1|2|3		3	7000	1
1301	第1战		描述一下	1203		12130105	[12130102, 12130104, 12130105]	[12130102, 12130104, 12130105]	1|2|3		1		
1302	第2战		描述一下	1301		12130205	[12130202, 12130204, 12130205]	[12130202, 12130204, 12130205]	1|2|3		2		
1303	第3战		描述一下	1302		12130305	[12130301, 12130304, 12130305]	[12130301, 12130304, 12130305]	1|2|3		3		
1401	第1战		描述一下	1303		12140105	[12140101, 12140103, 12140105]	[12140101, 12140103, 12140105]	1|2|3		1		
1402	第2战		描述一下	1401		12140205	[12140203, 12140204, 12140205]	[12140203, 12140204, 12140205]	1|2|3		2		
1403	第3战		描述一下	1402		12140305	[12140302, 12140303, 12140305]	[12140302, 12140303, 12140305]	1|2|3		3		
1501	第1战		描述一下	1403		12150105	[12150101, 12150102, 12150105]	[12150101, 12150102, 12150105]	1|2|3		1		
1502	第2战		描述一下	1501		12150205	[12150202, 12150203, 12150205]	[12150202, 12150203, 12150205]	1|2|3		2		
1503	第3战		描述一下	1502		12150305	[12150301, 12150302, 12150305]	[12150301, 12150302, 12150305]	1|2|3		3		
1601	第1战		描述一下	1503		12160105	[12160102, 12160103, 12160105]	[12160102, 12160103, 12160105]	1|2|3		1		
1602	第2战		描述一下	1601		12160205	[12160201, 12160204, 12160205]	[12160201, 12160204, 12160205]	1|2|3		2		
1603	第3战		描述一下	1602		12160305	[12160301, 12160303, 12160305]	[12160301, 12160303, 12160305]	1|2|3		3		
1701	第1战		描述一下	1603		12170105	[12170102, 12170103, 12170105]	[12170102, 12170103, 12170105]	1|2|3		1		
1702	第2战		描述一下	1701		12170205	[12170202, 12170204, 12170205]	[12170202, 12170204, 12170205]	1|2|3		2		
1703	第3战		描述一下	1702		12170305	[12170301, 12170303, 12170305]	[12170301, 12170303, 12170305]	1|2|3		3		
