Key	Type	Value
CountDownTipId	int	9001005
TimerTipId	int	9001007
ClosePopupMessage	int	9001006
HandSidePrefab	string	FxUiTheatre6FightFireTips
ScBarMinFillAmount	float	0.076
ScBarMaxFillAmount	float	0.67
ComboShakeDuration	float	0.2
ComboShakeRange	float	5
ComboDuration	float	3
HpBarLostDelay	float	0.2
HpBarLostFollowDuration	float	0.4
SkillBindMoveDuration	float	1
WrestleScoreName	string	先机
OverClockScoreName	string	超序
RandomBonusScoreName	string	随机加成
LimitHeight	float	5
DefaultDicePoint	int	60
