Key	Comment	Values
CameraDistance	Camera Distance Adjustment: 1: Minimum Distance 2: Maximum Distance	['10', '20']
PrefabPath	Preset Resource Path	['Assets/Product/Scene/ArenaWar/Prefabs/AreaWarScene.prefab']
CameraZoomSpeed	Camera Scale Speed	['5']
CameraSmallDisRatio	Slot Zooming-out Camera Distance Ratio	['0.4']
ArticleTips	Article-Related Tips	['Article is locked!', 'Published by %s    %s']
ArticleGroupTip	Article Group Tips	['Block is locked!']
ArticleLikeCountBoundary	1. Threshold of likes. Only likes below this number will be displayed. Otherwise, the corresponding unit will be displayed instead. 2. Unit	['10000', 'W']
EndTimeTips	Time End Text Tips	['Ends in %s']
GiftsRewardIds	Close-up Reward ID	['6002806|1', '80082|1', '102|2000', '50005|1000', '11000205|1']
FirstPlayStoryId	Story First Entering the Mode	
UnlockAnimationInfo	Unlocking Animation Info 1. Animation Type 2. Animation Duration 3. Animation Movement Height	['2', '1.2', '0.82', '8']
IdleAnimationInfo	Breathing Animation Info 1. Animation Type 2. Animation Duration 3. Animation Movement Height	['0', '5', '0.82']
PlateLiftUpInfo	Plate Ascending Animation: 1: Y moves down, hidden outside the map. 2: Time required to move up from outside the map	['-3', '0.8']
StageDetailFightTip	Battle Description in Stage Details in/Outside Corpse Punishment Period	['Within the time limit, the higher the rating, the better the rewards.', 'Participate in the battle for rewards']
StageDetailBtnChallenge		['Battle Preparations', 'Multi Challenge']
ItemNotEnough		['Insufficient Scheduling Request. Get more from Support Missions.', 'Insufficient Floating Processor. Change Multi Challenge to <color=#4dc5ff>X%d</color>?', 'Insufficient Floating Processor. Unable to continue.']
QuestName	Explore Mission Name	['Special Mission', 'Special Mission', 'Support Mission']
QuestDesc	Explore Mission Desc	['Personal Mission', 'Personal Mission', 'Mutual Mission']
BlockLevelTypeIcon	Details Icon	['Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame02.png', 'Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame01.png']
BlockLevelTypeMapIcon	Map Icon	['Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame02.png', 'Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame01.png']
GrowBuffLockTip	Buff Unlock Tips	['Unlocks at Lv.%s']
FinishAllQuestTip		['All Special Missions of today have been completed', 'All Rescue Missions of today have been completed']
RescueDetailText		['Requesting Support', 'Teammates in danger and requesting support']
RescuedDetailText		['Help Received', 'Another player has helped you']
TrailEffectUrl		['Assets/Product/Ui/Prefab/UiEffect/UiAreaWar/FxUiAreaWarMainBtnTuowei.prefab']
CancelBtnText		['Cancel', 'Redeem']
ItemUnlockTips	Collectible Unlock Notification	['Unlocks at Lv.%s']
ItemRoomAttrs	Collection Room Stats	['ATK', 'Health', 'Multi Challenge Maximum Multiplier']
ItemRoomLvUpCost	Insufficient Upgrade Materials Display	['<color=#0E70BD>%s</color>/%s']
ItemRoomLvUpCostNoEnough	Insufficient Upgrade Materials Display	['<color=#EE2323>%s</color>/%s']
ItemRoomLvUpNoEnoughTips	Insufficient Upgrade Materials Notification	['Insufficient upgrade materials!']
AuctionItemRemainTips	Trading House Remaining Item Quantity Notification	['(Only %s left)']
AuctionBuyNoEnoughCoinTips	Trading House Purchase Insufficient Tokens Notification	['Insufficient Auction House tokens.']
AuctionBuyNoEnoughCoinColor	Trading House Purchase Insufficient Tokens Color	['<color=#EE2323>%s</color>']
AuctionBuyNoEnoughShopTips	Trading House Purchase Insufficient Items Notification	['Items Restocking']
AuctionBuySuccessTips	Trading House Purchase Success Notification	['Purchase successful']
AuctionRefreshReBuyTips	Data refreshes when making purchases at Trading House.	['Trading House has been refreshed. Please make your purchase again!']
LightUpNoEnoughTips	Insufficient Unlocked Collectibles Notification	['Insufficient collectibles.']
QualityTabAll	"""All"" Tab in Quality Filter"	['All']
ItemDetailUnlockTips	Item Details Unlock Notification	['Unlocks at Collection Room Lv.%s']
OrderPutOffConfirmTips	Cancel Order Confirmation Prompt	['System Notice', 'Remove this item from sale?']
OrderPutOffFailTips	Prompt of order sold successfully during the confirmation process	['Cannot remove item. Order already sold!']
ServerRedisCircuitBreakerTips	Auction House server down. The client will stop sending requests. Retry in 5 seconds!	['Auction House busy. Try again in 5s!']
BtnCollectionUnlockConditionId	收藏室按钮的解锁条件	['863120']
RareModelUnlockEffect	珍稀藏品界面模型未解锁特效	['Assets/Product/Effect/Prefab/FxUi/FxUiMain/FxUiBlack.prefab']
UseItemNumNoEnoughTips	Insufficient collectible items.	['Insufficient collectibles.']
CollectionLockTips	Collection Room Locked Prompt	['Unlocks when server-wide purification progress reaches %s.']
