Id	Name	FightEventId	CharacterId	SynthesisId	SynthesisCount	Capacity	Quality	Icon	ResolveId	ResolveCount	Exp	Description	IsShowInLibrary	Priority
18100001	2星插件	51031				1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第5层结束后插件抽奖时，掉落2星插件。概率掉落高品质插件		
18100002	3星插件	51031				1	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第10层结束后插件抽奖时，掉落3星插件。概率掉落高品质插件		
18100003	4星插件	51031				1	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第15层结束后插件抽奖时，掉落4星插件。概率掉落高品质插件		
18100004	5星插件	51031				1	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第20层结束后插件抽奖时，掉落5星插件。		
18100005	3星插件	51031				1	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第5层结束后插件抽奖时，掉落3星插件。概率掉落高品质插件		
18100006	4星插件	51031				1	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第10层结束后插件抽奖时，掉落4星插件。概率掉落高品质插件		
18100007	5星插件	51031				1	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第15层结束后插件抽奖时，掉落5星插件。概率掉落高品质插件		
18100008	6星插件	51031				1	6	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	62803	10	10	无垠心渊第20层结束后插件抽奖时，掉落6星插件。		
18100011	背水·增伤Ⅰ	221001		18100012	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	10	10	生命低于33%时，全伤害增加30%		2010
18100012	背水·增伤Ⅱ	221002		18100013	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	30	30	生命低于33%时，全伤害增加70%		3010
18100013	背水·增伤Ⅲ	221003		18100014	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	90	90	生命低于33%时，全伤害增加110%		4010
18100014	背水·增伤	221004				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	300	270	生命低于33%时，全伤害增加150%	1	5010
18100021	背水·平衡Ⅰ	221005		18100022	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	10	10	生命高于33%，每秒减少2%生命；生命低于33%，受伤减少10%		2011
18100022	背水·平衡Ⅱ	221006		18100023	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	30	30	生命高于33%，每秒减少3%生命；生命低于33%，受伤减少20%		3011
18100023	背水·平衡Ⅲ	221007		18100024	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	90	90	生命高于33%，每秒减少4%生命；生命低于33%，受伤减少30%		4011
18100024	背水·平衡	221008				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	300	270	生命高于33%，每秒减少5%生命；生命低于33%，受伤减少40%	1	5011
18100031	背水·护盾Ⅰ	221009		18100032	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	10	10	生命低于33%时，生成一个10%生命值的护盾，每场战斗生效1次		2012
18100032	背水·护盾Ⅱ	221010		18100033	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	30	30	生命低于33%时，生成一个20%生命值的护盾，每场战斗生效1次		3012
18100033	背水·护盾Ⅲ	221011		18100034	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	90	90	生命低于33%时，生成一个30%生命值的护盾，每场战斗生效1次		4012
18100034	背水·护盾	221012				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	62803	300	270	生命低于33%时，生成一个40%生命值的护盾，每场战斗生效1次	1	5012
18100041	技巧·增伤Ⅰ	221013		18100042	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	10	10	生命高于80%，全伤害增加30%。受到敌人伤害后进入10秒冷却		2013
18100042	技巧·增伤Ⅱ	221014		18100043	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	30	30	生命高于80%，全伤害增加70%。受到敌人伤害后进入10秒冷却		3013
18100043	技巧·增伤Ⅲ	221015		18100044	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	90	90	生命高于80%，全伤害增加110%。受到敌人伤害后进入10秒冷却		4013
18100044	技巧·增伤	221016				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	300	270	生命高于80%，全伤害增加150%。受到敌人伤害后进入10秒冷却	1	5013
18100051	技巧·护盾Ⅰ	221017		18100052	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	10	10	生命高于80%时，获得能够抵御1次攻击伤害的盾，每12秒恢复一次		2014
18100052	技巧·护盾Ⅱ	221018		18100053	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	30	30	生命高于80%时，获得能够抵御2次攻击伤害的盾，每12秒恢复一次		3014
18100053	技巧·护盾Ⅲ	221019		18100054	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	90	90	生命高于80%时，获得能够抵御3次攻击伤害的盾，每12秒恢复一次		4014
18100054	技巧·护盾	221020				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	300	270	生命高于80%时，获得能够抵御4次攻击伤害的盾，每12秒恢复一次	1	5014
18100061	技巧·回复Ⅰ	221021		18100062	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	10	10	生命低于80%时，每秒回复1%生命值		2015
18100062	技巧·回复Ⅱ	221022		18100063	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	30	30	生命低于80%时，每秒回复2%生命值		3015
18100063	技巧·回复Ⅲ	221023		18100064	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	90	90	生命低于80%时，每秒回复3%生命值		4015
18100064	技巧·回复	221024				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	62803	300	270	生命低于80%时，每秒回复4%生命值	1	5015
18100071	属性·生命Ⅰ	221025		18100072	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	10	10	生命+300	1	2001
18100072	属性·生命Ⅱ	221026		18100073	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	30	30	生命+500	1	3001
18100073	属性·生命Ⅲ	221027		18100074	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	90	90	生命+800	1	4001
18100074	属性·生命Ⅳ	221028				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	62803	270	270	生命+1100	1	5001
18100081	属性·攻击Ⅰ	221029		18100082	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	10	10	攻击+100	1	2002
18100082	属性·攻击Ⅱ	221030		18100083	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	30	30	攻击+140	1	3002
18100083	属性·攻击Ⅲ	221031		18100084	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	90	90	攻击+180	1	4002
18100084	属性·攻击Ⅳ	221032				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	270	270	攻击+220	1	5002
