Id	Type	Level	Name	CharacterId	Quality	FightEventId	Icon	Description	Priority
200011	20001	1	背水·增伤Ⅰ		2	221001	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，全伤害增加30%	1037
200012	20001	2	背水·增伤Ⅱ		3	221002	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，全伤害增加70%	1038
200013	20001	3	背水·增伤Ⅲ		4	221003	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，全伤害增加110%	1039
200014	20001	4	背水·增伤Ⅳ		5	221004	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，全伤害增加150%	1040
200021	20002	1	背水·平衡Ⅰ		2	221005	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命高于33%，每秒减少2%生命；生命低于33%，受伤减少10%	1041
200022	20002	2	背水·平衡Ⅱ		3	221006	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命高于33%，每秒减少3%生命；生命低于33%，受伤减少20%	1042
200023	20002	3	背水·平衡Ⅲ		4	221007	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命高于33%，每秒减少4%生命；生命低于33%，受伤减少30%	1043
200024	20002	4	背水·平衡Ⅳ		5	221008	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命高于33%，每秒减少5%生命；生命低于33%，受伤减少40%	1044
200031	20003	1	背水·护盾Ⅰ		2	221009	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，生成一个10%生命值的护盾，每场战斗生效1次	1045
200032	20003	2	背水·护盾Ⅱ		3	221010	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，生成一个20%生命值的护盾，每场战斗生效1次	1046
200033	20003	3	背水·护盾Ⅲ		4	221011	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，生成一个30%生命值的护盾，每场战斗生效1次	1047
200034	20003	4	背水·护盾Ⅳ		5	221012	Assets/Product/Texture/Image/UiInfestorExplore/Equip050.png	生命低于33%时，生成一个40%生命值的护盾，每场战斗生效1次	1048
200041	20004	1	技巧·增伤Ⅰ		2	221013	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%，全伤害增加30%。受到敌人伤害后进入10秒冷却	1049
200042	20004	2	技巧·增伤Ⅱ		3	221014	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%，全伤害增加70%。受到敌人伤害后进入10秒冷却	1050
200043	20004	3	技巧·增伤Ⅲ		4	221015	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%，全伤害增加110%。受到敌人伤害后进入10秒冷却	1051
