Id	GachaName	GachaName2	UiType	UiName	StageLineUiName	SceneModelId	RuleHint	PreviewShowCount	ItemNotEnoughSkipId	BaseRuleTitles	BaseRules
1	逆光矩阵		1	UiDrawActivity		4	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励	4	20055	['基准模式', '狙击模式', '新角色加入', '特别说明']	['选择基准模式，每研发十次，必有随机A级或以上角色加入队伍', '选择某角色的狙击模式，每研发十次，必有A级或以上泛用机体。若产出的泛用机体为A级泛用机体，则所选狙击的角色占A级角色产出率UP', '新的A级角色进入狙击模式的时间请参考相关公告说明', '在成员狙击卡池中，A级及S级角色的保底次数均不会因狙击角色的变更而受影响，即保底次数继承']
2	天赐眷礼		2	UiDrawActivity		5	<color=#FFFFFF><size=27>每10回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['10连保底1个特殊奖励', '奖励类型', '类型概率']	['特殊奖励皆为限量物品，抽取完毕后将不可再次获得。', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到哪种奖励。', '特殊奖励：1%，普通奖励：99%']
3	茶 歇 小 摊		1	UiGachaOrganize		4	<color=#FFFFFF><size=27>获得特殊奖励</size></color>后解锁下一盲盒	4	80017	['基准模式', '狙击模式', '新角色加入', '特别说明']	['选择基准模式，每研发十次，必有随机A级或以上角色加入队伍', '选择某角色的狙击模式，每研发十次，必有A级或以上泛用机体。若产出的泛用机体为A级泛用机体，则所选狙击的角色占A级角色产出率UP', '新的A级角色进入狙击模式的时间请参考相关公告说明', '在成员狙击卡池中，A级及S级角色的保底次数均不会因狙击角色的变更而受影响，即保底次数继承']
7	战术补给	TACTICAL SUPPLY	1	UiGachaOrganize		4	<color=#FFFFFF><size=27>获得特殊奖励</size></color>后解锁下一补给箱	4		['基准模式', '狙击模式', '新角色加入', '特别说明']	['选择基准模式，每研发十次，必有随机A级或以上角色加入队伍', '选择某角色的狙击模式，每研发十次，必有A级或以上泛用机体。若产出的泛用机体为A级泛用机体，则所选狙击的角色占A级角色产出率UP', '新的A级角色进入狙击模式的时间请参考相关公告说明', '在成员狙击卡池中，A级及S级角色的保底次数均不会因狙击角色的变更而受影响，即保底次数继承']
10	茶 歇 小 摊		1	UiGachaOrganize		4	<color=#FFFFFF><size=27>获得特殊奖励</size></color>后解锁下一盲盒	4	80017	['基准模式', '狙击模式', '新角色加入', '特别说明']	['选择基准模式，每研发十次，必有随机A级或以上角色加入队伍', '选择某角色的狙击模式，每研发十次，必有A级或以上泛用机体。若产出的泛用机体为A级泛用机体，则所选狙击的角色占A级角色产出率UP', '新的A级角色进入狙击模式的时间请参考相关公告说明', '在成员狙击卡池中，A级及S级角色的保底次数均不会因狙击角色的变更而受影响，即保底次数继承']
14	拾梦白菀		2	UiEpicFashionGacha		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·誓时雪\\n    70次：头像·拾梦白菀\\n    90次：头像框·拾梦白菀', '活动结束后，未使用的覆雪繁花将会按照1:175转化为基准角色研发券']
15	拾梦白菀		2	UiEpicFashionGacha		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·誓时雪\\n    70次：头像·拾梦白菀\\n    90次：头像框·拾梦白菀', '活动结束后，未使用的覆雪繁花将会按照1:175转化为基准角色研发券']
16	茕心溯愿		2	UiGachaLamiyaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·寥光缀忆\\n    70次：头像·茕心溯愿\\n    90次：头像框·茕心溯愿', '活动结束后，未使用的[海鳞]将会按照1:175转化为基准角色研发券']
17	赤樗椿		2	UiGachaAlphaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·灼魍\\n    70次：头像·赤樗椿\\n    90次：头像框·赤樗椿', '活动结束后，未使用的[散椿赤华]将会按照1:175转化为基准角色研发券']
18	茕心溯愿复刻		2	UiGachaLamiyaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·寥光缀忆\\n    70次：头像·茕心溯愿\\n    90次：头像框·茕心溯愿', '活动结束后，未使用的[海鳞]将会按照1:175转化为基准角色研发券']
19	拾梦白菀		2	UiEpicFashionGacha		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·誓时雪\\n    70次：头像·拾梦白菀\\n    90次：头像框·拾梦白菀', '活动结束后，未使用的[覆雪繁花]将会按照1:175转化为基准角色研发券']
20	妄婪研发·常规		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该研发的所有【特殊奖励】，则该研发完毕', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.5%  普通奖励：99.5%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
21	妄婪研发·限时01		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
22	妄婪研发·限时02		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
