Id	Type	GroupId	TypeText	QualityText	UiAnim	UiResultAnim	DrawEffectGroupId	GachaEffectGroupId	DrawPictureGroupId
1		1	道具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
2	1	1	成员	['<color=#d580ff>B级</color>', '<color=#ffd953>A级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>SS</color>', '<color=#fa5826>SSS</color>', '<color=#fa5826>SSS</color>']	RoleShowBegan	RoleShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
3	2	1	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
4	3	1	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
5	6	1	成员涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	RoleShowBegan	RoleShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
6	7	1	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
7	8	1	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
8	9	1	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
9	12	1	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
10	16	1	辅助机	['<color=#d580ff>B级</color>', '<color=#ffd953>A级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>SS</color>', '<color=#fa5826>SSS</color>', '<color=#fa5826>SSS</color>']	PartnerShowBegan	PartnerShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
11	1	2	道具	['白色', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第二层特殊奖励</color>', '<color=#fa5826>第二层特殊奖励</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
12	2	2	成员	['<color=#d580ff>B级</color>', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
13	3	2	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
14	4	2	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
15	7	2	成员涂装	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第一层特殊奖励</color>', '<color=#fa5826>第一层特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
16	8	2	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
17	9	2	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
