Key	Value
WeaponFashionCharacter	['1271003', '1271003', '1271003', '1021005', '1021006', '1531005', '1041005']
WeaponFashionId	['12380002', '12380002', '12380002', '12340004', '12470002', '12520002', '12570002']
StageNameImgUrl	['Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle01.png', 'Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle02.png', 'Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle03.png', 'Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle04.png', 'Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle05.png', 'Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle06.png', 'Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle07.png', 'Assets/Product/Texture/Image/UiLottoLamiya/UiLottoLamiyaStoryTittle08.png']
FreeItemLabel	['{0}']
ShopItemTextColor	['ffffffff', 'ff1111ff']
ShopLeftTimeLabel	['剩余: {0}']
DrawLeftTimeLabel	['剩余时间:{0}']
HadDoneDrawTimesLabel	['<size=30><color=#fdfcfd>特殊奖励保底：</color></size>{0}/{1}']
RewardLogTitleLabel	['特殊奖励', '普通奖励']
NoFreeItemCanGetTips	['任务领取达上限']
CanLiverDrawName	['常规研发', '限时研发{0}']
LilithDrawCardEffects	['Assets/Product/Ui/Prefab/UiEffect/UiLilithGacha/FxCardPurple.prefab', 'Assets/Product/Ui/Prefab/UiEffect/UiLilithGacha/FxCardYellow.prefab', 'Assets/Product/Ui/Prefab/UiEffect/UiLilithGacha/FxCardRed.prefab']
LilithDrawCardExposureEffects	['Assets/Product/Ui/Prefab/UiEffect/UiLilithGacha/EffectBaodianWhite.prefab', 'Assets/Product/Ui/Prefab/UiEffect/UiLilithGacha/EffectBaodianPurple.prefab', 'Assets/Product/Ui/Prefab/UiEffect/UiLilithGacha/EffectBaodianYellow.prefab', 'Assets/Product/Ui/Prefab/UiEffect/UiLilithGacha/EffectBaodianRed.prefab']
TimelimitDrawIsOver	['限时研发已关闭']
TicketBuyCountIsMaxTips	['设定数量达上限，请研发后再进行新的兑换操作']
LilithTimeLimitDrawTitleIcons	['Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum01.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum02.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum03.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum04.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum05.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum06.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum07.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum08.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum09.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainNum10.png']
LilithDrawRecordCustomQualityShow	['#919191', '#919191', '#919191', '#919191', '#ff8d1a', '#fa5826']
LilithDrawMainFullBgs	['Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainBg01.png', 'Assets/Product/Texture/Image/UiGachaCanLiver/UiGachaCanLiverMainBg02.png']
TicketConsumeCountEnoughTips	['设定数量达上限，请研发后再进行新的兑换操作']
LilithTimelimitDrawOverTipsTitle	['妄婪研发{0}']
SpeicalFashionFromPurchaseToGachaShop	['6004704']
SpecialConditionFromPurchaseToGachaShop	['1050100']
SpecialSkipToGachaShop	['20239']
LuciaVolumeValue	['0.3']
LuciaVolumeInitWaitTime	['2500']
LuciaVolumeClickWaitTime	['1800']
GachaFashionSelfChoiceDialogText1	['指挥官，确认选定<color=#1c81c8>1</color>款涂装后，将无法更换。\\n同时，您<color=#ec252c>已拥有</color>【{0}】涂装【{1}】研发活动的<color=#ec252c>全部特殊奖励</color>，是否确认选择该研发活动?']
GachaFashionSelfChoiceDialogText2	['指挥官，确认选定<color=#1c81c8>1</color>款涂装后，将无法更换。\\n是否确认选择当前的【{0}】涂装【{1}】研发活动？']
SelenaVolumeValue	['0.3']
SelenaVolumeInitWaitTime	['2500']
SelenaVolumeClickWaitTime	['1800']
BiankaVolumeValue	['0.3']
BiankaVolumeInitWaitTime	['2500']
BiankaVolumeClickWaitTime	['1800']
Bianka4P2SceneId	['14000015']
Liv4P5SceneId	['14000016']
GachaLiv4P5Time	['{0}']
GachaLiv4P5FashionDesc	['* <color=#0E70BD>武器涂装</color>  可从【历程奖励】中获取']
