Id	Text
1	商业露天广场开发计划
2	
3	
4	和露西亚一起逛庆典
5	空中花园-商业A区
6	前往庆典正门
7	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
8	和露西亚在庆典正门合影
9	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
10	前往茵泰百货
11	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
12	和露西亚在茵泰百货合影
13	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
14	继续游览庆典
15	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
16	和露西亚一起逛庆典
17	空中花园-商业A区
18	
19	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
20	跟露西亚合影留念
21	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
22	联络赛利卡，结束庆典
23	商业区正在如火如荼地开展“露天广场开发计划”，但近期入驻广场的商家都陆续收到了来自“芙洛世商会”的威胁信。受罗斯的委托，灰鸦指挥官决定开始调查背后的真相……
