Id	Name	IsRecord	RecordText	HintText	DescText	EventIcon
	空旷道路	1	来到了空旷道路，无事发生	来到了空旷道路，无事发生	无事发生。	
1	移动	1	移动了%d步	移动了%d步		
2	战斗任务	1	完成了任务%s		冲突，劫掠，攻击……不管是什么，都是需要你们马上介入的事态。	Assets/Product/Texture/Atlas/UiFubenMaintaineraction/MaintaineractionIcon1.png
3	支援箱	1	抵达了支援点	获得了支援物资	支援部队投下的补给箱子在此静静等待。	Assets/Product/Texture/Atlas/UiFubenMaintaineraction/MaintaineractionIcon2.png
4	调动+%d	1	向前调动%d步	向前调动%d步	调动命令指示你们向前方%d步的区域移动。	
5	调动-%d	1	向后调动%d步	向后调动%d步	调动命令指示你们向后方%d步的区域移动。	
6	计划有变	1	的巡逻计划发生了变动。	巡逻计划%d被改成了巡逻计划%d	你们接到了新的巡逻指令。	
7	临时改制	1	接到改变方向的命令。	被颠倒了方向	因为计划变动，你们的前进方向发生了改变。	
8	士气高涨	1	今日行动次数上限+%d	今日行动次数上限+%d	小队的状态奇佳，今天也许可以走得更远。	
9	未知区域				尚未探索的区域，可能隐藏着什么……	
10	起点	1	回到了起点	回到了起点	沿着巡逻路径回到了出发的地方，也许可以暂时休整一下。	
11	外部支援	1	完成了一次战斗任务	外部支援协助完成了一次战斗任务	获得来自空中花园的外部支援，直接完成一次战斗任务。	
12	起点	1	回到了起点，行动次数上限+%d	回到了起点，今日行动次数上限+%d	沿着巡逻路径回到了出发的地方，也许可以暂时休整一下。	
13	额外行动	1	今日行动次数上限+%d	今日行动次数上限+%d	获准执行2次额外的行动。	
14	废弃仓库	1	抵达了废弃仓库	抵达了废弃仓库	一个荒无人烟，但看起来还没完全倒塌的仓库遗骸。	Assets/Product/Texture/Atlas/UiFubenMaintaineraction/MaintaineractionIcon4.png
15	精确遥感	1	提交了遥感申请。	成功对区域进行了遥感侦察。	一个信号绿区，可以在此向空中花园申请精确遥感。	
16	交叉验证	1	激活了交叉验证请求	激活了交叉验证请求	%s发现了未激活的交叉验证请求。	Assets/Product/Texture/Atlas/UiFubenMaintaineraction/MaintaineractionIcon5.png
17	交叉验证	1	激活了交叉验证请求	激活了交叉验证请求	%s请求已激活，等待协作指导成员的响应中。	Assets/Product/Texture/Atlas/UiFubenMaintaineraction/MaintaineractionIcon6.png
18	交叉验证	1	完成了交叉验证请求	完成了交叉验证请求	已被%s激活，等待响应中。	Assets/Product/Texture/Atlas/UiFubenMaintaineraction/MaintaineractionIcon6.png
19	交叉验证	1	经过了已完成的交叉验证请求	经过了已完成的交叉验证请求	已和%s完成交叉验证请求。	Assets/Product/Texture/Atlas/UiFubenMaintaineraction/MaintaineractionIcon7.png
