Id	RelatedChapterId	ChapterName	PreviewRewardId	ShowRewardId	StoryPassedBg	StoryUnPassedBg	StorySpineBg	ChapterRewardIcon	TaskSceneUrl	TaskModelUrl	BattleBg
100111	100121	铭刻长路	16448		Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg03.png	Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg04.png	Assets/Product/Ui/Spine/UiSpine/UiCharacterTower/DuBianTower/DuBianTower.prefab	Assets/Product/Texture/Image/UiCollection/Iconcollection102.png			
100121	100111	心锁试炼		17828					Assets/Product/Ui/Scene3DPrefab/UiCharacterTower3D02.prefab	Assets/Product/Ui/UiModel/UiCharacterTower/UiCharacterTower.prefab	Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBgTwo.png
100211	100221	临渊择途	16448		Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg01.png	Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg02.png	Assets/Product/Ui/Spine/UiSpine/UiCharacterTower/LuxiyaAlphaTower/LuxiyaAlphaTower.prefab	Assets/Product/Texture/Image/UiCollection/Iconcollection100.png			
100221	100211	心锁试炼		17827					Assets/Product/Ui/Scene3DPrefab/UiCharacterTower3D.prefab	Assets/Product/Ui/UiModel/UiCharacterTower/UiCharacterTower02.prefab	Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBgOne.png
100311	100321	一起来玩吧！	16448		Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg05.png	Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg06.png	Assets/Product/Ui/Spine/UiSpine/UiCharacterTower/QishiTower/QishiTower.prefab	Assets/Product/Texture/Image/UiCollection/Iconcollection115.png			
100321	100311	心锁试炼		17826					Assets/Product/Ui/Scene3DPrefab/UiCharacterTower3D03.prefab	Assets/Product/Ui/UiModel/UiCharacterTower/UiCharacterTower03.prefab	Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBgThree.png
100411	100421	心引定航	16448		Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg07.png	Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg08.png	Assets/Product/Ui/Spine/UiSpine/UiCharacterTower/KalieninaTower/kaleninaTower.prefab	Assets/Product/Texture/Image/UiCollection/Iconcollection126.png			
100421	100411	心锁试炼		59808					Assets/Product/Ui/Scene3DPrefab/UiCharacterTower3D04.prefab	Assets/Product/Ui/UiModel/UiCharacterTower/UiCharacterTower04.prefab	Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBgFour.png
100511	100521	烛灯刑	16448		Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg09.png	Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg10.png	Assets/Product/Ui/Spine/UiSpine/UiCharacterTower/NuoanTower/NuoanTower02.prefab	Assets/Product/Texture/Image/UiCollection/Iconcollection137.png			
100521	100511	心锁试炼		61828					Assets/Product/Ui/Scene3DPrefab/UiCharacterTower3D02.prefab	Assets/Product/Ui/UiModel/UiCharacterTower/UiCharacterTower05.prefab	Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBgFive.png
100611	100621	极乐净土	16448		Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg11.png	Assets/Product/Texture/Image/UiCharacterTower/UiCharacterTowerPlotBg12.png	Assets/Product/Ui/Spine/3-1Spine/WeilaTowerV31/WeilaTowerV31.prefab	Assets/Product/Texture/Image/UiCollection/Iconcollection192.png			
100621	100611	心锁试炼		65031					Assets/Product/Ui/Scene3DPrefab/UiCharacterTower3D05.prefab	Assets/Product/Ui/UiModel/UiCharacterTower/UiCharacterTower06.prefab	Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBgSix.png
